primary_term,permutation_1,permutation_2,permutation_3,permutation_4,permutation_5,permutation_6,permutation_7,permutation_8,permutation_9,permutation_10,permutation_11,permutation_12,permutation_13,permutation_14,permutation_15,permutation_16,permutation_17,permutation_18,permutation_19,permutation_20,permutation_21,permutation_22,permutation_23,permutation_24,permutation_25,permutation_26,permutation_27,permutation_28,permutation_29,permutation_30,permutation_31,permutation_32,permutation_33,permutation_34,permutation_35,permutation_36,permutation_37
COPPER,CU,CPR,COPR,COP,C-U,CPR-MTL,COPPER METAL,CU PIECE,COPPER ITEM,CU-MTL,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHROME MOLY P11,CRMLY P11,CR-MO P11,CHROME MOLYBDENUM P11,CR MOLY P11,CRMLY-P11,CHROME-MOLY P11,CR.MO.P11,CHROMOLY P11,CRM P11,CR-MOLY-P11,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUSHION,CSHN,CUSHN,CSH,CUSH,CSHN PAD,CUSHIONING,CUSHON,CUSH PAD,CUSHION PAD,CSH PAD,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPR,ETHYLENE PROPYLENE RUBBER,E.P.R.,ETH-PROP-RUB,ETHYL PROP RUBBER,E P R,ETH-PRO-RUB,ETHYLENE-PROPYLENE,EPR RUBBER,ETH-PROP,EP RUBBER,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLURPLY,FLR,FLRP,FL-PL,FLU RPL,FLUR PLY,FLUR-PLY,F.P.,FLRPLY,FLPLY,FLP,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAPHITE,GR,GRPH,GRAF,GRAFIT,GRA-ITE,GRAPHT,GRFT,G.R.,GR-ITE,GRAPH,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREE FASER,GF,G.F.,GREEFASER,GREE-FASER,G FASER,GREE FAS,GRE FASER,GREE FSR,G.FASER,GREEN FASER,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE POLYBUTYLENE,HDPE PB,HIGH DENSITY POLYBUTYLENE,HD-PB,H.D.P.E. PB,HDPE-PB,HIGH DENSITY PB,HD POLYBUTYLENE,HDPE POLY-B,H.D. POLYBUTYLENE,HIGH-DENSITY POLYBUTYLENE,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGH PRESSURE,HP,H.P.,HIGH-PRESSURE,HI PRESSURE,H PRESSURE,HIGH PRESS,HI-PRESS,H-PRESS,HI PRESS,HIGH-PRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGH YIELD,HY,H.Y.,HIGH-YIELD,HI YIELD,H YIELD,HIGH YLD,HI-YLD,H-YLD,HI.YLD,HIGH.YLD,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOLOY,INCLY,INC-LOY,IN-COL,INCOL,IN COLOY,INCO LOY,INCOLOY ALLOY,INCOLOY MTL,INCO-LOY,INCOLOY METAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEAD-FREE,PB-FREE,LEAD FREE,LF,L.F.,LD FREE,NO LEAD,NO-LEAD,LEADFREE,PB FREE,LEAD-FREE MATERIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDPE,MEDIUM DENSITY POLYETHYLENE,MD PE,M.D.P.E.,MED DEN PE,MEDIUM-DENSITY PE,MD POLYETHYLENE,MEDIUM DENSITY PE,MED-DEN-PE,M D P E,MED.DEN.PE,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONEL,MONEL 400,MNL 400,M400,MONEL-400,MON-400,MONL 400,M.400,M-400,MONEL400,MNL400,,,,,,,,,,,,,,,,,,,,,,,,,,,
NICKEL ALLOY 20,NA20,N.A.20,NICK ALY 20,NIC-ALLOY 20,NICKEL ALLOY-20,NA-20 ALLOY,NICKLE ALLOY 20,NICKEL ALY 20,NIC20 ALLOY,N/A-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE2406,PE-2406,PE 2406,P.E.2406,PE.2406,POLY 2406,POLYETHYLENE 2406,PE-2406 PIPE,PE2406 HDPE,2406PE,2406 PE,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE3408,PE-3408,PE 3408,PE.3408,PE_3408,POLY3408,POLYETHYLENE3408,POLY-3408,PE-3408-HDPE,PE3408HDPE,PE3408-POLY,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE4710,PE 4710,P.E. 4710,PE-4710,PE.4710,POLY PE4710,PE 4710 PIPE,PE4710 HDPE,HDPE PE4710,PE4710 POLY,POLYETHYLENE 4710,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE710,PE 710,PE-710,PE.710,P E 710,POLY 710,PE 710 PIPE,PE-710 PIPE,PE710 GRADE,PE-710 GRADE,POLYETHYLENE 710,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLASTIC,PLSTC,PL,PLAS,PLST,PLAST-IC,P LASTIC,PLASTC,P.L.,PLAS-TIC,PLSTK,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLATED,PLT,PLTD,PL.,P-TD,PLTED,PL-TD,P.L.T.,PLAT,PLATD,PLATING,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLYWOOD,PLY WOOD,PLY-WOOD,PLY WD,PLWD,P/W,PW,PLY.WD,PLYWD,P-WOOD,P.W.,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLY,POLYETHYLENE,PY,P.Y.,POLY-E,P E,POLYE,PE,P.E.,POLY MATERIAL,POLYMER,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLYBUTYLENE,PB,POLY-B,P.B.,POLYB,POLY BUTYLENE,POLY-BUTYLENE,P BUTYLENE,POLYBUTYL,POLY BUT,P-BUTYLENE,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLYETHYLENE,PE,P.E.,POLY,POLY-E,P-E,POLYETH,POLY ETH,PE PLASTIC,POLY-ETHYLENE,P.ETHYLENE,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLYMER,POLYM,PLY,POLYMR,POLY-MER,P MER,POLY MATERIAL,PLM,POLY-M,P.M.,POLY MTL,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLYPROPYLENE,PP,P.P.,POLYPROP,POLY-PROP,POLY PROP,PPE,POLY-P,P-PROP,POLYP,PPL,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP,POLYPROPYLENE,POLY PROPYLENE,POLY-PROPYLENE,P.P.,PPE,P-P,POLY P,POLYPROP,P PROP,POLY-P,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUARTZ,QTZ,QRTZ,Q.T.Z.,QURTZ,QUA RTZ,Q-TZ,QUART-Z,QRTZ PIECE,QUARTZ UNIT,QTZ ITEM,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILICONE,SI,SIL,SLCN,SLCNE,SI LICONE,SIL ICONE,SI-LICONE,SILICN,SILCONE,SILCON,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAINLESS,STAINLESS,SS,S.S.,STAIN,STNLS,STLSS,STLS,S/S,ST.STL,STANLESS,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEFLON_COATED,TEFLON COATED,TFE COATED,PTFE COATED,TEF-COATED,T COATED,TEFLON CTD,TFE CTD,TEFL-CTD,TEF COAT,T-COATED,,,,,,,,,,,,,,,,,,,,,,,,,,,
THERMOPLASTIC,THERMO,TP,T.P.,THERM PLAS,THERMO-PLAS,T PLASTIC,THERMOPLAS,THRM PLSTC,THERMAL PLASTIC,THERM-PLASTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
VITON,VIT,VTN,VI TON,V TON,V-TON,VIT-ON,VITN,V.T.,VT-N,VTON,,,,,,,,,,,,,,,,,,,,,,,,,,,
VITON-A,VITON A,VIT-A,V-A,VITON_A,VIT.A,VITON TYPE A,VITON GRADE A,VITON-A GRADE,VIT A,VITON A TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAX,WAX,WX,W.X.,WAX MATERIAL,WAX MTL,WAX PIECE,WAX ITEM,WAX UNIT,WAX-MTL,W-X,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZINC PLATED,ZP,Z.P.,ZINC PLT,ZINC-PLATED,Z PLATED,ZNC PLTD,ZINC COATING,ZN PLATED,ZINC PLATE,Z-PLATED,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOW TEMP CARBON STEEL,LTCS,LOW-TEMP CS,LT CARBON STL,LOW TEMP C.S.,L.T.C.S.,LOW TEMPERATURE CS,LOW-T CARBON STEEL,LT CARB STL,LOW TEMP CARB STL,LOW-T C.S.,,,,,,,,,,,,,,,,,,,,,,,,,,,
