,Primary Term,perm_1,perm_2,perm_3,perm_4,perm_5,perm_6,perm_7,perm_8,perm_9,perm_10
146,INSERT,INSRT,INSER,INS,INST,PIPE INSERT,FITTING INSERT,INRT,INSERTS,INSERTION,INSET
147,REDUCER INSERT,RED INSERT,REDUCER INSRT,RED INSRT,REDCR INSRT,RDR INSERT,REDC INSERT,REDUC INSRT,RDR INSRT,RED INS,REDUCER INS
148,SOCKET TEE,SCKT TEE,SKT TEE,SOCK TEE,S/W TEE,SW TEE,SOCKET T,SCKT T,SKT T,S.W. TEE,SOCKETWELD TEE
149,NEEDLE,NDLV,NDL VLV,NEEDLE VLV,NEEDLE VALVE,NDL VALVE,N VLV,N-VLV,NDLE,NDL V,N.V.
150,MANIFOLD,MANF,MNFLD,MAN,MFLD,MANIF,MNFD,MANIFD,MF,MNFL,M'FLD
151,FULL COUPLING,FULL CPLG,FLL CPLG,FULL COUP,FLL COUP,FULL CPL,FLL CPL,CPLG FULL,COUP FULL,CPL FULL,F/CPLG
152,REDUCED PORT BALL VALVE,RPBV,RED PORT BV,REDUCED PORT BV,RED PORT BALL VLV,RED PORT BALL VALVE,RP BALL VLV,RP BALL VALVE,REDUCED PORT B/V,RED PORT B/V,RP B/V
153,FILTER REGULATOR,FLTR REG,FIL REG,F/R,FR,FILTER/REG,FLTR/REG,FIL/REG,F-R,FILTER-REG,FLTR-REG
154,BASKET STRAINER,BST,BSKT STRNR,B/S,BASKET STRNR,BSKT STRAINER,B STRAINER,B.S.,BSKT STR,BASKET STR,B STRNR
155,COMPANION FLANGE,COMP FLG,COMP FLANGE,CP FLG,CP FLANGE,CMP FLG,CMP FLANGE,COMPANION FLG,C FLG,COMP F,CP F
156,GATE OS&Y,GATE OSY,OS&Y GATE,OSY GATE,OUTSIDE SCREW AND YOKE GATE,OS AND Y GATE,GATE OUTSIDE SCREW AND YOKE,OS+Y GATE,GT OSY,GT OS&Y,GATE OS+Y
157,GATE VALVE OS&Y,GATE VLV OS&Y,GTV OS&Y,GT VLV OS&Y,OS&Y GATE VALVE,OS&Y GATE VLV,OS&Y GTV,OSAY GATE VALVE,GATE VALVE OSAY,GATE VLV OSAY,OS+Y GATE VALVE
158,OS&Y GATE,OUTSIDE SCREW AND YOKE GATE,OS AND Y GATE,OSY GATE,OS+Y GATE,OS-Y GATE,OUTSIDE STEM AND YOKE GATE,O.S.&Y. GATE,O S Y GATE,O S AND Y GATE,OSY GT
159,OS&Y GATE VALVE,OSYV,OS&Y GV,OSY GATE VLV,OUTSIDE SCREW AND YOKE GATE VALVE,OS+Y GATE VALVE,OUTSIDE STEM AND YOKE GATE VALVE,OSY GTV,OS&Y GT VLV,OS AND Y GATE VALVE,OS-Y GATE VALVE
160,SILENT CHECK,SILENT CHK,SLNT CHK,SIL CHK,SILENT CHECK VALVE,SLNT CHECK VLV,SIL CHECK VLV,SILENT CHK VLV,NOISELESS CHECK,CENTER GUIDED CHECK,SPRING LOADED CHECK
161,STEAM TRAP INVERTED BUCKET,IB STEAM TRAP,INVERTED BUCKET ST,IB ST,INVT BUCKET TRAP,INV BUCKET ST,STEAM TRAP IB,ST IB,IBT,IB TRAP,INVTD BCKT ST
162,THREADED COMPANION FLANGE,THD COMPANION FLG,THRD COMPANION FLANGE,THD COMP FLG,THRD COMP FLANGE,SCREWED COMPANION FLG,SCR COMPANION FLANGE,THREADED COMP FLG,THD COMPANION,SCREWED COMP FLG,SCR COMP FLANGE
163,TWIN WAFER CHECK,TWN WFR CHK,TWIN WFR CHK,TWIN WAFER CHK,TWN WAFER CHK,TWIN WF CHK,TWN WF CHK,TWIN WAFER CHECK VLV,TWN WFR CHECK VLV,TWIN WAFER CV,TWN WFR CV
164,PISTON,PSTN,PST,PISTN,P/STN,P-STN,P.STN,PIST,PISTNS,P STONS,P/STONS
165,WRI GRAPHITE,WIRE REINFORCED GRAPHITE,WRI GRPH,WIRE REINF GRAPHITE,W.R.I. GRAPHITE,WIRE REIN GRAPHITE,WR GRAPHITE,W/R GRAPHITE,WIRE-REINFORCED GRAPHITE,WRI-GRAPHITE,W.R. GRAPHITE
166,ADAPTER FLANGE,ADPT FLG,ADAPT FLG,ADAPTER FLG,ADP FLG,ADPTR FLANGE,ADAPT FLANGE,ADP FLANGE,ADPT FLANGE,FLG ADAPTER,FLANGE ADAPTER
167,THREADED COMPRESSION FLANGE,THD COMP FLG,THRD COMP FLANGE,THD COMPRESSION FLG,THRD COMPRESSION FLANGE,COMPRESSION THD FLG,COMP THD FLANGE,COMPRESSION THRD FLG,TC FLANGE,TC FLG,THREADED COMP FLG
168,CHECK VALVE DUO,DUO CHECK VALVE,DCV,DUO CHK VLV,DUO VLV,DUAL CHECK VALVE,DUAL CHK VLV,DUAL VLV,D.C.V.,DUO-CHECK,DUAL-CHECK
169,FLANGE,FLG,FLN,FL,FLNG,FG,FLANGE,FLG.,F.L.G.,F.L.,F/L
170,FLAT FACE FLANGE,FF FLANGE,FF FLG,FLAT FACE FLG,FF,F.F. FLANGE,F.F. FLG,FLAT FACED FLANGE,FLAT FACED FLG,F/F FLANGE,F/F FLG
171,FLAT FACE SOCKETWELD FLANGE,FLAT FACE SW FLANGE,FLAT FACE SW FLG,FF SOCKETWELD FLANGE,FF SOCKETWELD FLG,FF SW FLANGE,FF SW FLG,FLAT FACE SOCKET WELD FLANGE,FF SOCKET WELD FLANGE,FLAT FACE S/W FLANGE,FF S/W FLANGE
172,FLAT FACE SOCKETWELD FLANGE,FLAT FACE SW FLANGE,FLAT FACE SW FLG,FF SOCKETWELD FLANGE,FF SOCKETWELD FLG,FF SW FLANGE,FF SW FLG,FLAT FACE SOCKET WELD FLANGE,FF SOCKET WELD FLANGE,FLAT FACE S/W FLANGE,FF S/W FLANGE
173,GLOBE OS&Y,GLB OS&Y,GLOBE OUTSIDE SCREW AND YOKE,OS&Y GLOBE,OS&Y GLB,GLOBE OSY,GLB OSY,OSY GLOBE,O.S.&Y. GLOBE,GLOBE O.S.&Y.,OUTSIDE SCREW AND YOKE GLOBE
174,INSERT TEE,INS TEE,INSRT TEE,INSERT T,INS T,INSRT T,INSTR TEE,INSERT-TEE,INS-TEE,INST TEE,INST T
175,INSULATED TEE,INS TEE,INSUL TEE,INSULATED T,INS T,INSUL T,INSULATED T-PIECE,INSUL T-PIECE,INS T-PIECE,THERMAL INSULATED TEE,THERMALLY INSULATED TEE
176,LAP JOINT SOCKET WELD FLANGE,LAP JT SW FLANGE,LAP JOINT SW FLG,LAP JT SW FLG,LAP JOINT SOCKET FLG,LAP JT SOCKET FLG,LJ SW FLANGE,LJ SW FLG,LJSW FLANGE,LJSW FLG,LJ SOCKET WELD FLG
177,LAP JOINT SOCKETWELD FLANGE,LAP JOINT SW FLANGE,LAP JOINT SW FLG,LJ SOCKETWELD FLANGE,LJ SW FLANGE,LJ SW FLG,LAP JNT SW FLANGE,LAP JNT SW FLG,L/J SW FLANGE,L/J SW FLG,LJSW FLG
178,LJ FLANGE,LAP JOINT FLANGE,LAP JOINT FLG,LJ FLG,LAP JNT FLANGE,LAP JNT FLG,L/J FLANGE,L/J FLG,L.J. FLANGE,L.J. FLG,LAPJNT FLG
179,REDUCER INSERT TEE,RED INSERT TEE,REDUCER INS TEE,RED INS TEE,REDUCER INSERT T,RED INSERT T,REDUCER INS T,RED INS T,RIT,R.I.T.,R I T
180,SOCKET WELD RAISED FACE FLANGE,SW RF FLANGE,SW RF FLG,SOCKET WELD RF FLANGE,SOCKET WELD RF FLG,SW RAISED FACE FLANGE,SW RAISED FACE FLG,SOCKET RF FLANGE,SOCKET RF FLG,SW RFF,SWRF FLG
181,SOCKETWELD RAISED FACE FLANGE,SW RF FLANGE,SW RF FLG,SOCKET WELD RF FLANGE,SOCKET WELD RF FLG,SW RAISED FACE FLANGE,SW RAISED FACE FLG,SOCKETWELD RF FLANGE,SOCKETWELD RF FLG,SOCKET RF FLANGE,SOCKET RF FLG
182,TEE INSERT,TEE INRT,T-INSERT,TINRT,TEE INSRT,T INSRT,TEE-INSERT,T-INSRT,T INSERT,TINSRT,TINSERT
183,THREADED,THD,THRD,THR'D,TH'D,T'D,THREAD,THRDED,THDD,NPT,FNPT
184,AIR RELEASE,AR,AIR REL,A/R,A.R.,AIR RELEASE VLV,AIR RELEASE VALVE,A.R.V.,ARV,AIR REL VLV,AIR REL VALVE
185,SLIP-ON FLANGE,SLIP ON FLANGE,SO FLANGE,SO FLG,SLIP ON FLG,SLIP-ON FLG,S.O. FLANGE,S.O. FLG,SO-FLG,S/O FLANGE,S/O FLG
186,INSTRUMENTATION TEE,INST TEE,INSTR TEE,INSTRUMENT TEE,INST T,INSTR T,INSTRUMENTATION T,I-TEE,I TEE,INST-TEE,INSTR-TEE
187,INSULATING KIT,INSUL KIT,INS KIT,ISOLATION KIT,ISOL KIT,INSULATING SET,FLANGE ISOLATION KIT,FLG ISOL KIT,DIELECTRIC KIT,INSUL SET,ISO KIT
188,INSULATION KIT,INSUL KIT,INS KIT,ISOL KIT,ISOLATION KIT,INSL KIT,INSULATION SET,INSUL SET,ISOLATING KIT,FLANGE INSULATION KIT,FLG INSUL KIT
189,FLR FLANGE,FLARE FLANGE,FLR FLG,FLARE FLG,FLR FL,FLARE FL,FL FLG,FLARED FLANGE,FLARED FLG,FLD FLANGE,FLD FLG
190,GROOVED JOINT,GRV JNT,GROOVE JNT,GRV JOINT,GRVD JNT,GROOVE JOINT,GROOVED JT,GRV JT,GRVD JOINT,G.J.,GJ
191,GROUND-JOINT UNION,GJ UNION,GROUND JOINT UNION,GRD JNT UNION,GND JNT UNION,G.J. UNION,GROUND-JT UNION,GRD-JNT UNION,GROUND JOINT UNN,G-J UNION,GJ UNN
192,PIPE UNION,UNION,PIPE UN,UN,SCREWED UNION,THREADED UNION,SCR UNION,THD UNION,PIPE UN FTG,PIPE UN FITTING,UNI
193,STREET TEE,ST TEE,STR TEE,STREET T,STR T,ST T,S-TEE,S TEE,STREETTEE,ST. TEE,STR. TEE
194,FLAT FACE,FF,F/F,F.F.,F-F,FLAT FACED,F FACE,FLAT FCE,F FCE,FLT FACE,FLAT F
195,DIELECTRIC FLANGE,DIEL FLANGE,DIEL FLG,DI-EL FLANGE,DI-EL FLG,DIELECTRIC FLG,DE FLANGE,DE FLG,DIELEC FLANGE,DIELEC FLG,D/E FLANGE
196,NUT/BOLT SET,NUT AND BOLT SET,BOLT AND NUT SET,N/B SET,B/N SET,STUD BOLT W/NUTS,BOLT/NUT ASSY,STUD BOLT/NUT ASSY,NUTS AND BOLTS,BOLT & NUT SET,NUT & BOLT SET
197,SLEEVED PLUG VALVE,SLV PLG VLV,SLVD PLG VLV,SL PLG VLV,SLEEVE PLG VLV,SLEEVED PV,SLV PV,SLVD PV,SPV,SL PV,SLVD PLUG
198,EXPANSION,EXP,EXPN,EXPAN,EXPNSN,EXP JNT,EXPANSION JOINT,EXP JOINT,EXPN JT,EXP-JT,EXPN-JNT
199,FLANGE SPACER,FLG SPACER,FLNG SPACER,FL SPACER,FLANGE SPCR,FLG SPCR,FLNG SPCR,FL SPCR,F/SPACER,F/SPCR,SPACER FLG
200,FLAT FACE SPACER,FF SPACER,FLAT FACE SPCR,FF SPCR,F.F. SPACER,FLAT-FACE SPACER,F/F SPACER,FLAT FACED SPACER,F-F SPACER,FLAT FACE SPACR,F.F.SPCR
201,FLAT RING SPACER,FLT RNG SPACER,FLAT RNG SPACER,FLT RING SPCR,FLAT RING SPCR,F/R SPACER,F R SPACER,FR SPACER,F.R. SPACER,FLAT SPACER RING,FLT SPCR RING
202,ISO KIT,ISOLATION KIT,INSULATING KIT,ISOL KIT,INSUL KIT,ISOLATING KIT,ISO SET,ISOLATION SET,INSULATING SET,DIELECTRIC KIT,DIELECTRIC SET
203,SPACER,SPCR,SPC,SPAC,SP,SPR,SPACNG,SPACING,SPACE,SPACR,S P R
204,RED RUBBER,RR,RED RUB,R/R,RED-RUB,R-R,RED RUBBER GSK,RED RUBBER GASKET,RR GSK,RR GASKET,R.R.
205,BOLT KIT,BK,B/K,B.K.,BOLT SET,BOLT PACK,BOLT ASSEMBLY,FASTENER KIT,BOLT & NUT KIT,B&N KIT,STUD BOLT KIT
206,BUTTERFLY HIGH PERFORMANCE,HP BUTTERFLY VALVE,HIGH PERFORMANCE BUTTERFLY,HP BFV,HPBFV,HP BFLY,HIGH PERF BFV,HIGH PERF BUTTERFLY,HI PERF BUTTERFLY,HP BUTTERFLY,HIGH PERFORMANCE BFV
207,BUTTERFLY VALVE HIGH PERFORMANCE,HPBFV,HP BFV,HIGH PERF BFV,HP BUTTERFLY VLV,HIGH PERFORMANCE BFV,HI PERF BUTTERFLY,HIGH PERF BUTTERFLY,HP BUTTERFLY VALVE,BUTTERFLY HP,BFV HP
208,COUNTERSUNK PLUG,CS PLUG,CTRSNK PLUG,C/S PLUG,CTR SNK PLUG,COUNTER SUNK PLUG,CSK PLUG,CNTRSNK PLUG,C.S. PLUG,CSNK PLUG,CSUNK PLUG
209,CUT GROOVE,CUT GRV,CT GRV,CUT GROOV,C GROOVE,C GRV,CUT-GROOVE,C-GROOVE,CT-GRV,C/GRV,C.GRV
210,FLANGE BOLT SET,FLG BLT SET,FLG BOLT SET,FLANGE BLT SET,B7 STUD SET,STUD BOLT SET,BOLT & NUT SET,STUD & NUT SET,FASTENER SET,FLANGE FASTENER SET,STUD BOLT & NUT SET
211,FLANGE STUD AND NUT SET,STUD BOLT AND NUT SET,STD BOLT AND NUT SET,FLANGE STUD BOLT SET,STUD AND NUT SET,FLANGE STUD SET,STD & NUT SET,STUD & NUT SET,FLG STD & NUT SET,FLG STUD AND NUT,STUD BOLT SET
212,FLAT FACE SIDE OUTLET FLANGE,FF SIDE OUTLET FLANGE,FF SIDE OUTLET FLG,FLAT FACE SIDE OUTLET FLG,FF SO FLANGE,FF SO FLG,FLAT FACE SO FLANGE,FLAT FACE SO FLG,SIDE OUTLET FF FLANGE,SIDE OUTLET FF FLG,SO FF FLANGE
213,FLAT FACE SLIP-ON FLANGE,FF SLIP-ON FLANGE,FF SO FLANGE,FF SO FLG,FLAT FACE SO FLANGE,FLAT FACE SO FLG,FF SLIP ON,FLAT FACE SLIP ON,FF S/O FLANGE,FLAT FACE S/O FLANGE,FF SLIPON FLG
214,GRAPHITE,GRPH,GR,GRFT,GRAPH,GFT,GRAF,GRPHTE,GRAPHT,GRAFIT,GRAFITE
215,GRAPHITE WRI,GRAPHITE WOUND RING INSERT,GRPH WRI,GR WRI,GRPH WOUND RING INSERT,GRAPH WRI,GRAPHITE RING INSERT,GR WOUND RING INSERT,GRPH RING INSERT,GRAPH RING INSERT,GRAPHITE WOUND INSERT
216,ISOLATION,ISO,ISOLATOR,ISOL,ISOL VLV,ISO VLV,ISOLATION VALVE,ISO VALVE,ISOL VALVE,ISOLATING,ISOLATE
217,KAMMPRO,KAM PRO,KAMP PRO,KAMM PRO,KAM-PRO,KAMP-PRO,KAMM-PRO,K PRO,K-PRO,KPRO,K.PRO
218,KNIFE VALVE,KNF VLV,KNFE VLV,KV,K VLV,KNIFE V,KNF V,K.V.,KNFE V,K-VLV,KNIFE
219,RAISED FACE SWEAT FLANGE,RAISED FACE SWEAT FLG,RF SWEAT FLANGE,RF SWEAT FLG,RF SW FLANGE,RF SW FLG,RAISED FACE SW FLANGE,RAISED FACE SW FLG,RF SWT FLANGE,RF SWT FLG,RAISED FACE SWT FLG
220,SOCKET WELD FLAT FACE FLANGE,SW FF FLANGE,SW FF FLG,SOCKET WELD FF FLANGE,SOCKET WELD FF FLG,FLAT FACE SW FLANGE,FF SW FLANGE,FF SW FLG,FLAT FACE SOCKET WELD FLG,SW FLAT FACE FLG,SOCKET FLAT FACE FLANGE
221,SPUD WELD,SPUDWELD,SPUD-WELD,SPUD WLD,SPUDWLD,SPUD-WLD,SP WELD,SP-WELD,SP WLD,SPUD,SPD WLD
222,BLEED RING,BLD RNG,BLEEDER RING,BLD RING,BR,BLDR RNG,BLDR RING,B/R,B.R.,BLEEDRING,BLD-RNG
223,PIG SIGNALLER,PIG DETECTOR,PIG SIG,PIPELINE PIG SIGNALLER,PIG PASSAGE INDICATOR,PIG PASSAGE SIGNALLER,PIGGING SIGNALLER,PIG DETECTION SYSTEM,PIG PASSING INDICATOR,PIG INDICATOR,PIG SENSOR
224,HDPE PIPE,HIGH DENSITY POLYETHYLENE PIPE,HDPE,PE PIPE,PE4710 PIPE,POLYETHYLENE PIPE,HIGH DENSITY PE PIPE,HD POLYETHYLENE PIPE,HDPE LINE PIPE,PE100 PIPE,HDPE PIPING
225,GLOBE VALVE WYE PATTERN,WYE PATTERN GLOBE VALVE,WYE GLOBE VALVE,Y PATTERN GLOBE VALVE,Y-PATTERN GLOBE VLV,WYE GLB VLV,Y PATTERN GLV,Y-PTN GLOBE VLV,WYE PTN GLV,Y GLV,WYE GLV
226,WYE PATTERN GLOBE,WYE PATTERN GLOBE VALVE,Y PATTERN GLOBE VALVE,WYE GLOBE VALVE,Y GLOBE VALVE,WYE-PATTERN GLOBE,Y-PATTERN GLOBE,WYE PTN GLOBE,Y PTN GLOBE,WYE GLOBE,Y GLOBE
227,Y-GLOBE,Y GLOBE VALVE,Y-PATTERN GLOBE,Y PATTERN GLOBE,Y-GLB,Y GLB,Y-GLOBE VLV,Y GLOBE VLV,Y-TYPE GLOBE,Y TYPE GLOBE,Y PATTERN GLB
228,OS&Y,OUTSIDE SCREW AND YOKE,OS AND Y,OS + Y,OS+Y,O.S.&Y.,O.S.Y.,OSY,OS-Y,OUTSDE SCRW & YOKE,O S & Y
229,AIR VENT,A/V,AV,AIR VNT,A VENT,A-V,A.V.,AIRVENT,AIR-VENT,AIR.VENT,A/VENT
230,GATE NON-RISING STEM,GATE NRS,GTE NRS,NRS GATE,NRS GTE,NON RISING STEM GATE,NON-RISING STEM GATE,GATE VALVE NRS,NRS GATE VALVE,GV NRS,NRS GV
231,INVERTED BUCKET STEAM TRAP,IB STEAM TRAP,INV BUCKET ST,IB ST TRAP,INVTD BUCKET ST,IB TRAP,INV BUCKET TRAP,INVERTED BUCKET ST,IBT,I.B.S.T.,IBST
232,IPS,IRON PIPE SIZE,I.P.S.,I P S,IRON PIPE STANDARD,I.P. SIZE,IRON PS,I PIPE SIZE,IRON P SIZE,IPSIZE,I.PIPE.SIZE
233,INVERTED BUCKET TRAP,IBT,INV BCKT TRP,INV BKT TRAP,I.B.T.,INVTD BCKT TRAP,INV-BCKT-TRP,INVERTED BKT TRAP,INV BUCKET TRAP,INVTD BUCKET TRAP,IB TRAP
234,FLOW CONTROL,FLW CNTRL,FLOW CTRL,FL CTRL,FC,F/C,F.C.,FLOW CNTL,FL CNTRL,FLW CTL,FLOW CTL
235,PILOT,PLT,PILOT VLV,PILOT VALVE,PLT VLV,PLT VALVE,PILOT OPERATED,PILOT ACTUATED,PLT OPERATED,PLT ACTUATED,PILOT OP
236,PRESSURE REGULATOR,PRESS REG,PR REG,PRESS REGTR,P REG,PRES RGTR,PR RGTR,PRES REG,P RGTR,PRESSURE RGTR,PRESS RGTR
237,3WAY BALL,3 WAY BALL VALVE,THREE WAY BALL VALVE,3-WAY BALL VALVE,THREE-WAY BALL VALVE,3W BALL VALVE,3WAY BV,3 WAY BV,THREE WAY BV,3-WAY BV,3W BV
238,FLOAT BALL,FLOATBALL,FLT BALL,FLT BL,FB,F/B,F.B.,FLOAT BL,FLTBALL,F BALL,FLT B
239,DIAPHRAGM GLOBE,DGLOBE,DIA GLOBE,DIAP GLOBE,DIA GLB,DIAPH GLOBE,D-GLOBE,DIAPHRAGM GLB,DIA-GLOBE,D GLOBE,DGLB
240,WELD NECK RTJ,WN RTJ,RTJ WELD NECK,RTJ WN,WELDNECK RTJ,WN-RTJ,RING TYPE JOINT WELD NECK,RING TYPE JOINT WN,RTJ WELDNECK,RING JOINT WELD NECK,RING JOINT WN
241,FULL FACE CARBON,FF CARBON,FULL FACE CRB,FF CRB,F/F CARBON,F.F. CARBON,FULL FACE C,F-F CARBON,FULL-FACE CARBON,F/F CRB,F.F. CRB
242,SCREEN,SCRN,SCR,STRAINER SCREEN,STRN SCRN,FILTER SCREEN,FLTR SCRN,MESH SCREEN,MSH SCRN,SCREENING,SCN
243,SLIP ON RAISED FACE,SLIP ON RF,SO RF,SORF,SO RAISED FACE,SLIP ON R.F.,S.O.R.F.,SO R.F.,S/O RF,S.O. RAISED FACE,SLIP-ON RF
244,CHECK GLOBE INLINE,CK GLB INLINE,CHECK GLB INLINE,CK GLOBE INLINE,INLINE CHECK GLOBE,INLINE CK GLB,INLINE CHECK GLB,INLINE CK GLOBE,CKGLB INLINE,INLINECKGLB,INLINE-CK-GLB
245,245 FOR CARB,245 FORGED CARBON STEEL,245 FORGED CS,245 FOR CS,245 FORGED CARB STL,245 FORGED,245 FOR CARBON STEEL,245 FORGED C/S,245 FOR C/S,245 F/CARB,245 F/CS
246,RAISED FACE WELD NECK ORIFICE,RF WELD NECK ORIFICE,RAISED FACE WN ORIFICE,RF WN ORIFICE,RFWN ORIFICE,RF WELD NECK OR,RAISED FACE WN OR,RF WN OR,RFWN OR,RAISED FACE WELDNECK ORIFICE,RF WELDNECK ORIFICE
247,RAISED FACE WELD NECK ORIFICE FLANGE,RF WELD NECK ORIFICE FLANGE,RAISED FACE WN ORIFICE FLG,RF WN ORIFICE FLANGE,RAISED FACE WELD NECK ORIF FLG,RF WELD NECK ORIF FLG,RAISED FACE WN ORIF FLANGE,RF WN ORIF FLG,RFWN ORIFICE FLANGE,RFWN ORIF FLG,RF WNOF
248,LUG UNION,LG UN,LUG UN,L UNION,LG UNION,L UN,LUG U,L U,LG U,UNION LUG,UN LUG
249,LATERAL WYE,LAT WYE,LAT Y,LATERAL Y,LTL WYE,LTL Y,LAT-WYE,LAT-Y,LTRL WYE,LTRL Y,L-WYE
250,SOCKET COUPLING,SOCK CPLG,SKT CPLG,SOCKET CPLG,SCKT CPLG,S/W CPLG,SOCKOLET CPLG,SW CPLG,SOCK COUPLING,SKT COUPLING,S/W COUPLING
251,SOCKET INSERT,SOCK INSERT,SKT INSERT,SOCKET INS,SKT INS,S-INSERT,SOCK INS,SOCKET INSR,SO INSERT,S INSERT,S.I.
252,HEX REDUCING BUSHING,HEX RED BUSH,HEX BUSHING RED,HEX RED BSH,HEX BUSH RED,HEX RD BUSH,HEX BSH RED,HEX REDUCING BSH,HEX RED BSHG,HEXAGONAL REDUCING BUSHING,HEX BSHG RED
253,ROUND HEAD BULL PLUG,RH BULL PLUG,BULL PLUG RH,RND HEAD BULL PLUG,ROUND HD BULL PLUG,RH BULL PLG,RHBP,RND HD BP,ROUND HEAD BP,RH BP,BULL PLG RH
254,3-WAY BALL,THREE WAY BALL,3 WAY BALL,THREE-WAY BALL,3-WAY BALL VALVE,THREE WAY BALL VALVE,3 WAY BALL VALVE,THREE-WAY BALL VALVE,3W BALL,3W BALL VALVE,3WAY BALL
255,CHECK BALL,CHKBALL,CHK BALL,CK BALL,CHECK BL,CHK BL,CK BL,CHKBL,CKBL,CHK-BALL,CK-BALL
256,CONTROLLED DISC TRAP,CD TRAP,CTRL DISC TRAP,CNTRL DISC TRAP,CDT,CONT DISC TRP,CONTROL DISC TRP,CTRL DSC TRP,CNTRL DSC TRP,CONTRL DISC TRAP,C.D.T.
257,PRESSURE REGISTER,PRESS REG,PRES RGSTR,PR REG,PRESS RGSTR,P REGISTER,P REG,PRES REG,PR REGISTER,PRESSURE REG,P RGSTR
258,ANCHOR FLANGE,ANCHOR FLG,ANC FLG,ANC FLANGE,ANCHR FLG,ANCHR FLANGE,A.F.,A/F,ANCH FLG,ANCH FLANGE,ANCHOR F
259,BLIND RAISED FACE FLANGE,BLIND RF FLANGE,BLD RF FLG,BLIND RF FLG,RF BLIND FLANGE,RF BLD FLG,BLRF FLG,BRF FLANGE,BRF FLG,BLIND R.F. FLANGE,BLIND R/F FLANGE
260,CGI,CAST GRAY IRON,CAST GREY IRON,C.G.I.,C G I,CAST G IRON,CST GRY IRN,CAST GRY IRON,C.GRAY IRON,C.GREY IRON,CST GRAY IRN
261,BELLOWS SEAL GATE,BELLOWS SEAL GATE VALVE,BSG VALVE,BSGV,BS GATE VALVE,BS GATE,BELLOWS GATE,BELLOWS GATE VLV,BSG VLV,BELLOWS SEALED GATE,BELLOWS SEAL GT VLV
262,3 WAY BALL,3WAY BALL,THREE WAY BALL,3-WAY BALL,3W BALL,3 WAY BV,THREE WAY BV,3WAY BV,3-WAY BV,3W BV,3WAY BALL VLV
263,CHECK VALVE SWING,SWING CHECK VALVE,SCV,SWING CHK VLV,SWG CHK VLV,SW CHK VLV,S.C.V.,SWING CHECK,SWG CHECK,SWING CK VLV,SW CK VLV
264,RISING STEM ISOLATION,RSI,RISING STEM ISOL,RS ISOLATION,RS ISOL,RISING STEM ISOL VALVE,RSI VALVE,RISING STEM ISOLATION VLV,RS ISOLATION VLV,RISING STEM ISO,RS ISO
265,WRI,WROT,WROUGHT,WROUGHT IRON,WRT,WROT IRON,W.R.I.,W/R/I,W-R-I,W.R.I,WR IRON
266,STUD,STD,STUD BOLT,ST BOLT,STUDDING,STUD-BOLT,STUD/BOLT,STUD B,ST-BOLT,STD BOLT,STUDBOLT
267,CLAMP BOLT,CLMP BLT,CL BLT,CLAMP-BOLT,CLMP-BLT,CL-BLT,CLAMPING BOLT,C/BOLT,C-BLT,CLAMP B,C BOLT
268,INSTRUMENT,INST,INSTR,INSTRM,INSTRMNT,I&C,INSTRUMENTN,INSTRUMNT,INSTRU,INSTMT,INSTRMT
269,PIPE CLAMP,PIPE CLMP,P CLAMP,P CLMP,PCLMP,PIPE CLP,P CLP,PCLP,PIPE SUPPORT CLAMP,PIPE SUPP CLMP,PSC
270,STUD WITH 2 HEAVY HEX NUTS,STUD W/2HH NUTS,STUD W/ 2 HVY HEX NUTS,STD W/2HHN,STUD & 2HH NUTS,STD & 2HHN,STUD WITH TWO HEAVY HEX NUTS,ALL THREAD WITH 2HHN,AT W/2HHN,STUD 2HHN,STUD-2HHN
271,STUD WITH NUTS,STUD W/ NUTS,STD W/NTS,STUD AND NUTS,STUD & NUTS,STD & NTS,STUD/NUTS,STUDS W/NUTS,STD/NTS,STUD + NUTS,THREADED STUD W/NUTS
272,STUD WITH NUT,STUD W/ NUT,STUD & NUT,STUD AND NUT,STD W/NUT,STD & NUT,STUDDING WITH NUT,STUD/NUT,STD/NUT,STUD W/N,STD W/N
273,THERMODYNAMIC,THERMO DYN,THERMO-DYN,TD,THDY,THERMODYN,TH-DYN,T-DYN,TDYN,T.D.,T/D
274,CAP SCREW,CS,CAP SCR,C/S,C.S.,CAPSCR,CAP-SCREW,CAPSCRW,C-S,CAPSCREW,CAP S
275,DUST CAP,DUST PROTECTION CAP,PROTECTIVE DUST CAP,DUST COVER,END CAP DUST,D-CAP,DCAP,DUST PROTECTION COVER,DUST SHIELD CAP,DST CAP,D CAP
276,DUST PLUG,DUST PLG,D PLG,DUST CAP,D CAP,DST PLG,PLG DUST,DUST PROTECTION PLUG,DUSTPLG,D-PLG,DUST-PLG
277,QUICK COUPLING,QC,QUICK CPLG,QUICK CPLNG,Q/COUPLING,QCOUP,Q-CPLG,Q.CPLG,QUICK-CPLG,Q/C,QK CPLG
278,QUICK DISCONNECT COUPLING,QD COUPLING,QUICK DISC COUPLING,QDC,QUICK CONNECT,QUICK DISCONNECT,Q.D. COUPLING,QUICK RELEASE COUPLING,QD CONNECTOR,QUICK DIS COUPLING,Q/D COUPLING
