primary_term,permutation_1,permutation_2,permutation_3,permutation_4,permutation_5,permutation_6,permutation_7,permutation_8,permutation_9,permutation_10,permutation_11,permutation_12,permutation_13,permutation_14,permutation_15,permutation_16,permutation_17,permutation_18,permutation_19,permutation_20,permutation_21,permutation_22
GAUGE,GA,GG,GAGE,PRESSURE GAUGE,PRESSURE GAGE,PRESS GAUGE,PRESS GA,PR GA,PR GG,P GAUGE,,,,,,,,,,,,
HANDLE,HNDL,HDL,HANDL,HND,H/D,HNDLE,HDLE,H.D.L.,H.D.,H-D,,,,,,,,,,,,
RELIEF,RLF,RLF VLV,RELIEF VALVE,RELIEF VLV,RV,REL VLV,REL VALVE,RLF-VLV,REL-VLV,RELF,,,,,,,,,,,,
GROOVED COUPLING,GRV CPLG,GRVD CPLG,GRV COUPLING,GROOVE CPLG,GRVED CPLG,GRVD COUPLING,GRV-CPLG,GROOVE COUPLING,GRV CPL,GRVD CPL,,,,,,,,,,,,
STEAM TRAP,STM TRP,ST TRP,STM TRAP,ST TRAP,STMTRP,STTRP,S TRAP,STRP,STP,S.T.,,,,,,,,,,,,
FABRICATED PIPE,FAB PIPE,FABR PIPE,FABRICATED PP,FAB PP,FABR PP,FABRICATED PIPING,FAB PIPING,FABR PIPING,PIPE FAB,PP FAB,,,,,,,,,,,,
LR 90 DEGREE ELBOW,LR 90 ELL,LR 90° ELL,LR 90 ELBOW,LR 90° ELBOW,ELBOW LR 90,ELL LR 90,LONG RADIUS 90 ELBOW,LONG RADIUS 90° ELBOW,LR 90,90 LR ELBOW,,,,,,,,,,,,
PIPE,PIP,PIPING,LINE PIPE,TUBE,TUBING,P/P,P.P,PP,LN PIPE,PIPES,,,,,,,,,,,,
WYE LATERAL,WYE LAT,WYE,Y LATERAL,Y LAT,LATERAL WYE,LAT WYE,Y BRANCH,WYE BRANCH,Y-LAT,WYE-LAT,,,,,,,,,,,,
22-0.5 DEGREE ELBOW,22.5 DEG ELBOW,22.5° ELBOW,22.5 DEG ELL,22.5° ELL,22-1/2 DEG ELBOW,22-1/2° ELBOW,22-1/2 DEG ELL,22-1/2° ELL,ELBOW 22.5 DEG,ELL 22.5 DEG,,,,,,,,,,,,
BUTTERFLY,BFLY,BFV,BTFLY,B-FLY,BTRFLY,BUTTERFLY VLV,BUTTERFLY VALVE,B.F.V.,BFLY VLV,BFLY VALVE,,,,,,,,,,,,
FLANGE ADAPTER,FLG ADPTR,FL ADPTR,FLANGE ADPT,FLG ADAPTER,FL ADAPTER,FLANGE-ADAPTER,FLG-ADPTR,FLNG ADPTR,FLNG-ADPTR,FLNG ADAPTER,,,,,,,,,,,,
SADDLE,SDDL,SDL,SADL,SDL FTG,SADDLE FITTING,PIPE SADDLE,SADL FTG,SADDLE FTG,PPE SDL,PPE SADDLE,,,,,,,,,,,,
SWAGE REDUCER,SWAGE RED,SWGRED,SWG RED,SWAGE,SWG REDUCER,SWGR,SWAGE RDR,SWG RDR,SWAGE CONCENTRIC REDUCER,SWAGE ECCENTRIC REDUCER,,,,,,,,,,,,
FABRICATED,FAB,FABR,FABRICATE,FAB'D,FABBED,FABRICATION,FABR'D,FABRICATED,FABRCTN,FAB.,,,,,,,,,,,,
LR 90 ELBOW,LR 90 ELL,LR 90° ELL,LR 90 ELBOW,LR 90° ELBOW,ELBOW LR 90,ELL LR 90,90 LR ELBOW,90 LR ELL,LONG RADIUS 90 ELBOW,LONG RADIUS 90 ELL,,,,,,,,,,,,
PRESSURE GAUGE,PRES GAUGE,PRESS GAUGE,P GAUGE,PG,PRESS GA,P.G.,PRES GA,PRESSURE GA,PR GAUGE,PRESSURE GAGE,,,,,,,,,,,,
SWING CHECK,SWING CHK,SWG CHK,SWNG CHK,SW CHK,SWING CHECK VLV,SWG CHECK VLV,SWING CHK VLV,SWG CHK VLV,SW CHECK VALVE,SWING CHECK VALVE,,,,,,,,,,,,
GLOBE,GLB,GL,GLOB,GLB VLV,GL VLV,GLOBE VLV,GLOBE VALVE,GLB VALVE,GL VALVE,G.L.V,,,,,,,,,,,,
WYE STRAINER,Y STRAINER,Y-STRAINER,WYE-STRAINER,Y STR,WYE STR,Y-STR,WYE-STR,W.Y.E. STRAINER,Y.S.,W.S.,,,,,,,,,,,,
90 ELBOW,90 ELL,90° ELL,90 DEG ELL,90° ELBOW,90 DEG ELBOW,ELBOW 90,ELL 90,90 LR ELBOW,90 SR ELBOW,90 DEGREE ELBOW,,,,,,,,,,,,
Y STRAINER,Y STR,Y-STR,Y-STRAINER,WYES,Y TYPE STRAINER,Y-TYPE STR,WHY STRAINER,Y STRAIN,YS,Y-S,,,,,,,,,,,,
REDUCING PIPE,RED PIPE,REDUCER PIPE,REDUC PIPE,RDC PIPE,RED PP,RDCR PIPE,REDUCING PIP,RED PPE,REDUCER PPE,RDC PPE,,,,,,,,,,,,
BACKUP RING,BU RING,B/U RING,BACK-UP RING,B.U. RING,BKUP RING,BUR,B-U RING,BACK UP RNG,B/U RNG,BKUP RNG,,,,,,,,,,,,
SPIRAL WOUND,SW,SP WND,SPRL WND,SWG,SP-WND,SPRL-WND,SPIRAL WOUND GASKET,SWG GASKET,SW GASKET,SPRL WOUND,,,,,,,,,,,,
SPIRAL,SPRL,SPR,SPRL WND,SPIRAL WOUND,SPIRAL-WOUND,SPRL-WND,SPR-WND,SP-WND,SWG,SW,,,,,,,,,,,,
RING,RNG,R,RINGO,RG,RINGS,RGING,RGS,RING JOINT,RJ,RNG JNT,,,,,,,,,,,,
ACTUATOR,ACT,ACTR,ACTUATR,ACTU,ACTUA,VALVE ACTUATOR,VLV ACT,V/ACT,ACT/V,ACTVR,,,,,,,,,,,,
ANGLE,ANG,ANGL,ANGV,ANGLE VALVE,ANG VLV,ANGVLV,ANGLVLV,ANG V,A.V.,ANGLEV,,,,,,,,,,,,
Y-STRAINER,Y STRAINER,Y-STR,YSTR,Y STR,Y-STRAIN,Y TYPE STRAINER,Y TYPE STR,Y.STR,Y/STR,WSTR,,,,,,,,,,,,
32. ATL TEE,ATLATERAL TEE,ASYMMETRICAL TEE,ATL T,A-TEE,ASYMMETRIC TEE,A-LATERAL,ASYMMETRICAL LATERAL TEE,A LAT TEE,ALAT T,A-LAT,,,,,,,,,,,,
BALL VALVE FULL PORT,BVFP,BV FP,FULL PORT BALL VALVE,FP BALL VALVE,BALL VLV FP,FP BALL VLV,FULL PORT BV,FP BV,F.P.B.V.,BALL VALVE F/P,,,,,,,,,,,,
BASKET,BSKT,BSK,BASK,BASKT,BASKET STRAINER,BSKT STRAINER,BSK STRAINER,BASK STRAINER,BASKT STRAINER,STRAINER BASKET,,,,,,,,,,,,
DUO CHECK,DUO CHK,DUO CK,DUAL CHECK,DUAL CHK,DUAL CK,DC VALVE,DC VLV,DUO CHECK VALVE,DUAL CHECK VALVE,DCV,,,,,,,,,,,,
FLOATING BALL,FLT BALL,FLOAT BALL,FLT BL,FLTG BALL,FLOATING BL,FB VALVE,F.B.,FLT B,FLOAT BL,F BALL,,,,,,,,,,,,
PTFE INSERT TEE,PTFE INS TEE,TFE INSERT TEE,TEFLON INSERT TEE,TEFLON INS TEE,PTFE LINED TEE,TFE LINED TEE,TEFLON LINED TEE,PTFE-LINED TEE,PTFE TEE,FLUOROPOLYMER TEE,,,,,,,,,,,,
RAISED FACE LONG WELD NECK FLANGE,RAISED FACE LONG WN FLANGE,RAISED FACE LWN FLANGE,RF LONG WELD NECK FLANGE,RF LWN FLANGE,RF LONG WN FLANGE,RAISED FACE LONG WELD NECK FLG,RF LONG WELD NECK FLG,RF LWN FLG,RFLWN FLANGE,RFLWN FLG,,,,,,,,,,,,
RAISED FACE SOCKETWELD FLANGE,RAISED FACE SW FLANGE,RAISED FACE SW FLG,RF SOCKETWELD FLANGE,RF SOCKETWELD FLG,RF SW FLANGE,RF SW FLG,RF-SW-FLG,RFSW FLANGE,RFSW FLG,RF-SW,,,,,,,,,,,,
RAISED FACE SOCKETWELD,RAISED FACE SW,RF SOCKETWELD,RF SW,RFSW,RF-SW,RF SOCKET WELD,RAISED FACE SOCKET WELD,RAISED FACE SKT WLD,RF SKT WLD,RFACE SW,,,,,,,,,,,,
REDUCING FLANGE,RED FLG,RED FLANGE,REDUC FLG,REDUC FLANGE,REDUCING FLG,RED. FLG,RED. FLANGE,REDUCER FLANGE,REDUCER FLG,RDC FLANGE,,,,,,,,,,,,
REDUCING INSERT TEE,RED INSERT TEE,REDUCER INSERT TEE,RED INS TEE,REDUCING TEE INSERT,RED TEE INSERT,RIT,REDIT,RED INS T,REDUCING INSERT T,REDUCER INS TEE,,,,,,,,,,,,
STANDARD,STD,STND,STAND,STNDR,STD.,STDRD,STNDRD,STANDARD WEIGHT,STD WT,STD WEIGHT,,,,,,,,,,,,
STRAIGHT,STRGHT,STR,STRT,STRGT,STRAGHT,STRAIT,STRT RUN,STR RUN,STRAIGHT RUN,STRG,,,,,,,,,,,,
STRAIGHT PIPE,STR PIPE,STRGHT PIPE,STRAIGHT PIP,STR PIP,PIPE STRAIGHT,PIPE STR,ST PIPE,STRGHT PIP,S PIPE,PIPE S,,,,,,,,,,,,
STRAINER,STRNR,STR,STRAIN,STRNR ASSY,STRAINER ASSEMBLY,FILTER,FILTR,FLTR,FTR,STRNR-ASSY,,,,,,,,,,,,
THREADED RAISED FACE FLANGE,THRD RF FLANGE,THD RF FLG,THREADED RF FLANGE,THD RAISED FACE FLG,THRD RAISED FACE FLANGE,RF THREADED FLANGE,RF THD FLG,RAISED FACE THD FLANGE,RAISED FACE THRD FLG,RF THRD FLG,,,,,,,,,,,,
TRUNNION BALL,TRUN BALL,TRUNN BALL,TRN BALL,TRUN BL,TB VLV,TRUN VLV,TRUNNION BV,TRUN B VLV,TRUNNION BALL VLV,TRUNNION BALL VALVE,,,,,,,,,,,,
POPPET CHECK,POPPET CHK,POP CHK,POPPET CHECK VALVE,POP CHECK VALVE,POPPET CHK VLV,POP CHK VLV,POPPET CV,POP CV,PCVA,P.C.V.,,,,,,,,,,,,
WAFER CHECK,WFR CHK,WAFER CHK,WFR CHECK VLV,WAFER CHECK VLV,WFR CHK VLV,WCV,W.C.V.,WAFER CK,WFR CK,WF CHK,,,,,,,,,,,,
WELD NECK RAISED FACE,WELD NECK RF,WN RF,WNRF,RAISED FACE WELD NECK,RF WELD NECK,RF WN,WELD NECK R.F.,WN R.F.,RAISED FACE WN,RF-WN,,,,,,,,,,,,
52 45 ELBOW,52 45 ELL,52 45° ELL,52 45 ELBOW,52 45° ELBOW,ELBOW 52 45,ELL 52 45,52 45DEG ELL,52 45DEG ELBOW,52-45 ELBOW,52-45 ELL,,,,,,,,,,,,
PUSH PULL TEE,PP TEE,P-P TEE,PUSH-PULL TEE,PUSH/PULL TEE,P/P TEE,PUSH & PULL TEE,PUSH&PULL TEE,PUSH-PULL T,PP T,P&P TEE,,,,,,,,,,,,
BALL CHECK,BALL CHK,BALL CK,B CHK,BCK,B CK,BALL CHECK VLV,BALL CHECK VALVE,BC VLV,BC VALVE,BCV,,,,,,,,,,,,
PUSH PULL,PSH PLL,PUSH-PULL,P-P,PUSH/PULL,P/P,P.P.,PUSHPULL,PSH-PLL,PSH/PLL,P PULL,,,,,,,,,,,,
FLOOR FLANGE,FL FLG,FLOOR FLG,FLR FLANGE,FLR FLG,FLG FLOOR,FLANGE FLOOR,FL. FLANGE,FL. FLG,FLOOR FLNG,FLR FLNG,,,,,,,,,,,,
GROUND JOINT UNION,GJ UNION,GROUND JT UNION,GRD JT UNION,GJ UNN,GRD JOINT UNN,GRND JT UNN,G.J. UNION,G.J.U.,GND JT UNION,GROUND JOINT UNN,,,,,,,,,,,,
REDUCER COUPLING,RED CPLG,RED COUPLING,REDUCING CPLG,REDUCING COUPLING,RED COUPLINGS,REDUCER CPLG,RED CPLNG,REDUCING CPLNG,RDCR CPLG,RDC CPLG,,,,,,,,,,,,
STREET 45 DEGREE ELBOW,STR 45 ELL,STR 45° ELL,STREET 45 ELL,STREET 45° ELL,STR 45 ELBOW,STR 45° ELBOW,STREET 45° ELBOW,45° STREET ELBOW,45 STR ELBOW,45° STR ELL,,,,,,,,,,,,
STREET 45 ELBOW,STR 45 ELL,STR 45° ELL,STR 45 ELBOW,STR 45° ELBOW,STREET 45 ELL,STREET 45° ELL,ELBOW STR 45,ELL STR 45,45 STR ELBOW,45° STR ELL,,,,,,,,,,,,
STREET 90 DEGREE ELBOW,STREET 90 DEG ELBOW,STREET 90° ELBOW,ST 90 DEG ELBOW,ST 90° ELBOW,STREET 90 ELL,STREET 90° ELL,ST 90 ELL,ST 90° ELL,STR 90 ELBOW,STR 90° ELL,,,,,,,,,,,,
STREET 90 ELBOW,STR 90 ELL,STR 90° ELL,STREET 90° ELBOW,STREET 90 ELL,STR 90 ELBOW,STREET ELBOW 90,90 STREET ELBOW,90° STREET ELL,90 STR ELBOW,90° STR ELL,,,,,,,,,,,,
FULL FACE,FF,F/F,F.F.,F-F,FULL-FACE,FULL FACED,F FACE,FULL/FACE,F/FACE,FULL.FACE,,,,,,,,,,,,
FLAT,FLT,FL,FLAT FACE,FF,F/F,F.F.,F-F,FLAT FC,FLAT FACED,F FACE,,,,,,,,,,,,
AIR VENT RELEASE,AIR VENT,AUTO AIR VENT,AIR RELEASE VALVE,AIR RELIEF VALVE,AIR VENT VALVE,AUTO AIR RELEASE,AIR RELEASE,AIR RELIEF,ARV,AV,,,,,,,,,,,,
AIR VENT VALVE,AV VALVE,AIR VNT VLV,AVV,A.V.V.,AIR VENT VLV,AIR RELEASE VALVE,AIR REL VLV,AIR RELIEF VALVE,AIR RLF VLV,VENT VALVE,,,,,,,,,,,,
CONTROL,CTRL,CNTRL,CONTRL,CNT,CTL,CNTL,CONT,CONTR,C-TRL,CTR,,,,,,,,,,,,
DRAIN TRAP,DRN TRAP,DRAIN TRP,DRN TRP,DRNTRAP,DRNTRP,D TRAP,D TRP,DTRP,D.TRAP,D.TRP,,,,,,,,,,,,
FLANGE NUT/BOLT SET,FLG NUT/BOLT SET,FLANGE BOLT SET,FLG BOLT SET,FLANGE FASTENER SET,FLG FASTENER SET,NUT AND BOLT SET,STUD BOLT SET,STUD AND NUT SET,FLANGE STUD SET,FLG STUD SET,,,,,,,,,,,,
NIPPLE ADAPTER,NIP ADPTR,NPADP,NIP ADP,NIPADP,NIPPLE ADPTR,NIP-ADP,NIPLE ADAPTER,NIPLE ADPTR,N-ADP,NADP,,,,,,,,,,,,
SIGHT FLOW INDICATOR,SFI,SIGHT GLASS,FLOW INDICATOR,SIGHT FLOW,FLOW SIGHT,S.F.I.,SIGHT FLW IND,FLOW SIGHT GLASS,SIGHT GLASS INDICATOR,FLOW SIGHT IND,,,,,,,,,,,,
SLEEVED PLUG,SLVD PLUG,SLV PLUG,SLEEVE PLUG,SLEEVED PLG,SL PLUG,SLVD PLG,SLV PLG,SLEEVE PLG,SL PLG,SLPLG,,,,,,,,,,,,
STUD AND NUT KIT,STUD & NUT KIT,STD & NUT KIT,STUD N NUT KIT,STUD/NUT KIT,S&N KIT,STUD NUT SET,STD/NUT SET,STUD/NUT ASSEMBLY,STUD AND NUT SET,STUD & NUT ASSEMBLY,,,,,,,,,,,,
STUD BOLT KIT,SB KIT,STD BLT KIT,STUD BLT KIT,SBK,STD BOLT SET,STUD SET,STUD/NUT SET,STUD AND NUT KIT,BOLT/NUT KIT,STUD/NUT KIT,,,,,,,,,,,,
STUD NUT SET,STD NUT SET,STUD & NUT SET,STUD AND NUT SET,STUD/NUT SET,STD/NUT SET,STUD N NUT SET,STUDNUT SET,STD & NUT SET,STUD-NUT SET,SNS,,,,,,,,,,,,
TANK FLANGE,TNK FLG,TANK FLG,TNK FLANGE,TK FLANGE,TK FLG,STORAGE TANK FLANGE,STORAGE TANK FLG,VESSEL FLANGE,VESSEL FLG,T-FLG,,,,,,,,,,,,
WEIR,WR,WIR,WER,WEIER,WYR,WEAR,WIER,W-R,W.R.,WYRE,,,,,,,,,,,,
RED RUBBER FLAT FACE,RED RBR FF,RED RUBBER FF,RR FF,RED RBR FLAT FACE,RRFF,RED RBR F/F,RED RUBBER F/F,RR F/F,RED RBR FLAT FCE,RED RUBBER FLAT FCE,,,,,,,,,,,,
BUSHING,BSH,BUSH,BSHG,REDUCER BUSH,REDUCING BUSH,RED BUSH,BUSHN,BSHING,BSHNG,BSG,,,,,,,,,,,,
CONE STRAINER,CONE STRNR,CONE STRN,CONE STR,CONE FILTER,CN STRAINER,CN STRNR,CN STRN,CONICAL STRAINER,CONICAL STRNR,CONICAL FILTER,,,,,,,,,,,,
HEX CSK PLUG,HEX COUNTERSUNK PLUG,HEXAGONAL COUNTERSUNK PLUG,HEX CS PLUG,HEX CSNK PLUG,HEXAGON CSK PLUG,HEX COUNTRSUNK PLUG,HEXAGONAL CSK PLUG,HEX COUNTER SUNK PLUG,HEXAGON COUNTER SUNK PLUG,HEX C/S PLUG,,,,,,,,,,,,
HEX HEAD BLIND FLANGE,HEX HD BLIND FLG,HEX HEAD BLIND FLG,HH BLIND FLANGE,HH BLIND FLG,HHBLIND FLANGE,HHBLIND FLG,HEX BLIND FLANGE,HEX BLIND FLG,HEX HD BL FLG,HH BL FLG,,,,,,,,,,,,
HEX PLUG,HEX PL,HEX PLG,HEXPLG,HX PLG,HXPLG,H PLG,HP,HEXAGONAL PLUG,HEX HEAD PLUG,HEX HD PLG,,,,,,,,,,,,
KNIFE GATE,KGV,KNFE GT,KNF GT,K.G.V.,KNIFE GT,KN GT,K GT,KNIFE-GATE,KNF-GT,K/G/V,,,,,,,,,,,,
MALE ADAPTER,MA,MALE ADPT,M ADAPTER,M ADPT,MALE ADP,M ADP,ML ADPT,MALE FITTING,M-ADPT,M.A.,,,,,,,,,,,,
RAISED FACE REDUCING FLANGE,RF REDUCING FLANGE,RF RED FLANGE,RF RED FLG,RAISED FACE RED FLANGE,RAISED FACE RED FLG,RF REDUCING FLG,RFRED FLG,RF RED,RAISED FACE REDUCER,RF REDUCER,,,,,,,,,,,,
RAISED FACE REDUCING THREADED FLANGE,RAISED FACE RED THD FLANGE,RAISED FACE RED THD FLG,RF REDUCING THREADED FLANGE,RF RED THREADED FLG,RF RED THD FLANGE,RF RED THD FLG,RF RTF,RFRTF,RF RED THRD FLG,RAISED FACE RED THRD FLG,,,,,,,,,,,,
REDUCING THREADED RAISED FACE FLANGE,RED THD RF FLANGE,RED THD RF FLG,REDUCING THD RF FLANGE,REDUCING THD RF FLG,RED THRD RF FLANGE,RED THRD RF FLG,REDUCING THREADED RF FLG,RED NPT RF FLANGE,RED NPT RF FLG,REDUCING NPT RF FLG,,,,,,,,,,,,
THREADED BUSHING,THD BUSHING,THRD BUSHING,THD BUSH,THRD BUSH,TH BUSH,THREADED BSH,THD BSH,THRD BSH,T BUSH,TB,,,,,,,,,,,,
90. BOLT SET,90° BOLT SET,90DEG BOLT SET,90 DEGREE BOLT SET,90 DEG BST,90° BST,90 BSET,90DEG BS,90° BS,90 BS,90 B/S,,,,,,,,,,,,
22-0.5 ELBOW,22-1/2 ELBOW,22.5 ELBOW,22-0.5 ELL,22-1/2 ELL,22.5 ELL,22-0.5° ELBOW,22-1/2° ELBOW,22.5° ELBOW,22-0.5° ELL,22-1/2° ELL,,,,,,,,,,,,
2-PIECE 22-0.5 DEGREE ELBOW,2PC 22-0.5 DEG ELL,2 PC 22-0.5° ELBOW,2-PC 22-0.5° ELL,2 PIECE 22-0.5° ELL,2-PIECE 22-0.5 DEG ELL,2PC 22-0.5° ELBOW,2 PC 22-0.5 DEG ELBOW,ELBOW 2PC 22-0.5°,ELL 2PC 22-0.5 DEG,2-PC 22-0.5 ELBOW,,,,,,,,,,,,
30 DEGREE ELBOW,30 DEG ELL,30° ELL,30 ELBOW,30° ELBOW,ELBOW 30,ELL 30,30 DEG BEND,30° BEND,30 DEG,30°,,,,,,,,,,,,
FABRICATED TEE,FAB TEE,FABRICATED T,FAB T,FABR TEE,FABR T,FABRICATED-TEE,FABRICATED T,FABRICATED-T,FAB-TEE,FAB-T,,,,,,,,,,,,
BACK UP FLANGE,BACKUP FLANGE,BACK-UP FLANGE,BUF,B/U FLANGE,B.U. FLANGE,BACK UP FLG,BACKUP FLG,B/U FLG,BU FLANGE,BU FLG,,,,,,,,,,,,
BACKUP FLANGE,BU FLANGE,BACKUP FLG,BU FLG,B/U FLANGE,B/U FLG,BACK-UP FLANGE,BACK-UP FLG,B.U. FLANGE,B.U. FLG,BKUP FLG,,,,,,,,,,,,
30 ELBOW 2-PIECE,30° ELBOW 2PC,30 DEG ELBOW 2-PC,30° ELL 2-PIECE,30 DEG ELL 2PC,2PC 30° ELBOW,2-PIECE 30 DEG ELL,2PC 30 DEG ELBOW,30° 2PC ELBOW,30 DEG 2-PC ELL,2-PC 30° ELL,,,,,,,,,,,,
MECHANICAL JOINT ADAPTER,MJ ADAPTER,MECH JT ADAPTER,MJ ADPTR,MECHANICAL JT ADPTR,MECH JOINT ADAPTER,MJ ADP,MECH JT ADP,MECHANICAL JOINT ADP,MJ-ADAPTER,MECH-JOINT-ADAPTER,,,,,,,,,,,,
WATER ANCHOR PIPE,WAP,WATER ANCHOR,W/A PIPE,WA PIPE,H2O ANCHOR PIPE,ANCHOR PIPE WATER,W.A.P.,H2O A/P,WATER A/P,W-A-P,,,,,,,,,,,,
2-PIECE ELBOW,2 PC ELBOW,2PC ELBOW,2-PC ELBOW,TWO PIECE ELBOW,TWO-PIECE ELBOW,2 PIECE ELL,2-PC ELL,2PC ELL,TWO PIECE ELL,TWO-PIECE ELL,,,,,,,,,,,,
BRANCH SADDLE,BRCH SDL,BR SDL,BRANCH SDL,BR SADDLE,BRCH SADDLE,BRNCH SDL,B SDL,SADDLE BRANCH,SDL BRANCH,B SADDLE,,,,,,,,,,,,
HAMMER LUG UNION,HAMMER UNION,HAMMER LUG,HMR LUG UNION,HMR UNION,HMR LUG,H/L UNION,H.L.U.,H L U,HLU,HL UNION,,,,,,,,,,,,
VALVE,VLV,V/V,VV,VALV,V,VAL,VLE,VL,VA,V.V.,,,,,,,,,,,,
VICTAULIC TRANSITION,VIC TRANS,VICTAULIC TRANS,VIC TRANSITION,VICT TRANS,VICT TRANSITION,VIC-TRANS,VICTAULIC-TRANS,VIC TRANSITION COUPLING,VICTAULIC TRANSITION COUPLING,VIC TRANS CPLG,,,,,,,,,,,,
THERMODYNAMIC TRAP,TD TRAP,THERMO TRAP,TDT,THERMODYNAMIC STEAM TRAP,TD STEAM TRAP,THERMO-DYNAMIC TRAP,T/D TRAP,DISC TRAP,THERMODYNAMIC DISC TRAP,T.D. TRAP,,,,,,,,,,,,
VOLUME BOOSTER,VOL BOOSTER,VOL BOOST,V BOOSTER,V-BOOST,VB,V.B.,VOLM BOOSTER,VOLM BOOST,V BOOST,VOL BST,,,,,,,,,,,,
TUBE,TUB,TB,TUBING,TBG,TUBULAR,T.B.,T.U.B.E.,TBING,TBE,TUBES,,,,,,,,,,,,
STUD AND NUT SET,STUD & NUT SET,STUD AND NUTS,STUD & NUTS,STUD/NUT SET,STUD/NUTS,STD & NUT,S&N SET,S/N SET,STUD/NUT ASSEMBLY,STUD-NUT SET,,,,,,,,,,,,
GLOBE PLUG,GLB PLG,GL PLG,GLOBE PLG,GL PLUG,G PLG,GLB PL,GB PLG,GLBE PLG,GLB PLUG,G PLUG,,,,,,,,,,,,
PISTON CHECK,PIST CHK,PST CHK,PSTN CHK,PISTON CHK VLV,PIST CHECK VLV,PISTON CHK VALVE,P.C.V.,PSTN CHECK,PST CHECK,PIST CK,,,,,,,,,,,,
DUAL PLATE CHECK,DPCV,DL PLT CK,DP CK,D.P.C.V.,DL PLT CHK,DUAL PLT CHECK,DUAL PLATE CK,DP CHECK,DPC VALVE,DUAL CHECK,,,,,,,,,,,,
RAISED FACE,RF,R/F,R.F.,R F,R-F,RFACE,RAISED FCE,RSD FACE,RSDFACE,R.FACE,,,,,,,,,,,,
SOCKETWELD,SW,SCKT WLD,SKT WLD,S/W,SOCKET WELD,SCKT WELD,S.W.,SKT-WLD,SCKT-WLD,S-W,,,,,,,,,,,,
FLAT RING,FR,FLT RNG,FLAT RNG,F/R,F.R.,F-R,FLAT-RING,FLAT/RING,F RING,FLT RING,,,,,,,,,,,,
ALARM CHECK,ALARM CHK,ALRM CHK,ALM CHK,ALARM CHECK VLV,ALARM CHECK VALVE,ALM CHECK VALVE,ALRM CHK VLV,A.C.V.,ACV,ALARM CK,,,,,,,,,,,,
ALARM VALVE,ALRM VLV,ALM VLV,ALARM VLV,A VLV,ALRM V,ALM V,AL VLV,A.V.,ALRM VALVE,AL V,,,,,,,,,,,,
MOUNTING GAUGE,MTG GAUGE,MOUNT GAUGE,MNT GAUGE,MTG GA,MOUNT GA,MNT GA,MOUNTING GG,MTG GG,MNT GG,M GAUGE,,,,,,,,,,,,
CROSS GASKET,CROSS GSK,X GSK,CROSS-GSK,X-GSK,CROSS SEAL,X SEAL,XGSK,X-G,CROSS-G,CROSS G,,,,,,,,,,,,
SPIRAL WOUND CROSS,SW CROSS,SWG CROSS,SPRL WND CROSS,SPIRAL WND CROSS,SP WND CROSS,SPW CROSS,SPC CROSS,SPWC,SWGC,SW-CROSS,,,,,,,,,,,,
NON-ASBESTOS,NON ASBESTOS,NON-ASB,NON ASB,N-A,ASBESTOS FREE,ASB FREE,ASB-FREE,NON ASBESTOS MATERIAL,,,,,,,,,,,,,,
IRON PIPE,IP,I PIPE,I-PIPE,IRON PIP,I.P.,FE PIPE,IRON PPE,I.PIPE,IRN PIPE,IRON P,,,,,,,,,,,,
MOUNT,MTN,MNT,MTG,MOUNTING,MNTG,MT,MOUNTER,MOUNTED,MOUNTINGS,MNTS,,,,,,,,,,,,
BALL VALVE REDUCED PORT,BALL VLV RED PORT,BALL VLV RP,BV RED PORT,BV RP,BVRP,RED PORT BALL VLV,RP BALL VLV,REDUCED PORT BV,RP BV,BALL VALVE RP,,,,,,,,,,,,
REDUCED PORT BALL,RED PORT BALL,RP BALL,REDUCED PORT BALL VALVE,RED PORT BALL VALVE,RP BALL VALVE,RPBV,RPB,RED PORT BV,REDUCED PORT BV,R.P.B.V.,,,,,,,,,,,,
STEAM AIR VENT,STM AIR VENT,STEAM VENT,STM VENT,AIR VENT,STEAM A/V,STM A/V,S.A.V.,SAV,STEAM AV,STM AV,,,,,,,,,,,,
CLOSURE,CLSR,PIPE CLOSURE,END CLOSURE,CLR,CLS,CLOSR,PIPE CLSR,END CLSR,CLSURE,PIPING CLOSURE,,,,,,,,,,,,
SIMPLE,SIMP,SMPL,SMP,SIM,SIMPL,BASIC,STD,STANDARD,PLAIN,REGULAR,,,,,,,,,,,,
CROSS GROOVE INSERT,CGI,CROSS GRV INSERT,CROSS GROOVE INSRT,CROSS-GROOVE INSERT,CG INSERT,CROSS GRV INSRT,C/G INSERT,C.G.I.,CROSS-GRV INSERT,CRS GRV INSERT,,,,,,,,,,,,
COVER,CVR,COVR,COV,CVER,PLATE COVER,CLOSURE,CAP COVER,BLIND COVER,ACCESS COVER,PROTECTIVE COVER,,,,,,,,,,,,
Y-BALL CHECK,Y BALL CHK,Y-BALL CHK,Y BALL CHECK VLV,Y-BALL CHECK VLV,Y-BALL CHK VLV,YBC,Y.B.C.,Y BALL CV,Y-B-C,Y/B/C,,,,,,,,,,,,
WELD NECK RTJ FLANGE,WN RTJ FLANGE,WELD NECK RTJ FLG,WN RTJ FLG,RTJ WELD NECK FLANGE,RTJ WELD NECK FLG,RTJ WN FLANGE,RTJ WN FLG,WNRTJ FLANGE,WNRTJ FLG,WN-RTJ FLANGE,,,,,,,,,,,,
