,category,type,primary_size,reducing_size,length,material_name,material_specification,material_grade,pressure_class,primary_schedule,reducing_schedule,manufacturing_process,end_finish,end_connections,trim,miscellaneous,confidence,original_text
292,flange,weld_neck,2.0,,,alloy_steel,A182,F11,600,80,,,raised_face,flanged,,class_2,0.9,"2 WELD NECK FLANGE , ASME B16.5 , CLASS 600 , RAISED-FACE FLANGED END , ASTM A182 GRADE F 11 CLASS 2 (UNS K11572) S-80"
293,flange,weld_neck,2.0,,,stainless_steel,A182,F304/F304L,600,10S,,,raised_face,flanged,,ASME B16.5,1.0,"2 WELD NECK FLANGE , ASME B16.5 , CLASS 600 , RAISED-FACE FLANGED END , ASTM A182 GRADE F 304/F 304L S-10S"
294,flange,weld_neck,2.0,,,carbon_steel,A350,LF2,600,80,,,raised_face,flanged,,class 1,0.9,"2 WELD NECK FLANGE , ASME B16.5 , CLASS 600 , RAISED-FACE FLANGED END , ASTM A350 GRADE LF2 CLASS 1 S-80"
295,flange,weld_neck,2.0,,,carbon_steel,A350,LF2,600,XS,,,raised_face,flanged,,class 1,0.9,"2 WELD NECK FLANGE , ASME B16.5 , CLASS 600 , RAISED-FACE FLANGED END , ASTM A350 GRADE LF2 CLASS 1 S-XS"
296,fitting,coupling,2.0,,,carbon_steel,A105,,3000,,,forged,,socket_weld,,ASME 16.11,0.9,"2"" CPLG, SW, ASME 16.11, FORGED STEEL, ASTM/ASME A/SA-105, 3000#"
297,fitting,45_degree_elbow,2.0,,,carbon_steel,A105,,3000,,,forged,,socket_weld,,ASME 16.11,0.9,"2"" ELBOW 45D, SW, ASME 16.11, FORGED STEEL, ASTM/ASME A/SA-105, 3000#"
298,fitting,elbow_90,2.0,,,carbon_steel,A105,,3000,,,forged,,socket_weld,,ASME 16.11,0.9,"2"" ELBOW 90D, SW, ASME 16.11, FORGED STEEL, ASTM/ASME A/SA-105, 3000#"
299,flange,blind,2.0,,,carbon_steel,A105,,300,,,forged,,,,ASME 16.5,0.9,"2"" FLANGE BLIND, 300#, ASME 16.5, FORGED STEEL, ASTM/ASME A/SA-105"
300,flange,socket_weld,2.0,,,carbon_steel,A105,,150,extra_strong,,forged,flat_face,socket_weld,,ASME 16.5,0.9,"2"" FLANGE, FFSW, 150#, XS, ASME 16.5, FORGED STEEL, ASTM/ASME A/SA-105"
301,flange,slip_on,2.0,,,carbon_steel,A105,,300,,,forged,raised_face,,,ASME 16.5,0.9,"2"" FLANGE, RFSO, 300#, ASME 16.5, FORGED STEEL, ASTM/ASME A/SA-105"
302,flange,socket_weld,2.0,,,carbon_steel,A105,,150,extra_strong,,forged,raised_face,socket_weld,,ASME 16.5,0.9,"2"" FLANGE, RFSW, 150#, XS, ASME 16.5, FORGED STEEL, ASTM/ASME A/SA-105"
303,pipe,erw_pipe,2.0,,,carbon_steel,A53,B,,extra_strong,,erw,black,,,,0.9,"2"" PIPE, ASTM A53, GRADE B, CS BLK, ERW, SCH XS"
304,fitting,tee,2.0,,,carbon_steel,A105,,3000,,,forged,,socket_weld,,ASME 16.11,0.9,"2"" TEE, SW, ASME 16.11, FORGED STEEL, ASTM/ASME A/SA-105, 3000#"
305,fitting,elbow_45,2.0,,,carbon_steel,A105,,3000,,,forged,,socket_weld,trimmed,ASME 16.11,0.9,"2"" TRIMMED ELBOW 45D, SW, ASME 16.11, FORGED STEEL, ASTM/ASME A/SA-105, 3000#"
306,fitting,concentric_reducer,2.0,1.0,,carbon_steel,A106,B,,,,seamless,plain_end,plain_end,,ASME 16.11,0.9,"2""X1"" SWAGE, CONC, PBE, ASME 16.11, SMLS STEEL, ASTM/ASME A/SA-106-B"
307,fitting,concentric_reducer,2.0,1.0,,carbon_steel,A234,WPB,,,,wrought,,plain_end x beveled,,ASME B16.9,0.9,"2""X1"" SWAGE, CONC, PSE X BLE, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB"
308,fitting,concentric_reducer,2.0,0.5,,carbon_steel,A106,B,,,,seamless,,plain_end,,ASME 16.11,0.9,"2""X1/2"" SWAGE, CONC, PBE, ASME 16.11, SMLS STEEL, ASTM/ASME A/SA-106-B"
309,fitting,45_degree_long_radius_elbow,20.0,,,low_temperature_carbon_steel,A420,WPL6,,standard,,,beveled,butt_weld,,ASME B16.9,0.9,"20 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE W S-STD"
310,pipe,seamless_pipe,20.0,,,carbon_steel,A106,B,,standard,,seamless,beveled,,,ASME B36.10,0.9,"20 PIPE , ASME B36.10 , BEVELED END , ASTM A106-B , SEAMLESS S-STD"
311,pipe,pipe,20.0,,,stainless_steel,A312,TP304/TP304L,,10S,,electric_fusion_welded,beveled,PE,,EJ = 0.80,0.9,"20 PIPE , ASME B36.19 , BEVELED END , ASTM A312 GRADE TP304/TP304L , ELECTRIC FUSION WELDED , (EJ = 0.80) S-10S"
312,flange,weld_neck,20.0,,,stainless_steel,A182,F304/F304L,150,10S,,,raised_face,flanged,,ASME B16.5,1.0,"20 WELD NECK FLANGE , ASME B16.5 , CLASS 150 , RAISED-FACE FLANGED END , ASTM A182 GRADE F 304/F 304L ,- S-10S"
313,flange,weld_neck,20.0,,,stainless_steel,A182,F316/F316L,150,10S,,,raised_face,flanged,,ASME B16.5,1.0,"20 WELD NECK FLANGE , ASME B16.5 , CLASS 150 , RAISED-FACE FLANGED END , ASTM A182 GRADE F 316/F 316L S-10S"
314,flange,weld_neck,20.0,,,carbon_steel,A350,LF2,150,STD,,,raised_face,flanged,,"ASME B16.5, Class 1",0.9,"20 WELD NECK FLANGE , ASME B16.5 , CLASS 150 , RAISED-FACE FLANGED END , ASTM A350 GRADE LF2 CLASS 1 S-STD"
315,gasket,spiral_wound,20.0,,,stainless_steel,,316,600,,,,,,316,FG IR,0.9,20 WRI 600# 316 FG 316 IR SWG
316,fitting,cap,20.0,,,carbon_steel,A234,WPB,,standard,,wrought,,butt_weld,,ASME B16.9,0.9,"20"" CAP, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD"
317,fitting,long_radius_45_elbow,20.0,,,carbon_steel,A234,WPB,,standard,,wrought,,butt_weld,,ASME B16.9,0.9,"20"" ELBOW 45D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD"
318,fitting,90_degree_long_radius_elbow,20.0,,,carbon_steel,A234,WPB,,standard,,wrought,,butt_weld,,ASME B16.9,0.9,"20"" ELBOW 90D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD"
319,flange,weld_neck,20.0,,,carbon_steel,A105,,150,standard,,forged,raised_face,weld_neck,,ASME 16.5,0.9,"20"" FLANGE, RFWN, 150#, SCH.STD, ASME 16.5, FORGED STEEL, ASTM/ASME A/SA-105"
320,pipe,welded_pipe,20.0,,,stainless_steel,A312,304L,,10S,,welded,,,,ASME B36.19M,0.9,"20"" PIPE, ASTM A-312 304L SS, WELDED, SCH 10S, ASME B36.19M"
321,pipe,erw_pipe,20.0,,,carbon_steel,A53,B,,standard,,ERW,black,,,,0.9,"20"" PIPE, ASTM A53, GRADE B, CS BLK, ERW, SCH.STD"
322,fitting,tee,20.0,,,carbon_steel,A234,WPB,,standard,,wrought,,butt_weld,,ASME 16.9,0.9,"20"" TEE, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD"
323,fitting,concentric_reducer,20.0,14.0,,carbon_steel,A234,WPB,,standard,,wrought,BW,butt_weld,,ASME B16.9,0.9,"20""X14"" REDUCER, CONC, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD"
324,fitting,concentric_reducer,20.0,12.0,,low_temp_carbon_steel,A420,WPL6,,std,,,beveled,bw,,ASME B16.9,0.9,"20X12 CONCENTRIC REDUCER , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE W S-STD"
325,fitting,eccentric_reducer,20.0,18.0,,low_temperature_carbon_steel,A420,WPL6,,STD,STD,,beveled,BW,,ASME B16.9,0.9,"20X18 ECCENTRIC REDUCER , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE W S-STD"
326,fitting,reducing_tee,20.0,16.0,,carbon_steel,A234,WPB,,,,,beveled,BW,,TYPE S,0.9,"20X20X16 REDUCING TEE , ASME B16.9 , BEVELED END , ASTM A234 GRADE WPB , TYPE S"
327,fitting,reducing_tee,20.0,16.0,,carbon_steel,A234,WPB,,standard,standard,,beveled,BW,,ASME B16.9,0.9,"20X20X16 REDUCING TEE , ASME B16.9 , BEVELED END , ASTM A234 GRADE WPB , TYPE S S-STD"
328,fitting,long_radius_45_elbow,24.0,,,stainless_steel,A403,WP304/WP304L,,10S,,,beveled,BW,,ASME B16.9,0.9,"24 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP304/WP304L , TYPE W S-10S"
329,fitting,long_radius_45_elbow,24.0,,,carbon_steel,A420,WPL6,,standard,,,beveled,,,ASME B16.9,0.9,"24 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD"
330,fitting,long_radius_elbow,24.0,,,low_temperature_carbon_steel,A420,WPL6,,STD,,,beveled,BW,,ASME B16.9,0.9,"24 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD"
331,fitting,90_degree_long_radius_elbow,24.0,,,carbon_steel,A420,WPL6,,STD,,,beveled,BW,,ASME B16.9,0.9,"24 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE W S-STD"
332,flange,blind,24.0,,,carbon_steel,A350,LF2,150,,,,raised_face,flanged,,class 1,0.9,"24 BLIND FLANGE , ASME B16.5 , CLASS 150 , RAISED-FACE FLANGED END , ASTM A350 GRADE LF2 CLASS 1"
333,fitting,cap,24.0,,,low_temperature_steel,A420,WPL6,,standard,,,beveled,BW,,ASME B16.9,0.9,"24 CAP , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD"
334,gasket,flat_face,24.0,,,non_asbestos,ASME B16.21,,150,,,,flat_face,flanged,,1.6 MM (0.063 IN) THICK,0.9,"24 FLAT GASKET, NON-METALLIC, SOLID , ASME B16.21 , CLASS 150 , FLAT-FACE FLANGED END , COMPRESSED NON-ASBESTOS SHEET OR FIBER , 1.6 MM (0.063 IN) THICK"
335,pipe,pipe_welded,24.0,,,stainless_steel,A312,TP304/TP304L,,10S,,electric_fusion_welded,beveled,be,,EJ = 0.80,0.9,"24 PIPE , ASME B36.19 , BEVELED END , ASTM A312 GRADE TP304/TP304L , ELECTRIC FUSION WELDED , (EJ = 0.80) S-10S"
336,flange,weld_neck,24.0,,,carbon_steel,A350,LF2,150,STD,,,raised_face,flanged,,"ASME B16.5, Class 1",0.9,"24 WELD NECK FLANGE , ASME B16.5 , CLASS 150 , RAISED-FACE FLANGED END , ASTM A350 GRADE LF2 CLASS 1 S-STD"
337,flange,weld_neck,24.0,,,carbon_steel,A350,LF2,300,STD,,,raised_face,flanged,,"ASME B16.5, Class 1",0.9,"24 WELD NECK FLANGE , ASME B16.5 , CLASS 300 , RAISED-FACE FLANGED END , ASTM A350 GRADE LF2 CLASS 1 S-STD"
338,fitting,cap,24.0,,,carbon_steel,A234,WPB,,standard,,wrought,,butt_weld,,ASME 16.9,0.9,"24"" CAP, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD"
339,fitting,long_radius_45_elbow,24.0,,,stainless_steel,B16.9,304,,10S,,,,butt_weld,,,0.9,"24"" ELBOW 45D, LR, BW, ANSI B16.9, 304SS, SCH 10S"
340,fitting,45_degree_long_radius_elbow,24.0,,,carbon_steel,A234,WPB,,standard,,wrought,,butt_weld,,ASME B16.9,0.9,"24"" ELBOW 45D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD"
341,fitting,long_radius_90_elbow,24.0,,,carbon_steel,A234,WPB,,standard,,wrought,,butt_weld,,ASME B16.9,0.9,"24"" ELBOW 90D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD"
342,flange,weld_neck,24.0,,,carbon_steel,A105,,150,standard,,forged,flat_face,,,ASME 16.5,0.9,"24"" FLANGE, FFWN, 150#, SCH.STD, ASME 16.5, FORGED STEEL, ASTM/ASME A/SA-105"
343,flange,slip_on,24.0,,,carbon_steel,A105,,150,,,forged,raised_face,,,ASME 16.5,0.9,"24"" FLANGE, RFSO, 150#, ASME 16.5, FORGED STEEL, ASTM/ASME A/SA-105"
344,flange,slip_on,24.0,,,stainless_steel,A182,F304L,300,,,,raised_face,,,,1.0,"24"" FLANGE, RFSO, 300#, STAINLESS STEEL, 304SS, ASTM/ASME A/SA-182-F304L"
345,flange,weld_neck,24.0,,,carbon_steel,A105,,150,standard,,forged,raised_face,,,ASME 16.5,0.9,"24"" FLANGE, RFWN, 150#, SCH.STD, ASME 16.5, FORGED STEEL, ASTM/ASME A/SA-105"
346,pipe,welded_pipe,24.0,,,stainless_steel,A312,304L,,10S,,welded,,,,ASME B36.19M,0.9,"24"" PIPE, ASTM A-312 304L SS, WELDED, SCH 10S, ASME B36.19M"
347,fitting,tee,24.0,,,carbon_steel,A234,WPB,,standard,,wrought,,butt_weld,,ASME B16.9,0.9,"24"" TEE, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD"
348,fitting,eccentric_reducer,24.0,12.0,,carbon_steel,A234,WPB,,standard,,wrought,,butt_weld,,ASME 16.9,0.9,"24""X12"" REDUCER, ECC, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD"
349,fitting,reducing_tee,24.0,12.0,,carbon_steel,A234,WPB,,standard,,wrought,,butt_weld,,ASME B16.9,0.9,"24""X12"" TEE, RED, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD"
350,fitting,eccentric_reducer,24.0,16.0,,carbon_steel,A234,WPB,,standard,,wrought,,butt_weld,,ASME 16.9,0.9,"24""X16"" REDUCER, ECC, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD"
351,fitting,reducing_tee,24.0,18.0,,carbon_steel,A234,WPB,,standard,,wrought,,butt_weld,,ASME B16.9,0.9,"24""X18"" TEE, RED, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD"
352,fitting,concentric_reducer,2.0,1.0,,stainless_steel,A403,WP304/WP304L,,40S,40S,,BW X PE,,,MSS SP-95,0.9,"2X1 CONCENTRIC SWAGE , MSS SP-95 , BEVELED END X PLAIN END , ASTM A403 GRADE WP304/WP304L , TYPE S S-40S"
353,fitting,sockolet,2.0,1.0,,stainless_steel,A182,F316/F316L,3000,,,,,socket_weld,,MSS SP-97,0.9,"2X1 SOCKOLET , REDUCING , MSS SP-97 , CLASS 3000 , SOCKET WELDED END , ASTM A182 GRADE F 316/F 316L"
354,fitting,concentric_reducer,2.0,1.5,,stainless_steel,A403,WP304/WP304L,,10S,10S,,beveled_end_x_plain_end,,,MSS SP-95,0.9,"2X1.5 CONCENTRIC SWAGE , MSS SP-95 , BEVELED END X PLAIN END , ASTM A403 GRADE WP304/WP304L , TYPE S S-10S"
355,fitting,concentric_reducer,2.0,1.5,,stainless_steel,A403,WP304/WP304L,,40S,40S,,,BW X PE,,MSS SP-95,0.9,"2X1.5 CONCENTRIC SWAGE , MSS SP-95 , BEVELED END X PLAIN END , ASTM A403 GRADE WP304/WP304L , TYPE S S-40S"
356,fitting,sockolet,2.0,1.5,,stainless_steel,A182,F316/F316L,3000,,,,,socket_weld,,MSS SP-97,0.9,"2X1.5 SOCKOLET , REDUCING , MSS SP-97 , CLASS 3000 , SOCKET WELDED END , ASTM A182 GRADE F 316/F 316L"
357,fastener,u_bolt_with_nuts,0.375,,2.0,carbon_steel,,,,standard,,,galvanized,,,with nuts,0.8,2X3/8 GALV CS STD U BLT W/NUTS
358,gasket,flat_gasket,2.0,,,non_asbestos,ASME B16.21,,150,,,,flat_face,flanged,,1.6 MM (0.063 IN) THICK,0.9,"2XX0 FLAT GASKET, NON-METALLIC, SOLID , ASME B16.21 , CLASS 150 , FLAT-FACE FLANGED END , COMPRESSED NON-ASBESTOS SHEET OR FIBER , 1.6 MM (0.063 IN) THICK"
359,gasket,spiral_wound,2.0,,,stainless_steel,ASME B16.20,304,150,,,,,,graphite,"with inner ring and outer ring, low stress, oxygen clean (AA)",0.9,"2XX0 SPIRAL WOUND GASKET , ASME B16.20, FOR ASME B16.5 FLANGES , CLASS 150 , 304 STAINLESS STEEL (18 CR-8 NI) , W/FLEXIBLE GRAPHITE FILLER , W/304 SS INNER RING AND 304 SS OUTER RING , LOW STRESS , OXYGEN CLEAN (AA) ACC. TO 4WPI-SW70003"
360,gasket,spiral_wound,2.0,,,stainless_steel,ASME B16.20,304,150,,,,,,flexible_graphite,"with 304 SS inner ring and outer ring, low stress",0.9,"2XX0 SPIRAL WOUND GASKET , ASME B16.20, FOR ASME B16.5 FLANGES , CLASS 150 , 304 STAINLESS STEEL (18 CR-8 NI) , W/FLEXIBLE GRAPHITE FILLER , W/304 SS INNER RING AND 304 SS OUTER RING, LOW STRESS"
361,fitting,45_degree_long_radius_elbow,3.0,,,stainless_steel,A403,WP304/WP304L,,40S,,,beveled,BW,,ASME B16.9,0.9,"3 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP304/WP304L , TYPE S S-40S"
362,fitting,long_radius_elbow_45,3.0,,,low_temperature_carbon_steel,A420,WPL6,,standard,,,beveled,BW,,ASME B16.9,0.9,"3 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD"
363,fitting,90_degree_long_radius_elbow,3.0,,,stainless_steel,A403,WP304/WP304L,,10S,,,beveled,BW,,ASME B16.9,0.9,"3 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP304/WP304L , TYPE S S-10S"
364,fitting,long_radius_elbow_90,3.0,,,stainless_steel,A403,WP304/WP304L,,40S,,,beveled,BW,,ASME B16.9,0.9,"3 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP304/WP304L , TYPE S S-40S"
365,fitting,90_degree_long_radius_elbow,3.0,,,low_temperature_steel,A420,WPL6,,80,,,beveled,BW,,ASME B16.9,0.9,"3 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-80"
366,fitting,90_degree_long_radius_elbow,3.0,,,carbon_steel,A420,WPL6,,standard,,,beveled,butt_weld,,ASME B16.9,0.9,"3 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD"
367,fitting,90_degree_long_radius_elbow,3.0,,,low_temperature_steel,A420,WPL6,,standard,,,beveled,butt_weld,,ASME B16.9,0.9,"3 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE W S-STD"
368,flange,blind,3.0,,,stainless_steel,A182,F304/F304L,150,,,,raised_face,flanged,,ASME B16.5,1.0,"3 BLIND FLANGE , ASME B16.5 , CLASS 150 , RAISED-FACE FLANGED END , ASTM A182 GRADE F 304/F 304L"
369,flange,blind,3.0,,,stainless_steel,A182,F304/F304L,600,,,,raised_face,flanged,,ASME B16.5,1.0,"3 BLIND FLANGE , ASME B16.5 , CLASS 600 , RAISED-FACE FLANGED END , ASTM A182 GRADE F 304/F 304L"
370,flange,blind,3.0,,,carbon_steel,A105,N,150,,,,raised_face,,,ASME B16.5,1.0,"3 BLIND FLANGE, ASME B16.5, CL150, RFFE, ASTM A105N"
371,flange,blind,3.0,,,carbon_steel,A105,N,300,,,,raised_face,,,ASME B16.5,1.0,"3 BLIND FLANGE, ASME B16.5, CL300, RFFE, ASTM A105N"
372,fitting,riser_clamp,3.0,,,carbon_steel,,,,,,,,,,black,0.7,3 BLK CS RSR CLMP
373,fitting,cap,3.0,,,stainless_steel,A403,WP304/WP304L,,40S,,,beveled,BW,,ASME B16.9,0.9,"3 CAP , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP304/WP304L , TYPE S S-40S"
374,fitting,cap,3.0,,,low_temperature_carbon_steel,A420,WPL6,,STD,,,beveled,BW,,ASME B16.9,0.9,"3 CAP , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD"
375,fitting,cap,3.0,,,low_temperature_carbon_steel,A420,WPL6,,standard,,,beveled,BW,,ASME B16.9,0.9,"3 CAP , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE W S-STD"
376,pipe,seamless_pipe,3.0,,,carbon_steel,A106,B,,standard,,seamless,beveled,,,ASME B36.10,0.9,"3 PIPE , ASME B36.10 , BEVELED END , ASTM A106-B , SEAMLESS S-STD"
377,pipe,pipe_seamless,3.0,,,carbon_steel,A333,6,,standard,,seamless,beveled,,,ASME B36.10,0.9,"3 PIPE , ASME B36.10 , BEVELED END , ASTM A333-6 , SEAMLESS S-STD"
378,pipe,seamless_pipe,3.0,,,alloy_steel,A335,P11,,80,,seamless,beveled,,,ASME B36.10,0.9,"3 PIPE , ASME B36.10 , BEVELED END , ASTM A335-P11 , SEAMLESS S-80"
379,pipe,seamless_pipe,3.0,,,alloy_steel,A335,P11,,standard,,seamless,beveled,be,,ASME B36.10,0.9,"3 PIPE , ASME B36.10 , BEVELED END , ASTM A335-P11 , SEAMLESS S-STD"
380,pipe,seamless_pipe,3.0,,,stainless_steel,A312,TP316/TP316L,,10S,,seamless,beveled,,,ASME B36.19,0.9,"3 PIPE , ASME B36.19 , BEVELED END , ASTM A312 GRADE TP316/TP316L , SEAMLESS S-10S"
381,flange,slip_on,3.0,,,carbon_steel,A350,LF2,150,,,,raised_face,flanged,,"hub type, class 1",0.9,"3 SLIP-ON FLANGE, HUB TYPE , ASME B16.5 , CLASS 150 , RAISED-FACE FLANGED END , ASTM A350 GRADE LF2 CLASS 1"
382,fitting,tee,3.0,,,stainless_steel,A403,WP304/WP304L,,10S,,,beveled,BW,,ASME B16.9,0.9,"3 TEE , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP304/WP304L , TYPE S S-10S"
383,fitting,tee,3.0,,,low_temp_carbon_steel,A420,WPL6,,standard,,,beveled,BW,,ASME B16.9,0.9,"3 TEE , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD"
384,flange,weld_neck,3.0,,,carbon_steel,A105N,,150,STD,,,raised_face,flanged,,ASME B16.5,0.9,"3 WELD NECK FLANGE , ASME B16.5 , CLASS 150 , RAISED-FACE FLANGED END , ASTM A105N ,- S-STD"
385,flange,weld_neck,3.0,,,stainless_steel,A182,F304/F304L,150,10S,,,raised_face,flanged,,ASME B16.5,1.0,"3 WELD NECK FLANGE , ASME B16.5 , CLASS 150 , RAISED-FACE FLANGED END , ASTM A182 GRADE F 304/F 304L ,- S-10S"
386,flange,weld_neck,3.0,,,stainless_steel,A182,F304/F304L,300,10S,,,raised_face,flanged,,ASME B16.5,1.0,"3 WELD NECK FLANGE , ASME B16.5 , CLASS 300 , RAISED-FACE FLANGED END , ASTM A182 GRADE F 304/F 304L S-10S"
387,flange,weld_neck,3.0,,,stainless_steel,A182,F316/F316L,300,S-10S,,,raised_face,flanged,,ASME B16.5,1.0,"3 WELD NECK FLANGE , ASME B16.5 , CLASS 300 , RAISED-FACE FLANGED END , ASTM A182 GRADE F 316/F 316L S-10S"
388,fitting,90_degree_elbow_long_radius,3.0,,,carbon_steel,A234,WPB,,standard,,wrought,,butt_weld,,ASME B16.9,0.9,"3"" ELBOW 90D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD"
389,fitting,elbow_90_degree_short_radius,3.0,,,carbon_steel,A234,WPB,,standard,,wrought,,butt_weld,,ASME 16.28,0.9,"3"" ELBOW 90D, SR, BW, ASME 16.28, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD"
390,flange,slip_on,3.0,,,carbon_steel,A105,,150,,,forged,raised_face,,,ASME 16.5,0.9,"3"" FLANGE, RFSO, 150#, ASME 16.5, FORGED STEEL, ASTM/ASME A/SA-105"
391,flange,weld_neck,3.0,,,carbon_steel,A105,,150,standard,,forged,raised_face,,,ASME 16.5,0.9,"3"" FLANGE, RFWN, 150#, SCH.STD, ASME 16.5, FORGED STEEL, ASTM/ASME A/SA-105"
392,flange,weld_neck,3.0,,,carbon_steel,A105,,300,standard,,forged,raised_face,,,ASME 16.5,0.9,"3"" FLANGE, RFWN, 300#, SCH.STD, ASME 16.5, FORGED STEEL, ASTM/ASME A/SA-105"
393,pipe,pipe_erw,3.0,,,carbon_steel,A53,B,,standard,,ERW,black,,,,0.9,"3"" PIPE, ASTM A53, GRADE B, CS BLK, ERW, SCH STD"
394,pipe,pipe_smls,3.0,,,carbon_steel,A53,B,,standard,,seamless,fusion_bonded_epoxy,,,coated,0.9,"3"" PIPE, ASTM A53, GRADE B, SMLS FUSION BONDED EPOXY COATED CARBON STEEL, SCH. STD"
395,fitting,tee,3.0,,,carbon_steel,A234,WPB,,standard,,wrought,,butt_weld,,ASME B16.9,0.9,"3"" TEE, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD"
396,fitting,concentric_reducer,3.0,1.5,,carbon_steel,A234,WPB,,,,wrought,,plain_end x beveled_end,,ASME B16.9,0.9,"3""X1 1/2"" SWAGE, CONC, PSE X BLE, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB"
397,valve,gate_valve,0.75,,,carbon_steel,A105,,800,,,,,socket_weld,BB,HFS,0.9,3/4 800# A105 SW HFS BB GATE
398,valve,ball_valve,0.75,,,stainless_steel,,316,1500,,,,,threaded,TFM/PTFE,3PC FP LL,0.9,3/4 APOL 86A10401 1500CWP 316SS FP 3PC B VLV THD T:316 S:TFM P:PTFE LL
399,valve,ball_valve,0.75,,,carbon_steel,,,2000,,,,,threaded,ll,1pc,0.9,3/4 CS 2000# THRD 1PC BV LL
400,valve,check_valve,0.75,,,,,,800,,,,,threaded,T8,swing,0.8,3/4 FS 800 BB THRD SWG CHK T8 VL NC
401,valve,ball_valve,0.75,,,stainless_steel,,,2000,,,,,threaded,ll,1pc,0.8,3/4 SS 2000# THRD 1PC BV LL
402,fitting,elbow_90_degree,0.75,,,carbon_steel,A105,,3000,,,forged,,socket_weld,,ASME 16.11,0.9,"3/4"" ELBOW 90D, SW, ASME 16.11, FORGED STEEL, ASTM/ASME A/SA-105, 3000#"
403,flange,socket_weld,0.75,,,carbon_steel,A105,,150,extra_strong,,forged,raised_face,socket_weld,,ASME 16.5,0.9,"3/4"" FLANGE, RFSW, 150#, XS, ASME 16.5, FORGED STEEL, ASTM/ASME A/SA-105"
404,pipe,welded_pipe,0.75,,,stainless_steel,A312,304L,,80S,,welded,,,,ASME B36.19M,0.9,"3/4"" PIPE, ASTM A-312 304L SS, WELDED, SCH 80S, ASME B36.19M"
405,fitting,union,0.75,,,carbon_steel,A105,,3000,,,forged,,socket_weld,,ASME 16.11,0.9,"3/4"" UNION, SW, FORGED STEEL, ASTM A-105, 3000#, ASME 16.11"
