,UNNAMED 0,I,START_TIME,GT_DESC,INC_RFQ_RAW,INC_RFQ,CATEGORY,TYPE,PRIMARY_SIZE,REDUCING_SIZE,LENGTH,MATERIAL_NAME,MATERIAL_SPECIFICATION,MATERIAL_GRADE,PRESSURE_CLASS,PRIMARY_SCHEDULE,REDUCING_SCHEDULE,MANUFACTURING_PROCESS,END_FINISH,END_CONNECTIONS,UNNAMED 20,MISCELLANEOUS,CONFIDENCE,ORIGINAL_TEXT,INDEX,RANK,QUALITY
45,45,45,872.2006914,6 150 WRI 316 FG 316 IR GASKET *Z,"GASKET, SPIRAL WOUND, 6"" PIPE, 150 LB, 316 SS WINDING, GRAFOIL, W/ INNER RING","GASKET, SPIRAL WOUND, 6"" PIPE, 150 LB, 316 SS WINDING, GRAFOIL, W/ INNER RING",GASKET,SPIRAL WOUND,6.0,,,STAINLESS STEEL,NAN,316,150.0,NAN,NAN,NAN,NAN,NAN,GRAFOIL,WITH INNER RING,0.9,"GASKET, SPIRAL WOUND, 6"" PIPE, 150 LB, 316 SS WINDING, GRAFOIL, W/ INNER RING",45,17,NOT BAD
46,46,46,875.3888991,2 CARBON STEEL WPL6 STANDARD WELD 45 ELBOW,"2 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD","2 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD",FITTING,45 DEGREE LONG RADIUS ELBOW,2.0,,,CARBON STEEL,A420,WPL6,,STD,NAN,NAN,BEVELED,BW,NAN,ASME B16.9,0.9,"2 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD",46,16,NOT BAD
47,47,47,878.8771147,3 CARBON STEEL WPL6 STANDARD WELD 45 ELBOW,"3 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD","3 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD",FITTING,LONG RADIUS 45 ELBOW,3.0,,,LOW TEMPERATURE CARBON STEEL,A420,WPL6,,STANDARD,NAN,NAN,BEVELED,BUTT WELD,NAN,ASME B16.9,0.9,"3 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD",47,17,NOT BAD
48,48,48,882.7089497,12 CARBON STEEL STANDARD WELD 45 ELBOW,"12"" ELBOW 45D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD","12"" ELBOW 45D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD",FITTING,LONG RADIUS 45 ELBOW,12.0,,,CARBON STEEL,A234,WPB,,STANDARD,NAN,WROUGHT,NAN,BUTT WELD,NAN,ASME B16.9,0.9,"12"" ELBOW 45D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD",48,13,NOT BAD
49,49,49,886.3726615,6 X 6 X 4 CARBON STEEL STANDARD WELD TEE,"6X6X4 REDUCING TEE , ASME B16.9 , BEVELED END , ASTM A234 GRADE WPB , TYPE S","6X6X4 REDUCING TEE , ASME B16.9 , BEVELED END , ASTM A234 GRADE WPB , TYPE S",FITTING,TEE,6.0,4.0,,CARBON STEEL,A234,WPB,,NAN,NAN,NAN,BEVELED,BW,NAN,ASME B16.9,0.9,"6X6X4 REDUCING TEE , ASME B16.9 , BEVELED END , ASTM A234 GRADE WPB , TYPE S",49,15,NOT BAD
50,50,50,890.2187019,16 CARBON STEEL WPL6 SCHEDULE XH WELD 45 ELBOW,"16 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-XS","16 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-XS",FITTING,LONG RADIUS 45 ELBOW,16.0,,,CARBON STEEL,A420,WPL6,,EXTRA STRONG,NAN,NAN,BEVELED,BUTT WELD,NAN,ASME B16.9,0.9,"16 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-XS",50,24,NOT BAD
51,51,51,893.808535,12 CARBON STEEL WPL6 STANDARD WELD 45 ELBOW,"12 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD","12 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD",FITTING,45 DEGREE LONG RADIUS ELBOW,12.0,,,LOW TEMPERATURE CARBON STEEL,A420,WPL6,,STD,NAN,NAN,BEVELED,BW,NAN,ASME B16.9,0.9,"12 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD",51,12,NOT BAD
52,52,52,897.4093393,14 BLACK PLAIN END A53B STANDARD ELECTRIC RESISTANCE WELDED DRL PIPE,"14"" PIPE, ASTM A53, GRADE B, CS BLK, ERW, SCH.STD","14"" PIPE, ASTM A53, GRADE B, CS BLK, ERW, SCH.STD",PIPE,ERW PIPE,14.0,,,CARBON STEEL,A53,B,,STANDARD,NAN,ERW,BLACK,NAN,NAN,NAN,0.9,"14"" PIPE, ASTM A53, GRADE B, CS BLK, ERW, SCH.STD",52,16,NOT BAD
53,53,53,900.5215418,8 X 4 FORGED STEEL SCHEDULE STANDARD WELDOLET FOR 10-INCH PIPE,"OUTLET, PIPE, WELDOLET, 8"" RUN, 4"", WELD NECK BRANCH, SCH STD, SA105","OUTLET, PIPE, WELDOLET, 8"" RUN, 4"", WELD NECK BRANCH, SCH STD, SA105",FITTING,WELDOLET,8.0,4.0,,CARBON STEEL,SA105,NAN,,STANDARD,NAN,NAN,NAN,BUTT WELD,NAN,WELD NECK BRANCH,0.9,"OUTLET, PIPE, WELDOLET, 8"" RUN, 4"", WELD NECK BRANCH, SCH STD, SA105",53,13,NOT BAD
54,54,54,903.7169962,8 CARBON STEEL 150 STANDARD RAISED FACE WELD NECK FLANGE A105N,"FLANGE:RF WN,8IN,150LB,STD,A105B","FLANGE:RF WN,8IN,150LB,STD,A105B",FLANGE,WELD NECK,8.0,,,CARBON STEEL,A105,B,150.0,STANDARD,NAN,NAN,RAISED FACE,NAN,NAN,NAN,1.0,"FLANGE:RF WN,8IN,150LB,STD,A105B",54,14,NOT BAD
55,55,55,906.8750903,2 CARBON STEEL SCHEDULE XH WELD LONG RADIUS 90 ELBOW,"2 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A234 GRADE WPB , TYPE S S-80","2 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A234 GRADE WPB , TYPE S S-80",FITTING,90 DEGREE LONG RADIUS ELBOW,2.0,,,CARBON STEEL,A234,WPB,,XH,NAN,NAN,BEVELED,BW,NAN,ASME B16.9,0.9,"2 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A234 GRADE WPB , TYPE S S-80",55,12,NOT BAD
56,56,56,910.3958502,24 CARBON STEEL STANDARD WELD LONG RADIUS 90 ELBOW,"24"" ELBOW 90D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD","24"" ELBOW 90D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD",FITTING,90 DEGREE LONG RADIUS ELBOW,24.0,,,CARBON STEEL,A234,WPB,,STANDARD,NAN,WROUGHT,NAN,BUTT WELD,NAN,ASME B16.9,0.9,"24"" ELBOW 90D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD",56,15,NOT BAD
57,57,57,914.0109663,"1"" 800 GATE VALVE FORGED STEEL REDUCED PORT BOLTED BONNET SOCKETWELD X THREADED TRIM12","VALVE, GATE, 1"", SOCKET WELD X THREADED, 800 LB, 316 SS, NACE","VALVE, GATE, 1"", SOCKET WELD X THREADED, 800 LB, 316 SS, NACE",VALVE,GATE VALVE,1.0,,,STAINLESS STEEL,NAN,316,800.0,NAN,NAN,NAN,NAN,SW X THD,NACE,NAN,0.9,"VALVE, GATE, 1"", SOCKET WELD X THREADED, 800 LB, 316 SS, NACE",57,14,NOT BAD
58,58,58,917.427402,20 CARBON STEEL STANDARD WELD LONG RADIUS 90 ELBOW,"20"" ELBOW 90D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD","20"" ELBOW 90D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD",FITTING,90 DEGREE LONG RADIUS ELBOW,20.0,,,CARBON STEEL,A234,WPB,,STANDARD,NAN,WROUGHT,NAN,BUTT WELD,NAN,ASME B16.9,0.9,"20"" ELBOW 90D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD",58,13,NOT BAD
59,59,59,920.9898924,16 CARBON STEEL STANDARD WELD LONG RADIUS 90 ELBOW,"16"" ELBOW 90D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD","16"" ELBOW 90D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD",FITTING,LONG RADIUS 90 ELBOW,16.0,,,CARBON STEEL,A234,WPB,,STANDARD,NAN,WROUGHT,NAN,BUTT WELD,NAN,ASME B16.9,1.0,"16"" ELBOW 90D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD",59,21,NOT BAD
60,60,60,924.4459682,"1"" PIPE CRMLY P11 SCHEDULE 160 SA335 SEAMLESS","1 PIPE , ASME B36.10 , PLAIN END , ASTM A335-P11 , SEAMLESS S-160","1 PIPE , ASME B36.10 , PLAIN END , ASTM A335-P11 , SEAMLESS S-160",PIPE,SEAMLESS,1.0,,,NAN,A335,P11,,160,NAN,SEAMLESS,PLAIN END,PLAIN END,NAN,ASME B36.10,0.9,"1 PIPE , ASME B36.10 , PLAIN END , ASTM A335-P11 , SEAMLESS S-160",60,27,BAD
61,61,61,927.7528505,10 CARBON STEEL WPL6 SCHEDULE XH WELD TEE,"10 TEE , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-80","10 TEE , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-80",FITTING,TEE,10.0,,,LOW TEMPERATURE CARBON STEEL,A420,WPL6,,80,NAN,NAN,BEVELED,BW,NAN,ASME B16.9,0.9,"10 TEE , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-80",61,64,BAD
62,62,62,931.1551581,2 CARBON STEEL SCHEDULE XH WELD LONG RADIUS 90 ELBOW,"ELBOW,PIPE:2IN,90DEG,LR,SCH80,A234WPB","ELBOW,PIPE:2IN,90DEG,LR,SCH80,A234WPB",FITTING,90 DEG LONG RADIUS ELBOW,2.0,,,CARBON STEEL,A234,WPB,,XH,NAN,NAN,NAN,NAN,NAN,NAN,0.9,"ELBOW,PIPE:2IN,90DEG,LR,SCH80,A234WPB",62,73,BAD
63,63,63,934.2151953,6 CARBON STEEL STANDARD WELD SHORT RADIUS 90 ELBOW,"6"" ELBOW 90D, SR, BW, ASME 16.28, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD","6"" ELBOW 90D, SR, BW, ASME 16.28, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD",FITTING,90 DEGREE ELBOW SHORT RADIUS,6.0,,,CARBON STEEL,A234,WPB,,STANDARD,NAN,WROUGHT,NAN,BUTT WELD,NAN,ASME 16.28,0.9,"6"" ELBOW 90D, SR, BW, ASME 16.28, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD",63,35,BAD
64,64,64,937.7065509,2 CARBON STEEL WPL6 SCHEDULE XH WELD 45 ELBOW,"2 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE W S-XS","2 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE W S-XS",FITTING,LONG RADIUS 45 ELBOW,2.0,,,CARBON STEEL,A420,WPL6,,EXTRA STRONG,NAN,NAN,BEVELED,BUTT WELD,NAN,ASME B16.9,0.9,"2 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE W S-XS",64,36,BAD
65,65,65,941.2225065,4 X 2 GALVANIZED SCHEDULE XH CONCENTRIC SOCKETWELD SWAGE THREADED BOTH ENDS,"NIPPLE, SWAGE, SEAMLESS, 4"" X 2"", THREADED, SCH XH, ZINC COATED","NIPPLE, SWAGE, SEAMLESS, 4"" X 2"", THREADED, SCH XH, ZINC COATED",FITTING,SWAGE NIPPLE,4.0,2.0,,NAN,NAN,NAN,,EXTRA HEAVY,NAN,SEAMLESS,ZINC COATED,THREADED,NAN,NAN,0.8,"NIPPLE, SWAGE, SEAMLESS, 4"" X 2"", THREADED, SCH XH, ZINC COATED",65,35,BAD
66,66,66,944.5219137,6 CARBON STEEL STANDARD WELD LONG RADIUS 90 ELBOW,"6"" TRIMMED ELBOW 90D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD (60.00)","6"" TRIMMED ELBOW 90D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD (60.00)",FITTING,90 DEGREE ELBOW LONG RADIUS,6.0,,,CARBON STEEL,A234,WPB,,STANDARD,NAN,WROUGHT,NAN,BUTT WELD,TRIMMED,ASME B16.9,0.9,"6"" TRIMMED ELBOW 90D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD (60.00)",66,98,BAD
67,67,67,948.2352448,"1"" 300 SOCKETWELD FLANGE A105 CARBON STEEL SCHEDULE XH RAISED FACE","FLANGE:RF SW,1IN,300LB,XH,A105B","FLANGE:RF SW,1IN,300LB,XH,A105B",FLANGE,SOCKET WELD,1.0,,,CARBON STEEL,A105,B,300.0,XH,NAN,NAN,RAISED FACE,SOCKET WELD,NAN,NAN,1.0,"FLANGE:RF SW,1IN,300LB,XH,A105B",67,30,BAD
68,68,68,951.4117727,2 CARBON STEEL WPL6 SCHEDULE XH WELD 45 ELBOW,"2 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-80","2 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-80",FITTING,LR 45 ELBOW,2.0,,,CARBON STEEL,A420,WPL6,,XH,NAN,NAN,BEVELED,BW,NAN,ASME B16.9,0.9,"2 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-80",68,50,BAD
69,69,69,955.1004221,8 STAINLESS STEEL SCHEDULE 80 304L A312 SEAMLESS PIPE,"8 PIPE , ASME B36.19 , BEVELED END , ASTM A312 GRADE TP304/TP304L , 100% RADIOGRAPHY , ELECTRIC FUSION WELDED (EJ = 1.00) S-80S","8 PIPE , ASME B36.19 , BEVELED END , ASTM A312 GRADE TP304/TP304L , 100% RADIOGRAPHY , ELECTRIC FUSION WELDED (EJ = 1.00) S-80S",PIPE,PIPE,8.0,,,STAINLESS STEEL,A312,TP304/TP304L,,80S,NAN,ELECTRIC FUSION WELDED,BEVELED,NAN,NAN,"100% RADIOGRAPHY, EJ = 1.00",0.9,"8 PIPE , ASME B36.19 , BEVELED END , ASTM A312 GRADE TP304/TP304L , 100% RADIOGRAPHY , ELECTRIC FUSION WELDED (EJ = 1.00) S-80S",69,96,BAD
70,70,70,958.7156745,6 BLACK PLAIN END A53B SCHEDULE 40 ELECTRIC RESISTANCE WELDED DRL PIPE,"6"" PIPE, ASTM A53, GRADE B, CS BLK, ERW, SCH.STD","6"" PIPE, ASTM A53, GRADE B, CS BLK, ERW, SCH.STD",PIPE,ERW PIPE,6.0,,,CARBON STEEL,A53,B,,STANDARD,NAN,ERW,BLACK,NAN,NAN,NAN,0.9,"6"" PIPE, ASTM A53, GRADE B, CS BLK, ERW, SCH.STD",70,46,BAD
71,71,71,962.0347415,LEAD LAW COMPLIANT 1 GALVANIZED MALLEABLE IRON 150 BRASS GROUND-JOINT UNION,"UNION, PIPE, 1"", THREADED, GALVANIZED","UNION, PIPE, 1"", THREADED, GALVANIZED",FITTING,UNION,1.0,,,NAN,NAN,NAN,,NAN,NAN,NAN,GALVANIZED,THREADED,NAN,NAN,0.8,"UNION, PIPE, 1"", THREADED, GALVANIZED",71,28,BAD
72,72,72,965.2062163,3 CARBON STEEL STANDARD WELD LONG RADIUS 90 ELBOW,"3"" ELBOW 90D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD","3"" ELBOW 90D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD",FITTING,90 DEGREE LONG RADIUS ELBOW,3.0,,,CARBON STEEL,A234,WPB,,STANDARD,NAN,WROUGHT,NAN,BUTT WELD,NAN,ASME B16.9,1.0,"3"" ELBOW 90D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD",72,41,BAD
73,73,73,968.7359085,10 BLACK PLAIN END A106B SCHEDULE 40 SEAMLESS SRL PIPE,"10 PIPE , ASME B36.10 , BEVELED END , ASTM A106-B , SMLS, 100% UT FOR PIPE S-STD","10 PIPE , ASME B36.10 , BEVELED END , ASTM A106-B , SMLS, 100% UT FOR PIPE S-STD",PIPE,SMLS PIPE,10.0,,,CARBON STEEL,A106,B,,STANDARD,NAN,SEAMLESS,BEVELED,NAN,NAN,100% UT INSPECTION,0.9,"10 PIPE , ASME B36.10 , BEVELED END , ASTM A106-B , SMLS, 100% UT FOR PIPE S-STD",73,39,BAD
74,74,74,971.9806635,4 CARBON STEEL 300 RAISED FACE BLIND FLANGE A105N,"FLG,BLIND,4,300,A105","FLG,BLIND,4,300,A105",FLANGE,BLIND,4.0,,,CARBON STEEL,A105,NAN,300.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.0,"FLG,BLIND,4,300,A105",74,42,BAD
75,75,75,974.8843396,3 CARBON STEEL STANDARD WELD SHORT RADIUS 90 ELBOW,"3"" ELBOW 90D, SR, BW, ASME 16.28, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD","3"" ELBOW 90D, SR, BW, ASME 16.28, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD",FITTING,SR 90 ELBOW,3.0,,,CARBON STEEL,A234,WPB,,STANDARD,NAN,WROUGHT,NAN,BUTT WELD,NAN,ASME 16.28,0.9,"3"" ELBOW 90D, SR, BW, ASME 16.28, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD",75,29,BAD
76,76,76,978.5054521,12 CARBON STEEL STANDARD WELD LONG RADIUS 90 ELBOW,"12"" ELBOW 90D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD","12"" ELBOW 90D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD",FITTING,90 DEGREE LONG RADIUS ELBOW,12.0,,,CARBON STEEL,A234,WPB,,STANDARD,NAN,WROUGHT,NAN,BUTT WELD,NAN,ASME 16.9,0.9,"12"" ELBOW 90D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD",76,40,BAD
77,77,77,982.0455445,10 CARBON STEEL STANDARD WELD TEE,"10"" TEE, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD","10"" TEE, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD",FITTING,TEE,10.0,,,CARBON STEEL,A234,WPB,,STANDARD,NAN,WROUGHT,NAN,BUTT WELD,NAN,ASME 16.9,0.9,"10"" TEE, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD",77,40,BAD
78,78,78,985.3841974,8 CARBON STEEL STANDARD WELD LONG RADIUS 90 ELBOW,"8"" ELBOW 90D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD","8"" ELBOW 90D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD",FITTING,90 DEGREE LONG RADIUS ELBOW,8.0,,,CARBON STEEL,A234,WPB,,STANDARD,NAN,WROUGHT,NAN,BUTT WELD,NAN,ASME B16.9,0.9,"8"" ELBOW 90D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD",78,37,BAD
79,79,79,989.0610148,10 BLACK A333 GR6 SCHEDULE 40 SEAMLESS DRL PIPE,"10 PIPE , ASME B36.10 , BEVELED END , ASTM A333-6 , ELECTRIC RESISTANCE WELDED (EJ = 0.85) S-STD","10 PIPE , ASME B36.10 , BEVELED END , ASTM A333-6 , ELECTRIC RESISTANCE WELDED (EJ = 0.85) S-STD",PIPE,ERW,10.0,,,CARBON STEEL,A333,6,,STD,NAN,ELECTRIC RESISTANCE WELDED,BEVELED,PLAIN END,NAN,"ASME B36.10, EJ=0.85",0.9,"10 PIPE , ASME B36.10 , BEVELED END , ASTM A333-6 , ELECTRIC RESISTANCE WELDED (EJ = 0.85) S-STD",79,69,BAD
80,80,80,992.6027534,3 X 2 BLACK SCHEDULE XH CONCENTRIC SOCKETWELD SWAGE BEVELED X THREADED,"NIPPLE, SWAGE, CONCENTRIC, 3"" X 2"", BLE X TSE, SCH XH, CARBON STEEL, ASTM A234","NIPPLE, SWAGE, CONCENTRIC, 3"" X 2"", BLE X TSE, SCH XH, CARBON STEEL, ASTM A234",FITTING,CONCENTRIC REDUCER,3.0,2.0,,CARBON STEEL,A234,NAN,,EXTRA HEAVY,EXTRA HEAVY,NAN,NAN,BLE X TSE,NAN,"NIPPLE,SWAGE",0.9,"NIPPLE, SWAGE, CONCENTRIC, 3"" X 2"", BLE X TSE, SCH XH, CARBON STEEL, ASTM A234",80,152,TERRIBLE
81,81,81,996.1338823,3 X 2 BLACK SCHEDULE XH CONCENTRIC SOCKETWELD SWAGE BEVELED X THREADED,"NIPPLE, SWAGE, CONCENTRIC, 3"" X 2"", THRD X BW, SCH XS, CARBON STEEL, A234","NIPPLE, SWAGE, CONCENTRIC, 3"" X 2"", THRD X BW, SCH XS, CARBON STEEL, A234",FITTING,CONCENTRIC REDUCER,3.0,2.0,,CARBON STEEL,A234,NAN,,EXTRA STRONG,NAN,NAN,NAN,THD X BW,NAN,NAN,0.9,"NIPPLE, SWAGE, CONCENTRIC, 3"" X 2"", THRD X BW, SCH XS, CARBON STEEL, A234",81,143,TERRIBLE
82,82,82,999.3397639,24 STAINLESS STEEL SCHEDULE 10 304L LONG RADIUS 45 A403CR,"24"" ELBOW 45D, LR, BW, ANSI B16.9, 304SS, SCH 10S","24"" ELBOW 45D, LR, BW, ANSI B16.9, 304SS, SCH 10S",FITTING,LONG RADIUS 45 ELBOW,24.0,,,STAINLESS STEEL,B16.9,304,,10S,NAN,NAN,NAN,BUTT WELD,NAN,NAN,0.9,"24"" ELBOW 45D, LR, BW, ANSI B16.9, 304SS, SCH 10S",82,169,TERRIBLE
83,83,83,1002.8828919,2 X 1 GALVANIZED SCHEDULE XH CONCENTRIC SOCKETWELD SWAGE THREADED BOTH ENDS,"NIPPLE, SWAGE, SEAMLESS, 2"" X 1"", THREADED, SCH XH, ZINC COATED","NIPPLE, SWAGE, SEAMLESS, 2"" X 1"", THREADED, SCH XH, ZINC COATED",FITTING,SWAGE NIPPLE,2.0,1.0,,NAN,NAN,NAN,,EXTRA HEAVY,NAN,SEAMLESS,ZINC COATED,THREADED,NAN,NAN,0.9,"NIPPLE, SWAGE, SEAMLESS, 2"" X 1"", THREADED, SCH XH, ZINC COATED",83,161,TERRIBLE
84,84,84,1006.4637017,6 X 3 STAINLESS STEEL SCHEDULE 10 316L SEAMLESS CONCENTRIC,"6X3 CONCENTRIC REDUCER , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP316/WP316L , TYPE S S-10S","6X3 CONCENTRIC REDUCER , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP316/WP316L , TYPE S S-10S",FITTING,CONCENTRIC REDUCER,6.0,3.0,,STAINLESS STEEL,A403,WP316/WP316L,,10S,10S,NAN,BEVELED END,BW,NAN,ASME B16.9,0.9,"6X3 CONCENTRIC REDUCER , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP316/WP316L , TYPE S S-10S",84,137,TERRIBLE
85,85,85,1010.0653672,4 CARBON STEEL 300 SCHEDULE XH RAISED FACE WELD NECK A105N,"FLG,4,300,XH,RFWN,A105B","FLG,4,300,XH,RFWN,A105B",FLANGE,WELD NECK,4.0,,,CARBON STEEL,A105,B,300.0,EXTRA HEAVY,NAN,NAN,RAISED FACE,NAN,NAN,NAN,0.9,"FLG,4,300,XH,RFWN,A105B",85,195,TERRIBLE
86,86,86,1013.3931876,4 X 3 STAINLESS STEEL SCHEDULE 10 316L SEAMLESS CONCENTRIC,"4X3 CONCENTRIC REDUCER , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP316/WP316L , TYPE S S-10S","4X3 CONCENTRIC REDUCER , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP316/WP316L , TYPE S S-10S",FITTING,CONCENTRIC REDUCER,4.0,3.0,,STAINLESS STEEL,A403,WP316/WP316L,,10S,10S,NAN,BEVELED,BW,NAN,ASME B16.9,0.9,"4X3 CONCENTRIC REDUCER , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP316/WP316L , TYPE S S-10S",86,178,TERRIBLE
87,87,87,1017.0263574,3 BLACK CARBON STEEL RISER CLAMP,3 BLK CS RSR CLMP,3 BLK CS RSR CLMP,FITTING,RISER CLAMP,3.0,,,CARBON STEEL,NAN,NAN,,NAN,NAN,NAN,NAN,NAN,NAN,BLACK,0.7,3 BLK CS RSR CLMP,87,154,TERRIBLE
88,88,88,1019.9368023,6X3 CARBON STEEL STANDARD WELD CONCENTRIC REDUCER,"REDUCER,CONC,6 X 3,S40,A234WPB","REDUCER,CONC,6 X 3,S40,A234WPB",FITTING,CONCENTRIC REDUCER,6.0,3.0,,CARBON STEEL,A234,WPB,,40,NAN,NAN,NAN,NAN,NAN,NAN,0.9,"REDUCER,CONC,6 X 3,S40,A234WPB",88,112,TERRIBLE
