Customer's Inbound RFQ Description,Selected Part Number,Descrip from Prod Cat,Product Code,Description,Category_GT,Type_GT,Primary Size_GT,Reducing Size_GT,Length_GT,Material Name_GT,Material Specification_GT,Material Grade_GT,Pressure Class_GT,Primary Schedule_GT,Reducing Schedule_GT,Manufacturing Process_GT,End Finish_GT,End Connections_GT,Trim_GT,Miscellaneous_GT,confidence_GT,original_text_GT,Primary Wall_GT,Reducing Wall_GT,Wall Thickness_GT,max_GT,od_GT,id_GT,wall_GT,i,START_TIME_RFQ,gt_desc,inc_rfq_raw,inc_rfq,CATEGORY_RFQ,TYPE_RFQ,PRIMARY_SIZE_RFQ,REDUCING_SIZE_RFQ,LENGTH_RFQ,MATERIAL_NAME_RFQ,MATERIAL_SPECIFICATION_RFQ,MATERIAL_GRADE_RFQ,PRESSURE_CLASS_RFQ,PRIMARY_SCHEDULE_RFQ,REDUCING_SCHEDULE_RFQ,MANUFACTURING_PROCESS_RFQ,END_FINISH_RFQ,END_CONNECTIONS_RFQ,,MISCELLANEOUS_RFQ,CONFIDENCE_RFQ,ORIGINAL_TEXT_RFQ
"11100817-FLG,WN,RF,6,300#,XXH-SA-105",IFWN030601XXA,"6"" 300# RF WN FLG XXH BORE, SA105N/FGP",IFWN030601XXA,"6"" 300# RF WN FLG XXH BORE, SA105N/FGP",FLANGE,WELD NECK,6.0,,,CARBON STEEL,A105,N,300,XXH,,,RAISED FACE,,,FGP,0.9,6\\ 300# RF WN FLG XXH BORE SA105N/FGP,,,,,,,,338,873.0488797,"6"" 300# RF WN FLG XXH BORE, SA105N/FGP","11100817-FLG,WN,RF,6,300#,XXH-SA-105","11100817-FLG,WN,RF,6,300 ,XXH-SA-105",flange,weld_neck,6.0,,,carbon_steel,A105,,300,XXH,,,raised_face,,,,1.0,"11100817-FLG,WN,RF,6,300 ,XXH-SA-105"
"XF0748 TOL,8X.5,CL3000,MSS SP-97,ASTM A182 GR.F304/304L",M3T4005360,"36"" - 3/4"" x 1/2"" 3000# FS THREADED FLEX-O-LET, SA182-F304L",M3T4005360,"36"" - 3/4"" x 1/2"" 3000# FS THREADED FLEX-O-LET, SA182-F304L",FITTING,FLEXOLET,36.0,0.75,,STAINLESS STEEL,A182,F304L,3000,,,FORGED,,THREADED,,FLEX-O-LET,0.9,36\\ - 3/4\\ x 1/2\\ 3000# FS THREADED FLEX-O-LET SA182-F304L,,,,,,,,580,878.7459207,"36"" - 3/4"" x 1/2"" 3000# FS THREADED FLEX-O-LET, SA182-F304L","XF0748 TOL,8X.5,CL3000,MSS SP-97,ASTM A182 GR.F304/304L","XF0748 TOL,8X.5,CL3000,MSS SP-97,ASTM A182 GR.F1.0L",fitting,threadolet,8.0,0.5,,stainless_steel,A182,F1.0L,3000,,,,,threaded,,MSS SP-97,0.9,"XF0748 TOL,8X.5,CL3000,MSS SP-97,ASTM A182 GR.F1.0L"
"4"" 600# A-105 Blind",FBD060401BTX,"4"" 600# RF BLIND FLANGE, SA105N",FBD060401BTX,"4"" 600# RF BLIND FLANGE, SA105N",FLANGE,BLIND,4.0,,,CARBON STEEL,A105,N,600,,,,RAISED FACE,,,,1.0,4\\ 600# RF BLIND FLANGE SA105N,,,,,,,,552,882.700663,"4"" 600# RF BLIND FLANGE, SA105N","4"" 600# A-105 Blind","4"" 600 A-105 BLIND",flange,blind,4.0,,,carbon_steel,A105,,600,,,,,,,,0.9,"4"" 600 A-105 BLIND"
"1-.5-XXA106BS-PIPE,SMLS,1 1/2,XXH",PA015XX,"1-1/2"" XXH .400W BLK SA106-B SEAMLESS PIPE",PA015XX,"1-1/2"" XXH .400W BLK SA106-B SEAMLESS PIPE",PIPE,SEAMLESS PIPE,1.5,,,CARBON STEEL,A106,B,,XXH,,SEAMLESS,BLACK,,,.400W,0.9,1-1/2\\ XXH .400W BLK SA106-B SEAMLESS PIPE,,,,,,,,918,887.769788,"1-1/2"" XXH .400W BLK SA106-B SEAMLESS PIPE","1-.5-XXA106BS-PIPE,SMLS,1 1/2,XXH","1-.5-XXA106BS-PIPE,SMLS,1.5,XXH",pipe,seamless,1.5,,,carbon_steel,A106,B,,XXH,,SMLS,,,,,0.9,"1-.5-XXA106BS-PIPE,SMLS,1.5,XXH"
"11100758-FLG,WN,RF,4,600#,XXH-SA105N",FWN060401XXBTX,"4"" 600# RF WELD NECK FLANGE XXH BORE, SA105N",FWN060401XXBTX,"4"" 600# RF WELD NECK FLANGE XXH BORE, SA105N",FLANGE,WELD NECK,4.0,,,CARBON STEEL,A105,N,600,XXH,,,RAISED FACE,,,XXH BORE,0.9,4\\ 600# RF WELD NECK FLANGE XXH BORE SA105N,,,,,,,,522,890.9480844,"4"" 600# RF WELD NECK FLANGE XXH BORE, SA105N","11100758-FLG,WN,RF,4,600#,XXH-SA105N","11100758-FLG,WN,RF,4,600 ,XXH-SA105N",flange,weld_neck,4.0,,,carbon_steel,A105,N,600,XXH,,,raised_face,,,,1.0,"11100758-FLG,WN,RF,4,600 ,XXH-SA105N"
"HL6846 ROUND HEAD PLUG,NPT .75,ASTM A182 GR F304/304L",IM3T4RP007,"3/4"" 3000# FS THREADED ROUND HEAD PLUG, SA182-F304/L",IM3T4RP007,"3/4"" 3000# FS THREADED ROUND HEAD PLUG, SA182-F304/L",FITTING,PLUG,0.75,,,STAINLESS STEEL,A182,F304L,3000,,,,ROUND HEAD,THREADED,,FULL STRENGTH,0.9,3/4\\ 3000# FS THREADED ROUND HEAD PLUG SA182-F304/L,,,,,,,,612,894.5164538,"3/4"" 3000# FS THREADED ROUND HEAD PLUG, SA182-F304/L","HL6846 ROUND HEAD PLUG,NPT .75,ASTM A182 GR F304/304L","HL6846 ROUND HEAD PLUG,NPT .75,ASTM A182 GR F1.0L",fitting,threaded_plug,0.75,,,stainless_steel,A182,F1.0L,,,,,round_head,THD,,,0.8,"HL6846 ROUND HEAD PLUG,NPT .75,ASTM A182 GR F1.0L"
"887483 PI8-10S,ASTM,A312,TP304L",IPS408010,"8"" S-10 .148W SEAMLESS PIPE, SA312 TP304/L",IPS408010,"8"" S-10 .148W SEAMLESS PIPE, SA312 TP304/L",PIPE,SEAMLESS PIPE,8.0,,,STAINLESS STEEL,SA312,TP304/L,,10,,SEAMLESS,,,,.148W WALL THICKNESS,0.9,8\\ S-10 .148W SEAMLESS PIPE SA312 TP304/L,,,,,,,,112,898.7274215,"8"" S-10 .148W SEAMLESS PIPE, SA312 TP304/L","887483 PI8-10S,ASTM,A312,TP304L","887483 PI8-10S,ASTM,A312,TP304L",pipe,pipe,8.0,,10.0,stainless_steel,A312,TP304L,,,,,,,,,0.9,"887483 PI8-10S,ASTM,A312,TP304L"
"15000391-ELBOW,LR90,4,S160-SA-234-WPB",IWL904016,"4"" S-160 LR 90° WELD ELL, SA234-WPB",IWL904016,"4"" S-160 LR 90° WELD ELL, SA234-WPB",FITTING,LONG RADIUS 90 ELBOW,4.0,,,CARBON STEEL,SA234,WPB,,160,,,BW,BUTT WELD,,,0.9,4\\ S-160 LR 90° WELD ELL SA234-WPB,,,,,,,,472,901.8726858,"4"" S-160 LR 90° WELD ELL, SA234-WPB","15000391-ELBOW,LR90,4,S160-SA-234-WPB","15000391-ELBOW,LR90,4,S160-SA-234-WPB",fitting,long_radius_90_elbow,4.0,,,carbon_steel,A234,WPB,,160,,,,,,,0.9,"15000391-ELBOW,LR90,4,S160-SA-234-WPB"
"12700487-PIPE,SMLS,24,S30 Gr C-SA-106C",PA24003,"24"" S-30 .562W BLK SA106-B SEAMLESS PIPE",PA24003,"24"" S-30 .562W BLK SA106-B SEAMLESS PIPE",PIPE,SEAMLESS,24.0,,,CARBON STEEL,A106,B,,30,,SEAMLESS,BLACK,,,.562W,0.9,24\\ S-30 .562W BLK SA106-B SEAMLESS PIPE,,,,,,,,734,907.4806767,"24"" S-30 .562W BLK SA106-B SEAMLESS PIPE","12700487-PIPE,SMLS,24,S30 Gr C-SA-106C","12700487-PIPE,SMLS,24,S30 GR C-SA-106C",pipe,seamless,24.0,,,carbon_steel,A106,C,,S30,,seamless,,,,,0.9,"12700487-PIPE,SMLS,24,S30 GR C-SA-106C"
"H31984 RED#ECC.-WELD.6X4*SCH40S/SCH40S,ASTM A403",IWEC4060040S,"6"" X 4"" STD ECCENTRIC REDUCER, SA403 WP304/304L",IWEC4060040S,"6"" X 4"" STD ECCENTRIC REDUCER, SA403 WP304/304L",FITTING,ECCENTRIC REDUCER,6.0,4,,STAINLESS STEEL,A403,WP304/304L,,STANDARD,,,,,,,0.9,6\\ X 4\\ STD ECCENTRIC REDUCER SA403 WP304/304L,,,,,,,,214,911.1232888,"6"" X 4"" STD ECCENTRIC REDUCER, SA403 WP304/304L","H31984 RED#ECC.-WELD.6X4*SCH40S/SCH40S,ASTM A403","H31984 RED ECC.-WELD.6X4*SCH40S/SCH40S,ASTM A403",fitting,eccentric_reducer,6.0,4.0,,stainless_steel,A403,,,40S,40S,welded,,BW,,,0.9,"H31984 RED ECC.-WELD.6X4*SCH40S/SCH40S,ASTM A403"
"H32016 RED#CON.-WELD.6X4*SCH40S/SCH40S,ASTM A403",IWCO4060040S,"6"" X 4"" STD CONCENTRIC WELD REDUCER, SA403 304/304L",IWCO4060040S,"6"" X 4"" STD CONCENTRIC WELD REDUCER, SA403 304/304L",FITTING,CONCENTRIC REDUCER,6.0,4,,STAINLESS STEEL,SA403,304/304L,,STANDARD,,WELD,,,,,0.9,6\\ X 4\\ STD CONCENTRIC WELD REDUCER SA403 304/304L,,,,,,,,216,916.7267651,"6"" X 4"" STD CONCENTRIC WELD REDUCER, SA403 304/304L","H32016 RED#CON.-WELD.6X4*SCH40S/SCH40S,ASTM A403","H32016 RED CON.-WELD.6X4*SCH40S/SCH40S,ASTM A403",fitting,concentric_reducer,6.0,4.0,,stainless_steel,A403,,,40S,40S,welded,,BW,,,0.9,"H32016 RED CON.-WELD.6X4*SCH40S/SCH40S,ASTM A403"
"H23242 FL1.5,150,WN,RF,S40S,A-182-F304H",IFWN4H010101S,"1"" 150# RF WELD NECK FLANGE STD BORE, SA182-F304H",IFWN4H010101S,"1"" 150# RF WELD NECK FLANGE STD BORE, SA182-F304H",FLANGE,WELD NECK,1.0,,,STAINLESS STEEL,SA182,F304H,150,STD,,,RAISED FACE,,,STD BORE,0.9,1\\ 150# RF WELD NECK FLANGE STD BORE SA182-F304H,,,,,,,,1132,920.7697255,"1"" 150# RF WELD NECK FLANGE STD BORE, SA182-F304H","H23242 FL1.5,150,WN,RF,S40S,A-182-F304H","H23242 FL1.5,150,WN,RF,S40S,A-182-F304H",flange,weld_neck,1.5,,,stainless_steel,A182,F304H,150,40S,,,raised_face,,,,1.0,"H23242 FL1.5,150,WN,RF,S40S,A-182-F304H"
"H05617 PI8-S10S,WLD,ASTM A312TP304/304L",IPE408001,"8"" S-10S .148W WELDED SA312 TP304/304L",IPE408001,"8"" S-10S .148W WELDED SA312 TP304/304L",PIPE,WELDED,8.0,,,STAINLESS STEEL,SA312,TP304/304L,,10S,,WELDED,,,,.148W,0.9,8\\ S-10S .148W WELDED SA312 TP304/304L,,,,,,,,96,924.7408957,"8"" S-10S .148W WELDED SA312 TP304/304L","H05617 PI8-S10S,WLD,ASTM A312TP304/304L","H05617 PI8-S10S,WLD,ASTM A312TP1.0L",pipe,welded,8.0,,,stainless_steel,A312,TP316L,,S10,,welded,,,,,0.8,"H05617 PI8-S10S,WLD,ASTM A312TP1.0L"
"11100805-FLG,WN,RF,6,600#,S120-SA-105N",FWN06060112PPI,"6"" 600# RF WELD NECK FLANGE S-120 BORE, SA105N-FGP",FWN06060112PPI,"6"" 600# RF WELD NECK FLANGE S-120 BORE, SA105N-FGP",FLANGE,WELD NECK,6.0,,,CARBON STEEL,A105,N,600,,,,RAISED FACE,,,S-120 BORE FGP,0.9,6\\ 600# RF WELD NECK FLANGE S-120 BORE SA105N-FGP,,,,,,,,332,928.3371048,"6"" 600# RF WELD NECK FLANGE S-120 BORE, SA105N-FGP","11100805-FLG,WN,RF,6,600#,S120-SA-105N","11100805-FLG,WN,RF,6,600 ,S120-SA-105N",flange,weld_neck,6.0,,,carbon_steel,A105,N,600,120,,,raised_face,,,,1.0,"11100805-FLG,WN,RF,6,600 ,S120-SA-105N"
"10-150RFBL-FLG,BL,RF,10,150#-SA-105",FBD011001,"10"" 150# RF BLIND FLANGE, SA105N-FGP",FBD011001,"10"" 150# RF BLIND FLANGE, SA105N-FGP",FLANGE,BLIND,10.0,,,CARBON STEEL,A105,N,150,,,,RAISED FACE,,,FGP,0.9,10\\ 150# RF BLIND FLANGE SA105N-FGP,,,,,,,,1030,932.313652,"10"" 150# RF BLIND FLANGE, SA105N-FGP","10-150RFBL-FLG,BL,RF,10,150#-SA-105","10-150RFBL-FLG,BL,RF,10,150 -SA-105",flange,blind,10.0,,,carbon_steel,A105,,150,,,,raised_face,,,,1.0,"10-150RFBL-FLG,BL,RF,10,150 -SA-105"
"3"" X 4"" Sch. Std Wall Concentric Reducer A234 Fr. WPB",ISWCO040030S,"4"" x 3"" STD CONCENTRIC WELD REDUCER, SA234-WPB",ISWCO040030S,"4"" x 3"" STD CONCENTRIC WELD REDUCER, SA234-WPB",FITTING,CONCENTRIC REDUCER,4.0,3,,CARBON STEEL,SA234,WPB,,STANDARD,,WELDED,,,,,0.9,4\\ x 3\\ STD CONCENTRIC WELD REDUCER SA234-WPB,,,,,,,,424,937.6259254,"4"" x 3"" STD CONCENTRIC WELD REDUCER, SA234-WPB","3"" X 4"" Sch. Std Wall Concentric Reducer A234 Fr. WPB","3"" X 4"" SCH. STD WALL CONCENTRIC REDUCER A234 FR. WPB",fitting,concentric_reducer,3.0,4.0,,carbon_steel,A234,WPB,,standard,,,,,,,0.9,"3"" X 4"" SCH. STD WALL CONCENTRIC REDUCER A234 FR. WPB"
"2"" XXS 600# RF A105 WN B16.5 FLANGES",FWN060201XXBTX,"2"" 600# RF WELD NECK FLANGE XXH BORE, SA105N",FWN060201XXBTX,"2"" 600# RF WELD NECK FLANGE XXH BORE, SA105N",FLANGE,WELD NECK,2.0,,,CARBON STEEL,A105,N,600,XXH,,,RAISED FACE,,,,0.9,2\\ 600# RF WELD NECK FLANGE XXH BORE SA105N,,,,,,,,812,942.4788663,"2"" 600# RF WELD NECK FLANGE XXH BORE, SA105N","2"" XXS 600# RF A105 WN B16.5 FLANGES","2"" XXS 600 RF A105 WN B16.5 FLANGES",flange,weld_neck,2.0,,,carbon_steel,A105,,600,XXS,,,raised_face,,,B16.5,1.0,"2"" XXS 600 RF A105 WN B16.5 FLANGES"
"FLG,LWN,RF,10,300#,13""LG-FLG,LWN,RF,10,300#,13""LG-SA-105N",FLWN03100114,"10"" 300# RF LONG WELD NECK x 14"" LG, SA105N-FGP/SA350LF2-FGP",FLWN03100114,"10"" 300# RF LONG WELD NECK x 14"" LG, SA105N-FGP/SA350LF2-FGP",FLANGE,WELD NECK,10.0,,14,CARBON STEEL,SA105N,FGP,300,,,LONG,RAISED FACE,,,SA350LF2-FGP,0.9,10\\ 300# RF LONG WELD NECK x 14\\ LG SA105N-FGP/SA350LF2-FGP,,,,,,,,1002,946.5684526,"10"" 300# RF LONG WELD NECK x 14"" LG, SA105N-FGP/SA350LF2-FGP","FLG,LWN,RF,10,300#,13""LG-FLG,LWN,RF,10,300#,13""LG-SA-105N","FLG,LWN,RF,10,300 ,13 INCHLG-FLG,LWN,RF,10,300 ,13 INCHLG-SA-105N",flange,weld_neck,10.0,,13.0,carbon_steel,A105,N,300,,,,raised_face,,,,0.9,"FLG,LWN,RF,10,300 ,13 INCHLG-FLG,LWN,RF,10,300 ,13 INCHLG-SA-105N"
"933798 TEE STR, SMLS,8 X 8 * STD/STD, ASTM A234 GR,WPB",IWTE080SVT,"8"" STD WELD TEE, SA234-WPB (VIETNAM)",IWTE080SVT,"8"" STD WELD TEE, SA234-WPB (VIETNAM)",FITTING,TEE,8.0,,,CARBON STEEL,A234,WPB,,STANDARD,,WELDED,,,,(VIETNAM),0.9,8\\ STD WELD TEE SA234-WPB (VIETNAM),,,,,,,,38,955.3349561,"8"" STD WELD TEE, SA234-WPB (VIETNAM)","933798 TEE STR, SMLS,8 X 8 * STD/STD, ASTM A234 GR,WPB","933798 TEE STR, SMLS,8 X 8 * STD/STD, ASTM A234 GR,WPB",fitting,straight_tee,8.0,8.0,,carbon_steel,A234,WPB,,standard,standard,seamless,,,,,0.9,"933798 TEE STR, SMLS,8 X 8 * STD/STD, ASTM A234 GR,WPB"
"J75513 EL6,90,SR,SCH40S,SMLS,ASTM A403 GR.WP304L",IWS94060S,"6"" STD SR 90° WELD ELL, SA403-WP304L",IWS94060S,"6"" STD SR 90° WELD ELL, SA403-WP304L",FITTING,SHORT RADIUS 90 ELBOW,6.0,,,STAINLESS STEEL,SA403,WP304L,,STANDARD,,,BUTT WELD,BUTT WELD,,,0.9,6\\ STD SR 90° WELD ELL SA403-WP304L,,,,,,,,222,959.3419763,"6"" STD SR 90° WELD ELL, SA403-WP304L","J75513 EL6,90,SR,SCH40S,SMLS,ASTM A403 GR.WP304L","J75513 EL6,90,SR,SCH40S,SMLS,ASTM A403 GR.WP304L",fitting,90_degree_elbow_sr,6.0,,,stainless_steel,ASTM A403,WP304L,,40S,,SMLS,,,,,1.0,"J75513 EL6,90,SR,SCH40S,SMLS,ASTM A403 GR.WP304L"
"18"" 300# RFWN Flange S/60 Bore A/SA350-LF2 Cl. 1",FWNL011801S,"18"" 150# RF WELD NECK FLANGE STD BORE, SA350-LF2 CL1",FWNL011801S,"18"" 150# RF WELD NECK FLANGE STD BORE, SA350-LF2 CL1",FLANGE,WELD NECK,18.0,,,CARBON STEEL,SA350,LF2,150,STD,,,RAISED FACE,,,CL1,0.9,18\\ 150# RF WELD NECK FLANGE STD BORE SA350-LF2 CL1,,,,,,,,870,966.3961694,"18"" 150# RF WELD NECK FLANGE STD BORE, SA350-LF2 CL1","18"" 300# RFWN Flange S/60 Bore A/SA350-LF2 Cl. 1","18"" 300 RFWN FLANGE S/60 BORE A/SA350-LF2 CL. 1",flange,weld_neck,18.0,,,carbon_steel,A350,LF2,300,60,,,raised_face,,,CL. 1,1.0,"18"" 300 RFWN FLANGE S/60 BORE A/SA350-LF2 CL. 1"
"8-LR45X-ELBOW,LR45,8,XH",IWL4080XA,"8"" XH LR 45°WELD ELL, SA234-WPB",IWL4080XA,"8"" XH LR 45°WELD ELL, SA234-WPB",FITTING,LONG RADIUS 45 ELBOW,8.0,,,CARBON STEEL,SA234,WPB,,EXTRA HEAVY,,,,BUTT WELD,,,0.9,8\\ XH LR 45°WELD ELL SA234-WPB,,,,,,,,0,973.7441134,"8"" XH LR 45°WELD ELL, SA234-WPB","8-LR45X-ELBOW,LR45,8,XH","8-LR45X-ELBOW,LR45,8,XH",fitting,long_radius_45_elbow,8.0,,,,,,,extra_heavy,,,,,,,0.8,"8-LR45X-ELBOW,LR45,8,XH"
"STD wall ASTM A53 gr. A or B Type F 8""",IPE080STK,"8"" STD .322WAPI-5L GR-B/X42/SA53-B ERW PIPE",IPE080STK,"8"" STD .322WAPI-5L GR-B/X42/SA53-B ERW PIPE",PIPE,ERW PIPE,8.0,,,CARBON STEEL,API-5L,GR-B/X42,,STANDARD,,ERW,,,,SA53-B,0.9,8\\ STD .322WAPI-5L GR-B/X42/SA53-B ERW PIPE,,,,,,,,48,977.1199315,"8"" STD .322WAPI-5L GR-B/X42/SA53-B ERW PIPE","STD wall ASTM A53 gr. A or B Type F 8""","STD WALL ASTM A53 GR. A OR B TYPE F 8""",pipe,pipe,8.0,,,carbon_steel,A53,A/B,,standard,,type_f,,,,,0.9,"STD WALL ASTM A53 GR. A OR B TYPE F 8"""
"H23245 EL1,45,LR,S/40S,A403,GR.WP304L",IWL44010S,"1"" STD LR 45° WELD ELL, A403 WP304/304L",IWL44010S,"1"" STD LR 45° WELD ELL, A403 WP304/304L",FITTING,45 DEGREE LONG RADIUS ELBOW,1.0,,,STAINLESS STEEL,A403,WP304/304L,,STANDARD,,,,BUTT WELD,,,0.9,1\\ STD LR 45° WELD ELL A403 WP304/304L,,,,,,,,1088,983.2327408,"1"" STD LR 45° WELD ELL, A403 WP304/304L","H23245 EL1,45,LR,S/40S,A403,GR.WP304L","H23245 EL1,45,LR,S/40S,A403,GR.WP304L",fitting,long_radius_45_elbow,1.0,,,stainless_steel,A403,WP304L,,40S,,,,,,,0.9,"H23245 EL1,45,LR,S/40S,A403,GR.WP304L"
"11100114-FLG,BL,RF,20"",600#-SA-105N (NORMALIZED)",FBD062001BTX,"20"" 600# RF BLIND FLANGE, SA105N",FBD062001BTX,"20"" 600# RF BLIND FLANGE, SA105N",FLANGE,BLIND,20.0,,,CARBON STEEL,A105,N,600,,,,RF,,,,0.9,20\\ 600# RF BLIND FLANGE SA105N,,,,,,,,774,989.5702739,"20"" 600# RF BLIND FLANGE, SA105N","11100114-FLG,BL,RF,20"",600#-SA-105N (NORMALIZED)","11100114-FLG,BL,RF,20"",600 -SA-105N (NORMALIZED)",flange,blind,20.0,,,carbon_steel,A105,N,600,,,normalized,raised_face,,,,1.0,"11100114-FLG,BL,RF,20"",600 -SA-105N (NORMALIZED)"
"2"" XXS LR WN 90 DEG. A234WPB",WL9020XX,"2"" XXH LR 90° WELD ELL, SA234-WPB",WL9020XX,"2"" XXH LR 90° WELD ELL, SA234-WPB",FITTING,LONG RADIUS 90 ELBOW,2.0,,,CARBON STEEL,SA234,WPB,,XXH,,,BW,BUTT WELD,,,0.9,2\\ XXH LR 90° WELD ELL SA234-WPB,,,,,,,,782,993.256544,"2"" XXH LR 90° WELD ELL, SA234-WPB","2"" XXS LR WN 90 DEG. A234WPB","2"" XXS LR WN 90 DEG. A234WPB",fitting,long_radius_90_elbow,2.0,,,carbon_steel,A234,WPB,,XXS,,,,,,weld_neck,0.9,"2"" XXS LR WN 90 DEG. A234WPB"
"12700032-PIPE,ERW,20,S10-SA-53B",IPE2000142,"20"" S-10 .250w API5L/X42/SA53-B ERW PIPE",IPE2000142,"20"" S-10 .250w API5L/X42/SA53-B ERW PIPE",PIPE,ERW,20.0,,,CARBON STEEL,API5L/SA53-B,X42,,S-10,,ERW,,,,.250W,0.9,20\\ S-10 .250w API5L/X42/SA53-B ERW PIPE,,,,,,,,772,999.4402472,"20"" S-10 .250w API5L/X42/SA53-B ERW PIPE","12700032-PIPE,ERW,20,S10-SA-53B","12700032-PIPE,ERW,20,S10-SA-53B",pipe,erw_pipe,20.0,,,carbon_steel,A53,B,,10,,erw,,,,,0.9,"12700032-PIPE,ERW,20,S10-SA-53B"
"H30452 FL6,150,WN,RF,S10S,ASTM A182,GR. F304/304L",IWCO406004001,"6"" X 4"" S10 CONCENTRIC WELD REDUCER, SA403 304/304L",IWCO406004001,"6"" X 4"" S10 CONCENTRIC WELD REDUCER, SA403 304/304L",FITTING,CONCENTRIC REDUCER,6.0,4,,STAINLESS STEEL,A403,304/304L,,10,,WELD,,,,,0.9,6\\ X 4\\ S10 CONCENTRIC WELD REDUCER SA403 304/304L,,,,,,,,218,1004.7158558,"6"" X 4"" S10 CONCENTRIC WELD REDUCER, SA403 304/304L","H30452 FL6,150,WN,RF,S10S,ASTM A182,GR. F304/304L","H30452 FL6,150,WN,RF,S10S,ASTM A182,GR. F1.0L",flange,weld_neck,6.0,,,stainless_steel,ASTM A182,F1.0L,150,10S,,,raised_face,,,,1.0,"H30452 FL6,150,WN,RF,S10S,ASTM A182,GR. F1.0L"
"STD wall ASTM A53 gr. A or B Type F 6""",IPA060STTR,"6"" STD .280W BLK SA53-B/SA106-B/C SEAMLESS PIPE (SPAIN)",IPA060STTR,"6"" STD .280W BLK SA53-B/SA106-B/C SEAMLESS PIPE (SPAIN)",PIPE,SEAMLESS PIPE,6.0,,,CARBON STEEL,SA53-B/SA106-B/C,,,STANDARD,,SEAMLESS,BLACK,,,SPAIN,0.9,6\\ STD .280W BLK SA53-B/SA106-B/C SEAMLESS PIPE (SPAIN),,,,,,,,232,1010.9346662,"6"" STD .280W BLK SA53-B/SA106-B/C SEAMLESS PIPE (SPAIN)","STD wall ASTM A53 gr. A or B Type F 6""","STD WALL ASTM A53 GR. A OR B TYPE F 6""",pipe,pipe,6.0,,,carbon_steel,A53,A/B,,standard,,type_f,,,,,0.9,"STD WALL ASTM A53 GR. A OR B TYPE F 6"""
"QV2438 RE#CONC.SMLS.10X8,SCH80S/SCH80S,ASTM A403",IWCO610008080S,"10"" x 8"" 80S (.500W)CONCENTRIC WELD REDUCER, 316/L",IWCO610008080S,"10"" x 8"" 80S (.500W)CONCENTRIC WELD REDUCER, 316/L",FITTING,CONCENTRIC REDUCER,10.0,8,,STAINLESS STEEL,,316L,,80S,,WELD,,,,.500W,0.9,10\\ x 8\\ 80S (.500W)CONCENTRIC WELD REDUCER 316/L,,,,,,,,966,1016.3481739,"10"" x 8"" 80S (.500W)CONCENTRIC WELD REDUCER, 316/L","QV2438 RE#CONC.SMLS.10X8,SCH80S/SCH80S,ASTM A403","QV2438 RE CONC.SMLS.10X8,SCH80S/SCH80S,ASTM A403",fitting,concentric_reducer,10.0,8.0,,stainless_steel,A403,,,80S,80S,seamless,,,,,0.9,"QV2438 RE CONC.SMLS.10X8,SCH80S/SCH80S,ASTM A403"
"111008090-FLG,WN,RF,6,900#,XH (S80)-SA-105",FWN090601X,"6"" 900# RF WELD NECK FLANGE XH BORE, SA105N FGP",FWN090601X,"6"" 900# RF WELD NECK FLANGE XH BORE, SA105N FGP",FLANGE,WELD NECK,6.0,,,CARBON STEEL,A105,N,900,XH,,,RF,,,FGP,0.9,6\\ 900# RF WELD NECK FLANGE XH BORE SA105N FGP,,,,,,,,294,1020.7934549,"6"" 900# RF WELD NECK FLANGE XH BORE, SA105N FGP","111008090-FLG,WN,RF,6,900#,XH (S80)-SA-105","111008090-FLG,WN,RF,6,900 ,XH (S80)-SA-105",flange,weld_neck,6.0,,,carbon_steel,A105,,900,XH,,,raised_face,,,,0.9,"111008090-FLG,WN,RF,6,900 ,XH (S80)-SA-105"
"933793 PIPE,8"", STD,SMLS,ASTM A106 GR.B",IPA080STAM,"8"" STD .322W ASTM/ASME/SA53B/API5L/X42/SA106B/C SEAMLESS PIPE",IPA080STAM,"8"" STD .322W ASTM/ASME/SA53B/API5L/X42/SA106B/C SEAMLESS PIPE",PIPE,SEAMLESS PIPE,8.0,,,CARBON STEEL,A53B/A106B,X42,,STANDARD,,SEAMLESS,,,,.322W WALL THICKNESS,0.9,8\\ STD .322W ASTM/ASME/SA53B/API5L/X42/SA106B/C SEAMLESS PIPE,,,,,,,,68,1025.8575274,"8"" STD .322W ASTM/ASME/SA53B/API5L/X42/SA106B/C SEAMLESS PIPE","933793 PIPE,8"", STD,SMLS,ASTM A106 GR.B","933793 PIPE,8"", STD,SMLS,ASTM A106 GR.B",pipe,smls_pipe,8.0,,,carbon_steel,A106,B,,standard,,seamless,,,,,0.9,"933793 PIPE,8"", STD,SMLS,ASTM A106 GR.B"
"1/4"" std A106B min smls or welded",PA002ST,"1/4"" STD .088W BLK SA106-B SEAMLESS PIPE",PA002ST,"1/4"" STD .088W BLK SA106-B SEAMLESS PIPE",PIPE,SEAMLESS,0.25,,,CARBON STEEL,A106,B,,STANDARD,,SEAMLESS,BLACK,,,.088W,0.9,1/4\\ STD .088W BLK SA106-B SEAMLESS PIPE,,,,,,,,1040,1030.8708664,"1/4"" STD .088W BLK SA106-B SEAMLESS PIPE","1/4"" std A106B min smls or welded","0.25"" STD A106B MIN SMLS OR WELDED",pipe,pipe,0.25,,,carbon_steel,A106,B,,standard,,smls_or_welded,,,,MIN,0.9,"0.25"" STD A106B MIN SMLS OR WELDED"
