Unnamed: 0,Description,category,type,primary_size,reducing_size,length,material_name,material_specification,material_grade,pressure_class,primary_schedule,reducing_schedule,manufacturing_process,end_finish,end_connections,trim,miscellaneous,confidence
5194,3/8 CS Stainless Steel 2000# Threaded 2 Piece Full Port BV Locking Lever,valve,ball,3/8,,,carbon steel,,,2000,,,,full port,THD,stainless steel,2-piece locking lever,0.9
5195,3/8 CS Stainless Steel 2000# Threaded 2 Piece SP XT BV,valve,ball,3/8,,,carbon steel,,,2000,,,,reduced port,THD,stainless steel,2-piece xtreme seats,0.85
5196,Not For Potable Use 1/2 CS 2000# Stainless Steel Threaded SP BV Locking Lever,valve,ball,1/2,,,carbon steel,,,2000,,,,,THD,stainless steel,locking lever not for potable use,0.85
5197,"1"" 2000# BALL VALVE CARBON STEEL STAINLESS STEEL THREADED REDUCED PORT FIRESAFE LOCKING LEVER",valve,ball,1,,,carbon steel,,,2000,,,,,thd,stainless steel,reduced port firesafe locking lever,0.85
5198,"3/4"" CARBON STEEL 2000# BALL VALVE THREADED  ",valve,ball,3/4,,,carbon steel,,,2000,,,,,THD,,,0.9
5199,1 GALV FS 2000# THRD TEE,fitting,tee,1,,,carbon steel,,,2000,,,forged,galvanized,thd,,,0.85
5200,4 Forged Steel 2000# Thread Tee,fitting,TEE,4,,,CARBON STEEL,,,2000,,,FORGED,,THD,,,0.85
5201,4 Forged Steel 2000# Thread Tee,fitting,TEE,4,,,CARBON STEEL,,,2000,,,FORGED,,THD,,,0.8
5202,1 CPVC TRUE UNION 2000 INDUSTRIAL BALL VALVE FLG EPDM,valve,ball,1,,,CPVC,,,2000,,,,,flanged,EPDM,true union industrial,0.9
5203,1 CPVC TRUE UNION 2000 INDUSTRIAL BALL VALVE SOC/FPT EPDM,valve,ball,1,,,CPVC,,,2000,,,,,SW X FPT,EPDM,TRUE UNION INDUSTRIAL,0.9
5204,1 CPVC TRUE UNION 2000 INDUSTRIAL BALL VALVE SOC/FPT FKM,valve,ball,1,,,CPVC,,,2000,,,,,SW X FT,FKM,TRUE UNION INDUSTRIAL,0.9
5205,1 CPVC TRUE UNION 2000 STANDARD BALL VALVE SOC/FPT EPDM,valve,BALL,1,,,CPVC,,,2000,,,,,SW X FPT,EPDM,TRUE UNION STANDARD,0.9
5206,1/2 CPVC TRUE UNION 2000 INDUSTRIAL BALL VALVE SOC/FPT FKM,valve,BALL,1/2,,,CPVC,,,2000,,,,,SW X FPT,FKM,TRUE UNION INDUSTRIAL,0.9
5207,1/2 CPVC TRUE UNION 2000 STANDARD BALL VALVE SOC/FPT EPDM,valve,BALL,1/2,,,CPVC,,,2000,,,,,SW X FPT,EPDM,TRUE UNION STANDARD,0.9
5208,1/2 CPVC TRUE UNION 2000 STANDARD BALL VALVE SOC/FPT FKM,valve,ball,1/2,,,CPVC,,,2000,,,,,SW X FNPT,FKM,true union standard,0.95
5209,1-1/2 CPVC TRUE UNION 2000 INDUSTRIAL BALL VALVE SOC/FPT EPDM,valve,BALL,1 1/2,,,CPVC,,,2000,,,,,SW X FNPT,EPDM,TRUE UNION INDUSTRIAL,0.9
5210,1-1/2 CPVC TRUE UNION 2000 INDUSTRIAL BALL VALVE SOC/FPT FKM,valve,ball,1 1/2,,,CPVC,,,2000,,,,,SW X FPT,FKM,TRUE UNION INDUSTRIAL,0.9
5211,1-1/2 CPVC TRUE UNION 2000 STANDARD BALL VALVE SOC/FPT EPDM,valve,ball,1 1/2,,,CPVC,,,2000,,,,,SW X FPT,EPDM,TRUE UNION,0.9
5212,2 CPVC COMPACT 2000 BALL VALVE SOC EPDM,valve,ball,2,,,CPVC,,,2000,,,,,SOC,EPDM,COMPACT,0.9
5213,2 CPVC TRUE UNION 2000 INDUSTRIAL BALL VALVE SOC/FPT EPDM,valve,ball,2,,,CPVC,,,2000,,,,,SW X FT,EPDM,TRUE UNION INDUSTRIAL,0.9
5214,2 CPVC TRUE UNION 2000 INDUSTRIAL BALL VALVE SOC/FPT FKM,valve,BALL,2,,,CPVC,,,2000,,,INDUSTRIAL,,SW X FPT,FKM,TRUE UNION,0.95
5215,2 CPVC TRUE UNION 2000 STANDARD BALL VALVE SOC/FPT EPDM,valve,ball,2,,,CPVC,,,2000,,,,,SW X FPT,EPDM,TRUE UNION STANDARD,0.9
5216,2 CPVC TRUE UNION 2000 STANDARD BALL VALVE SOC/FPT FKM,valve,BALL,2,,,CPVC,,,2000,,,,,SW X FT,FKM,TRUE UNION,0.95
5217,3 CPVC TRUE UNION 2000 INDUSTRIAL BALL VALVE SOC EPDM,valve,ball,3,,,CPVC,,,2000,,,,,SOC,EPDM,TRUE UNION,0.9
5218,3 CPVC TRUE UNION 2000 STANDARD BALL VALVE SOC EPDM,valve,ball,3,,,CPVC,,,2000,STD,,,,SOC,EPDM,TRUE UNION,0.9
5219,3/4 CPVC TRUE UNION 2000 INDUSTRIAL BALL VALVE SOC/FPT EPDM,valve,ball,3/4,,,CPVC,,,2000,,,,,SW X FPT,EPDM,TRUE UNION INDUSTRIAL,0.9
5220,4 CPVC TRUE UNION 2000 INDUSTRIAL BALL VALVE SOC EPDM,valve,ball,4,,,CPVC,,,2000,,,,,SOC,EPDM,TRUE UNION INDUSTRIAL,0.9
5221,2 CPVC TRUE UNION 2000 INDUSTRIAL BALL CHECK VALVE SOC/FPT FKM,valve,BALL CHECK,2,,,CPVC,,,2000,,,,,SW X FPT,FKM,INDUSTRIAL TRUE UNION,0.95
5222,2 CPVC TRUE UNION 2000 INDUSTRIAL BALL VALVE FLG EPDM,valve,BALL VALVE,2,,,CPVC,,,2000,,,,,FLANGED,EPDM,TRUE UNION INDUSTRIAL,0.9
5223,1/2 CPVC TRUE UNION 2000 INDUSTRIAL BALL CHECK VALVE EPDM,valve,ball_check,1/2,,,CPVC,,,2000,,,,,true_union,epdm,industrial,0.9
5224,1 CPVC TRUE UNION 2000 INDUSTRIAL BALL CHECK VALVE SOC/FPT FKM,valve,CHECK,1,,,CPVC,,,2000,,,,,SW X FPT,FKM,TRUE UNION INDUSTRIAL BALL,0.85
5225,1/2 CPVC TRUE UNION 2000 INDUSTRIAL BALL CHECK VALVE SOC/FPT FKM,valve,CHECK,1/2,,,CPVC,,,2000,,,,,SW X FPT,FKM,TRUE UNION INDUSTRIAL,0.9
5226,1 Ductile Iron 2000# Threaded Full Port 210 NACE BV Left Hand,valve,ball,1,,,ductile iron,,,2000,,,,full port,THD,210 NACE,locking handle,0.95
5227,2 DI CS 2000 THRD LEV FP BV,valve,ball,2,,,ductile iron,,,2000,,,,full port,THD,carbon steel,lever,0.9
5228,2 Ductile Iron 2000# Threaded Full Port 210 NACE BV Left Hand,valve,ball,2,,,ductile iron,,,2000,,,,full port,thd,210 nace,locking handle,0.95
5229,2 Ductile Iron 2000# Threaded SP 210 NACE BV Left Hand,valve,ball,2,,,ductile iron,,,2000,,,,reduced port,THD,210 NACE,locking handle,0.9
5230,2 Galvanized 2000# Thread 90 Elbow,fitting,90 ELBOW,2,,,,,,2000,,,GALVANIZED,,THD,,,0.85
5231,ADC 2000 LB-IN ELECT ACT,valve,actuator,,,,,,,2000,,,,,,,electric actuator,0.8
5232,1 A20 2000# Socket Weld 3 Piece Full Port BV,valve,ball,1,,,,A20,,2000,,,,full port,sw,3-piece,,0.9
5233,1/2 A20 2000# Threaded BV,valve,ball,1/2,,,,A20,,2000,,,,,THD,,,0.9
5234,2 FIG 200 HAMMER UNION,fitting,HAMMER UNION,2,,,,,,2000,,,,,,,FIG 200,0.85
5235,3 FIG 200 HAMMER UNION,fitting,HAMMER UNION,3,,,,,,2000,,,,,,,FIG 200,0.85
5236,4 FIG 200 HAMMER UNION,fitting,HAMMER UNION,4,,,,,,2000,,,,,,,FIG 200,0.8
5237,1 PVC TRUE UNION 2000 INDUSTRIAL BALL VALVE SOC/FPT EPDM,valve,ball,1,,,PVC,,,2000,,,,,SW X FPT,EPDM,TRUE UNION INDUSTRIAL,0.9
5238,1 PVC TRUE UNION 2000 STANDARD BALL VALVE SOC/FPT EPDM,valve,ball,1,,,PVC,,,2000,standard,,,,SW X FPT,EPDM,true union,0.95
5239,1 PVC TRUE UNION 2000 STANDARD BALL VALVE SOC/FPT FKM,valve,ball,1,,,PVC,,,2000,standard,,,,SW X FPT,FKM,true union,0.9
5240,1/2 PVC TRUE UNION 2000 INDUSTRIAL BALL VALVE SOC/FPT EPDM,valve,ball,1/2,,,PVC,,,2000,,,industrial,,SW X FPT,EPDM,true union,0.9
5241,1/2 PVC TRUE UNION 2000 STANDARD BALL VALVE SOC/FPT FKM,valve,ball,1/2,,,PVC,,,2000,,,,,SW X FPT,FKM,true union,0.9
5242,2 PVC TRUE UNION 2000 INDUSTRIAL BALL VALVE SOC/FPT EPDM,valve,ball,2,,,PVC,,,2000,,,,,SW X FPT,EPDM,TRUE UNION INDUSTRIAL,0.9
5243,2 PVC TRUE UNION 2000 STANDARD BALL VALVE SOC/FPT EPDM,valve,ball,2,,,PVC,,,2000,,,,,SW X FPT,EPDM,TRUE UNION STANDARD,0.9
5244,3 PVC TRUE UNION 2000 INDUSTRIAL BALL VALVE THD EPDM,valve,BALL,3,,,PVC,,,2000,,,,,THD,EPDM,TRUE UNION INDUSTRIAL,0.9
5245,3 PVC TRUE UNION 2000 STANDARD BALL VALVE SOC EPDM,valve,ball,3,,,PVC,,,2000,,,,,SOC,EPDM,TRUE UNION STANDARD,0.9
5246,3 PVC TRUE UNION 2000 STANDARD BALL VALVE SOC FKM,valve,ball,3,,,PVC,,,2000,,,,,SOC,FKM,TRUE UNION,0.9
5247,3/4 PVC TRUE UNION 2000 STANDARD BALL VALVE SOC/FPT FKM,valve,ball,3/4,,,PVC,,,2000,,,,true union,SW X FNPT,FKM,,0.95
5248,3/4 PVC TRUE UNION BALL VALVE SOC/FPT EPDM,valve,ball,3/4,,,PVC,,,2000,,,,,SW X FPT,EPDM,TRUE UNION,0.9
5249,3/4 PVC True Union BV VITON,valve,ball,3/4,,,PVC,,,2000,,,,,true union,viton,,0.9
5250,4 PVC TRUE UNION 2000 INDUSTRIAL BALL VALVE FLG EPDM,valve,ball,4,,,PVC,,,2000,,,,,flanged,EPDM,true union industrial,0.9
5251,4 PVC TRUE UNION 2000 STANDARD BALL VALVE SOC EPDM,valve,ball,4,,,PVC,,,2000,standard,,,,socket,EPDM,true union,0.9
5252,4 PVC TRUE UNION 2000 STANDARD BALL VALVE SOC FKM,valve,ball,4,,,PVC,,,2000,standard,,,,socket,FKM,true union,0.95
5253,"1/2"" BALL VALVE PVC TRUE UNION 2000 STANDARD SOCKETWELD/FEMALE THREADED EPDM",valve,ball,1/2,,,PVC,,,2000,,,,,SW X FPT,EPDM,TRUE UNION,0.9
5254,2 PVC TRUE UNION 2000 INDUSTRIAL BALL CHECK VALVE SOC/FPT EPDM,valve,BALL CHECK,2,,,PVC,,,2000,,,,,SW X FPT,EPDM,TRUE UNION INDUSTRIAL,0.9
5255,2 PVC TRUE UNION 2000 INDUSTRIAL BALL CHECK VALVE SOC/FPT FKM,valve,ball check,2,,,PVC,,,2000,,,industrial,,SW X FTH,FKM,true union,0.9
5256,3/4 PVC TRUE UNION 2000 INDUSTRIAL BALL VALVE SOC/FPT EPDM,valve,ball valve,3/4,,,PVC,,,2000,,,,,SW X FNPT,EPDM,true union industrial,0.95
5257,3/4 PVC TRUE UNION 2000 INDUSTRIAL BALL CHECK VALVE SOC/FPT FKM,valve,ball_check,3/4,,,PVC,,,2000,,,,,SW X FNPT,FKM,true union industrial,0.95
5258,3/4 Stainless Steel 316 L 2000# Thread 45 Elbow,fitting,45 DEGREE ELBOW,3/4,,,STAINLESS STEEL,,316L,2000,,,,,THD,,,0.9
5259,1  Stainless Steel Stainless Steel 2000# Threaded 2 Piece SP XT BV,valve,ball,1,,,stainless steel,,,2000,,,,,THD,XTREME,2-PIECE REDUCED PORT,0.9
5260,1 316 SS 2000# 2PC THRD FP BV *X,valve,ball,1,,,stainless steel,,316,2000,,,,,THD,full port,2-piece,0.95
5261,1 316 Stainless Steel 2000# Threaded Reduced Port 2 Piece BV,valve,ball,1,,,stainless steel,,316,2000,,,,reduced port,thd,2-piece,,0.9
5262,1 316 Stainless Steel 2000# TXSW Full Port 3 Piece BV,valve,ball,1,,,stainless steel,,316,2000,,,,full port,thd x sw,3-piece,,0.95
5263,1 SS 2000# BW S40 SP XT BV,valve,ball,1,,,stainless steel,,,2000,40,,,,bw,xtreme seats,reduced port,0.85
5264,1 SS 2000# SW FP XT BV,valve,ball,1,,,stainless steel,,,2000,,,,,sw,xtreme seats,full port,0.85
5265,1 SS 2000# SW SP XT BV,valve,ball,1,,,stainless steel,,,2000,,,,,sw,xtreme seats,reduced port,0.9
5266,1 SS 2000# THRD FP XT BV TG,valve,ball,1,,,stainless steel,,,2000,,,,full port,THD,xtreme seats,tg,0.9
5267,1 SS 2000# THRD SP RTFE BV,valve,ball,1,,,stainless steel,,,2000,,,,,THD,RTFE,reduced port,0.9
5268,1 SS 2000# THRD SP XT BV,valve,ball,1,,,stainless steel,,,2000,,,,reduced port,thd,xtreme seats,,0.9
5269,1 SS 2000# TXSW 3PC FP BV LL,valve,ball,1,,,stainless steel,,,2000,,,,,THD X SW,FP,3-piece LL,0.9
5270,1 SS 2000# TXSW FP XT BV TG,valve,ball,1,,,stainless steel,,,2000,,,,full port,thd x sw,xtreme seats tg,,0.9
5271,1 Stainless Steel 2000# 250 # Steam Threaded 2 Piece BV,valve,ball,1,,,stainless steel,,,2000,,,,,thd,2-piece,250# steam,0.9
5272,1 Stainless Steel 2000# Socket Weld 3 Piece Full Port BV Locking Lever,valve,ball,1,,,stainless steel,,,2000,,,,,sw,full port,3-piece locking lever,0.95
5273,1 Stainless Steel 2000# Thread 2 Piece RP Ball Valve,valve,ball,1,,,stainless steel,,,2000,,,,reduced port,thd,2-piece,,0.9
5274,1 Stainless Steel 2000# Threaded 1 Piece BV,valve,ball,1,,,stainless steel,,,2000,,,,,THD,1-piece,,0.85
5275,1 Stainless Steel 2000# Threaded 2 Piece Full Port BV,valve,ball,1,,,stainless steel,,,2000,,,,,thd,2-piece full port,,0.9
5276,1 Stainless Steel 2000# Threaded 2 Piece Full Port BV Locking Lever,valve,ball,1,,,stainless steel,,,2000,,,,,THD,2-piece full port locking lever,,0.9
5277,1 Stainless Steel Stainless Steel 2000 TSW 3 Piece Full Port Forged Steel BV,valve,ball,1,,,stainless steel,,,2000,,,forged,full port,thd x sw,3-piece,,0.9
5278,1 Stainless Steel Stainless Steel 2000# Threaded 2 Piece SP RTFE BV,valve,ball,1,,,stainless steel,,,2000,,,,,THD,RTFE,2-piece reduced port,0.9
5279,1 THD 2000# Reduced Port 1 Piece Stainless Steel Stainless Steel BV,valve,ball,1,,,stainless steel,,,2000,,,,reduced port,thd,stainless steel,1-piece,0.9
5280,1/2 316 Stainless Steel 2000# Socket Weld Full Port 3 Piece BV,valve,ball,1/2,,,stainless steel,,316,2000,,,,full port,sw,3-piece,,0.95
5281,1/2 316 Stainless Steel 2000# Threaded Reduced Port 2 Piece BV,valve,ball,1/2,,,stainless steel,,316,2000,,,,reduced port,THD,2-piece,,0.95
5282,1/2 SS 2000# SW FP XT BV,valve,ball,1/2,,,stainless steel,,,2000,,,,full port,sw,xtreme seats,,0.9
5283,1/2 SS 2000# SW FP XT BV TG,valve,ball,1/2,,,stainless steel,,,2000,,,,full port,sw,xtreme seats,tg,0.9
5284,1/2 SS 2000# THRD FP XT BV TG,valve,ball,1/2,,,stainless steel,,,2000,,,,full port,thd,xtreme seats,tg,0.9
5285,1/2 SS 2000# THRD SP PTFE BV,valve,ball,1/2,,,stainless steel,,,2000,,,,,THD,PTFE,reduced port,0.9
5286,1/2 SS 2000# THRD SP RTFE BV,valve,ball,1/2,,,stainless steel,,,2000,,,,,THD,RTFE,reduced port,0.9
5287,1/2 SS 2000# THRD SP XT BV,valve,ball,1/2,,,stainless steel,,,2000,,,,,thd,xtreme seats,reduced port,0.9
5288,1/2 SS 2000# TXSW FP XT BV TG,valve,ball,1/2,,,stainless steel,,,2000,,,,full port,thd x sw,xtreme seats,tg,0.9
5289,1/2 Stainless Steel 2000# 250 # Steam Threaded 2 Piece BV,valve,ball,1/2,,,stainless steel,,,2000,,,,,thd,2-piece,250# steam,0.85
5290,1/2 Stainless Steel 2000# Socket Weld 3 Piece Full Port BV Locking Lever,valve,ball,1/2,,,stainless steel,,,2000,,,,,sw,full port,3-piece locking lever,0.9
5291,1/2 Stainless Steel 2000# Thread 2 Piece RP Ball Valve,valve,ball,1/2,,,stainless steel,,,2000,,,,reduced port,thd,2-piece,,0.9
5292,1/2 Stainless Steel 2000# Threaded 1 Piece BV,valve,ball,1/2,,,stainless steel,,,2000,,,,,thd,1-piece,,0.9
5293,1/2 Stainless Steel 2000# Threaded 1 Piece BV CMLCK,valve,ball,1/2,,,stainless steel,,,2000,,,,,THD,1-piece,cmlock,0.85
5294,1/2 Stainless Steel 2000# Threaded 1 Piece BV GR CMLCK,valve,ball,1/2,,,stainless steel,,,2000,,,,,thd,,1-piece,0.85
5295,1/2 Stainless Steel 2000# Threaded 1 Piece BV Locking Lever,valve,ball,1/2,,,stainless steel,,,2000,,,,,THD,locking lever,1-piece,0.9
5296,1/2 Stainless Steel 2000# Threaded 3 Piece Full Port BV Locking Lever,valve,ball,1/2,,,stainless steel,,,2000,,,,,THD,3-piece full port locking lever,,0.9
5297,1/2 Stainless Steel 316 2000# TUBE 2 Piece Ball Valve,valve,ball,1/2,,,stainless steel,,316,2000,,,,,tube,2-piece,,0.9
5298,1/2 Stainless Steel Stainless Steel 2000 Socket Weld 3 Piece Full Port Forged Steel BV,valve,ball,1/2,,,stainless steel,,,2000,,,forged,full port,sw,stainless steel,3-piece,0.95
5299,1/2 Stainless Steel Stainless Steel 2000 Threaded 3 Piece Full Port Forged Steel BV,valve,ball,1/2,,,stainless steel,,,2000,,,forged,,THD,3-piece full port,,0.9
5300,1/2 Stainless Steel Stainless Steel 2000# Threaded 2 Piece SP RTFE BV,valve,ball,1/2,,,stainless steel,,,2000,,,,,THD,RTFE,2-PIECE REDUCED PORT,0.9
5301,1/2 Stainless Steel Stainless Steel 2000# Threaded 2 Piece SP XT BV,valve,ball,1/2,,,stainless steel,,,2000,,,,,THD,xtreme seats,2-piece reduced port,0.9
5302,1/4 316 Stainless Steel 2000# Threaded Reduced Port 2 Piece BV,valve,ball,1/4,,,stainless steel,,316,2000,,,,reduced port,THD,2-piece,,0.95
5303,1/4 SS 2000# THRD SP RTFE BV,valve,ball,1/4,,,stainless steel,,,2000,,,,reduced port,thd,rtfe,,0.9
5304,1/4 Stainless Steel 2000# Stainless Steel Threaded Reduced Port BV Locking Lever,valve,ball,1/4,,,stainless steel,,,2000,,,,,THD,reduced port,locking lever,0.9
5305,1/4 Stainless Steel 2000# Threaded 1 Piece BV,valve,ball,1/4,,,stainless steel,,,2000,,,,,thd,1-piece,,0.9
5306,1/4 Stainless Steel 2000# Threaded 1 Piece BV Locking Lever,valve,ball,1/4,,,stainless steel,,,2000,,,,,THD,locking lever,1-piece,0.9
5307,1/4 Stainless Steel 2000# Threaded 2 Piece Full Port BV Locking Lever,valve,ball,1/4,,,stainless steel,,,2000,,,,,THD,full port,2-piece locking lever,0.9
5308,1/4 Stainless Steel 2000# Threaded Full Port 2 Piece BV,valve,ball,1/4,,,stainless steel,,,2000,,,,full port,THD,2-piece,,0.9
5309,1/4 Stainless Steel Stainless Steel 2000# Threaded 2 Piece SP RTFE BV,valve,ball,1/4,,,stainless steel,,,2000,,,,,THD,RTFE,2-PIECE REDUCED PORT,0.9
5310,1/4 Stainless Steel Stainless Steel 2000# Threaded 2 Piece SP XT BV,valve,ball,1/4,,,stainless steel,,,2000,,,,,thd,xtreme seats,2-piece reduced port,0.9
5311,1/4 THD 2000# Reduced Port 1 Piece Stainless Steel Stainless Steel BV,valve,ball,1/4,,,stainless steel,,,2000,,,,,THD,stainless steel,reduced port 1-piece,0.9
5312,1/4 TUBEXTUBE SS 2000# BV,valve,ball,1/4,,,stainless steel,,,2000,,,,,tube x tube,,,0.85
5313,1-1/2 2000# WOG 2 Piece FP Stainless Steel Ball Valve LL,valve,BALL,1 1/2,,,STAINLESS STEEL,,,2000,,,,,LL,FP,2-PIECE WOG,0.9
5314,1-1/2 SS 2000# BW S40 SP XT BV,valve,ball,1 1/2,,,stainless steel,,,2000,40,,,,bw,xtreme seats,reduced port,0.9
5315,1-1/2 SS 2000# SW SP XT BV,valve,ball,1 1/2,,,stainless steel,,,2000,,,,reduced port,sw,xtreme seats,,0.9
5316,1-1/2 SS 2000# THRD FP XT BV,valve,ball,1 1/2,,,stainless steel,,,2000,,,,,THD,xtreme seats,full port,0.9
5317,1-1/2 SS 2000# THRD SP PTFE BV,valve,ball,1 1/2,,,stainless steel,,,2000,,,,,thd,ptfe,reduced port,0.85
5318,1-1/2 SS 2000# THRD SP RTFE BV,valve,ball,1 1/2,,,stainless steel,,,2000,,,,reduced port,thd,rtfe,,0.9
5319,1-1/2 Stainless Steel Stainless Steel 2000# Threaded 2 Piece SP BV,valve,ball,1 1/2,,,stainless steel,,,2000,,,,,THD,stainless steel,2-piece reduced port,0.9
5320,1-1/2 Stainless Steel Stainless Steel 2000# Threaded 2 Piece SP XT BV,valve,ball,1 1/2,,,stainless steel,,,2000,,,,,THD,stainless steel,2-piece reduced port xtreme seats,0.9
5321,1-1/4 2000# WOG 2PC FP SS BV LL,valve,ball,1 1/4,,,stainless steel,,,2000,,,,,,full port,2-piece lead law compliant,0.8
5322,1-1/4 SS 2000# SW SP XT BV,valve,ball,1 1/4,,,stainless steel,,,2000,,,,,sw,xtreme seats,reduced port,0.9
5323,1-1/4 SS 2000# THRD SP RTFE BV,valve,ball,1 1/4,,,stainless steel,,,2000,,,,,THD,RTFE,reduced port,0.9
5324,1-1/4 Stainless Steel Stainless Steel 2000# Threaded 2 Piece SP BV,valve,ball,1 1/4,,,stainless steel,,,2000,,,,reduced port,thd,stainless steel,2-piece,0.9
5325,2  Stainless Steel Stainless Steel 2000# Threaded 2 Piece SP XT BV,valve,ball,2,,,stainless steel,,,2000,,,,,THD,stainless steel,2-piece reduced port xtreme seats,0.9
5326,2 2000 BV RP THRD 316 WELD,valve,BALL,2,,,STAINLESS STEEL,,316,2000,,,,REDUCED PORT,THD,,WELD,0.8
5327,2 2000# CF8M SS SEAL WELD NACE BV,valve,ball,2,,,stainless steel,CF8M,,2000,,,,seal weld,,NACE,,0.9
5328,2 2000# WOG 2 Piece FP Stainless Steel Ball Valve LL,valve,BALL,2,,,STAINLESS STEEL,,,2000,,,,FULL PORT,,2-PIECE,LEAD LAW COMPLIANT,0.85
5329,2 316 2000# THRD BV,valve,ball,2,,,stainless steel,,316,2000,,,,,THD,,,0.9
5330,2 SS 2000# SW SP XT BV,valve,ball,2,,,stainless steel,,,2000,,,,reduced port,sw,xtreme seats,,0.9
5331,2 SS 2000# THRD SP PTFE BV,valve,ball,2,,,stainless steel,,,2000,,,,reduced port,thd,ptfe,,0.9
5332,2 SS 2000# THRD SP XT BV,valve,ball,2,,,stainless steel,,,2000,,,,,THD,XTREME SEATS,REDUCED PORT,0.85
5333,2 SS SS UNI 2000# THRD 2PC FP BV,valve,ball,2,,,stainless steel,,,2000,,,,,THD,stainless steel,2-piece full port unibody,0.9
5334,3/4 316 Stainless Steel 2000# Socket Weld Full Port 3 Piece BV,valve,ball,3/4,,,stainless steel,,316,2000,,,,full port,sw,3-piece,,0.95
5335,3/4 316 Stainless Steel 2000# Threaded Reduced Port 2 Piece BV,valve,ball,3/4,,,stainless steel,,316,2000,,,,reduced port,THD,2-piece,,0.95
5336,3/4 316 Stainless Steel 2000# Threaded Reduced Port 2 Piece BV,valve,ball,3/4,,,stainless steel,,316,2000,,,,reduced port,THD,2-piece,,0.95
5337,3/4 316 Stainless Steel 2000# TXSW Full Port 3 Piece BV,valve,ball,3/4,,,stainless steel,,316,2000,,,,full port,thd x sw,3-piece,,0.95
5338,3/4 CC SS UNI 2000# THRD 2PC FP BV,valve,ball,3/4,,,stainless steel,,,2000,,,,,THD X THD,,2-piece full port,0.9
5339,3/4 SS 2000# SW FP XT BV,valve,ball,3/4,,,stainless steel,,,2000,,,,full port,sw,xtreme seats,,0.9
5340,3/4 SS 2000# SW FP XT BV TG,valve,ball,3/4,,,stainless steel,,,2000,,,,full port,sw,xtreme seats,tg,0.9
5341,3/4 SS 2000# SW SP XT BV,valve,ball,3/4,,,stainless steel,,,2000,,,,reduced port,sw,xtreme seats,,0.85
5342,3/4 SS 2000# THRD FP XT BV,valve,ball,3/4,,,stainless steel,,,2000,,,,full port,THD,xtreme seats,,0.9
5343,3/4 SS 2000# THRD FP XT BV TG,valve,ball,3/4,,,stainless steel,,,2000,,,,full port,thd,xtreme seats,tg,0.9
5344,3/4 SS 2000# THRD SP PTFE BV,valve,ball,3/4,,,stainless steel,,,2000,,,,,thd,ptfe,reduced port,0.9
5345,3/4 Stainless Steel 2000# Socket Weld 3 Piece Full Port BV Locking Lever,valve,ball,3/4,,,stainless steel,,,2000,,,,,sw,3-piece full port locking lever,,0.9
5346,3/4 Stainless Steel 2000# Stainless Steel Threaded Reduced Port Firesafe BV Locking Lever,valve,ball,3/4,,,stainless steel,,,2000,,,,,THD,reduced port,firesafe locking lever,0.9
5347,3/4 Stainless Steel 2000# Stainless Steel Threaded SP BV Locking Lever,valve,ball,3/4,,,stainless steel,,,2000,,,,,THD,locking lever,sp,0.9
5348,3/4 Stainless Steel 2000# Threaded 1 Piece BV,valve,ball,3/4,,,stainless steel,,,2000,,,,,THD,1-piece,,0.9
5349,3/4 Stainless Steel 2000# Threaded 1 Piece BV CMLCK,valve,ball,3/4,,,stainless steel,,,2000,,,,,thd,1-piece,cmlock,0.9
5350,3/4 Stainless Steel 2000# Threaded 1 Piece BV Locking Lever,valve,ball,3/4,,,stainless steel,,,2000,,,,,THD,locking lever,1-piece,0.9
5351,3/4 Stainless Steel 2000# Threaded 2 Piece Full Port BV,valve,ball,3/4,,,stainless steel,,,2000,,,,,THD,full port,2-piece,0.9
5352,3/4 Stainless Steel 2000# Threaded 3 Piece Full Port BV Locking Lever,valve,ball,3/4,,,stainless steel,,,2000,,,,,THD,3-piece full port locking lever,,0.9
5353,3/4 Stainless Steel Stainless Steel 2000 Socket Weld 3 Piece Full Port Forged Steel BV,valve,ball,3/4,,,stainless steel,,,2000,,,forged,full port,sw,3-piece,,0.9
5354,3/4 Stainless Steel Stainless Steel 2000 Threaded 3 Piece Full Port Forged Steel BV,valve,ball,3/4,,,stainless steel,,,2000,,,forged,,thd,full port,3-piece,0.95
5355,3/4 Stainless Steel Stainless Steel 2000# Threaded 2 Piece SP XT BV,valve,ball,3/4,,,stainless steel,,,2000,,,,,THD,xtreme seats,2-piece reduced port,0.9
5356,3/8 2000# 316 SS 2PC SP THRD BV,valve,ball,3/8,,,stainless steel,,316,2000,,,,reduced port,THD,2-piece,,0.9
5357,3/8 2000# WOG 2 Piece FP Stainless Steel Ball Valve LL,valve,ball,3/8,,,stainless steel,,,2000,,,,,,full port,2-piece lead law compliant wog,0.85
5358,3/8 SS 2000# THRD 2PC FP BV,valve,ball,3/8,,,stainless steel,,,2000,,,,,THD,full port,2-piece,0.9
5359,3/8 Stainless Steel 2000# Threaded 1 Piece BV,valve,ball,3/8,,,stainless steel,,,2000,,,,,THD,1-piece,,0.9
5360,3/8 Stainless Steel 2000# Threaded 1 Piece BV Locking Lever,valve,ball,3/8,,,stainless steel,,,2000,,,,,THD,1-piece locking lever,,0.9
5361,3/8 Stainless Steel 2000# Threaded 2 Piece Full Port BV Locking Lever,valve,ball,3/8,,,stainless steel,,,2000,,,,,THD,full port,2-piece locking lever,0.9
