,i,start_time,gt_desc,inc_rfq_raw,inc_rfq,category,type,primary_size,reducing_size,length,material_name,material_specification,material_grade,pressure_class,primary_schedule,reducing_schedule,manufacturing_process,end_finish,end_connections,,miscellaneous,confidence,original_text
74,54,1081.8650912,"8"" STD .322W BLK SA106-B/SA53-B/API-5L X42 SEAMLESS PIPE","8-SA106BS-PIPE,SMLS,8,STD (S40)","8-SA106BS-PIPE,SMLS,8,STD (S40)",pipe,seamless_pipe,8.0,,,carbon_steel,A106,B,,standard,,seamless,,,,S40,0.9,"8-SA106BS-PIPE,SMLS,8,STD (S40)"
75,126,1086.6510756,"8"" 600# RF WELD NECK FLANGE S-100 BORE, SA105N","11100835-FLG,WN,RF,8,600#,S120","11100835-FLG,WN,RF,8,600 ,S120",flange,weld_neck,8.0,,,,,,600,120,,,raised_face,,,,0.9,"11100835-FLG,WN,RF,8,600,S120"
76,790,1092.2802084,"2"" XXH LR 90° WELD ELL SA234-WPB","2"" XXS LR WN 90 DEG. A234WPB","2"" XXS LR WN 90 DEG. A234WPB",fitting,long_radius_90_elbow,2.0,,,carbon_steel,A234,WPB,,XXS,,,weld_neck,,,,0.9,"2"" XXS LR WN 90 DEG. A234WPB"
77,268,1096.6278321,"6"" S-160 .719W SA106-B/C SEAMLESS PIPE (SPAIN)","12700615-PIPE,SMLS,6,S120-SA-106B","12700615-PIPE,SMLS,6,S120-SA-106B",pipe,seamless,6.0,,,carbon_steel,A106,B,,120,,seamless,,,,,0.9,"12700615-PIPE,SMLS,6,S120-SA-106B"
78,1114,1100.2013844,"1"" 3000# FS SOCKET WELD 90° ELL, 304Lss","H29955 EL1,90, SW,CL.3000,ASTM A182 GR.F304/304L","H29955 EL1,90, SW,CL.3000,ASTM A182 GR.F1.0L",fitting,90_elbow,1.0,,,stainless_steel,A182,F1.0L,3000,,,,,socket_weld,,,0.9,"H29955 EL1,90, SW,CL.3000,ASTM A182 GR.F1.0L"
79,1118,1104.5988547,"1"" 300# RFSOCKET WELD FLANGE XH BORE, SA105N (GELDBACH)","1"" 300# RFSW Flange S/80 Bore A/SA105","1"" 300 RFSW FLANGE S/80 BORE A/SA105",flange,raised_face_socket_weld,1.0,,,carbon_steel,A105,,300,80,,,raised_face,socket_weld,,,0.9,"1"" 300 RFSW FLANGE S/80 BORE A/SA105"
80,158,1109.4054849,"8"" 150# RF WELD NECK FLANGE STD BORE, SA105","GX1220 FL8,150,WN,RF,STD,ASTM A105N","GX1220 FL8,150,WN,RF,STD,ASTM A105N",flange,weld_neck,8.0,,,carbon_steel,A105,N,150,standard,,,raised_face,,,GX1220,1.0,"GX1220 FL8,150,WN,RF,STD,ASTM A105N"
81,1124,1116.3531894,"1"" 300# RF SOCKET WELD FLANGE XH BORE, SA105","1"" 300# RFSW Flange S/80 Bore A/SA105","1"" 300 RFSW FLANGE S/80 BORE A/SA105",flange,socket_weld,1.0,,,carbon_steel,A105,,300,80,,,raised_face,socket_weld,,,0.9,"1"" 300 RFSW FLANGE S/80 BORE A/SA105"
82,62,1122.4920779,"8"" STD .322W ASTM/ASME/SA53B/API5L/X42/SA106B/C SEAMLESS PIPE","8"" Sch 40 A106B smls","8"" SCH 40 A106B SMLS",pipe,seamless_pipe,8.0,,,carbon_steel,A106,B,,40,,seamless,,,,,1.0,"8"" SCH 40 A106B SMLS"
83,42,1130.1441014,"8"" STD LR 45°WELD ELL, SA234-WPB","8-LR45S-ELBOW,LR45,8,STD-SA-234-WPB","8-LR45S-ELBOW,LR45,8,STD-SA-234-WPB",fitting,long_radius_45_elbow,8.0,,,carbon_steel,A234,WPB,,standard,,,,,,,0.9,"8-LR45S-ELBOW,LR45,8,STD-SA-234-WPB"
84,184,1133.8058508,"6"" XH LR 45°WELD ELL, SA234-WPB (MALAYSIA)","6-LR45X-ELBOW,LR45,6,XH-SA-234-WPB","6-LR45X-ELBOW,LR45,6,XH-SA-234-WPB",fitting,long_radius_45_elbow,6.0,,,carbon_steel,A234,WPB,,extra_heavy,,,,,,,0.9,"6-LR45X-ELBOW,LR45,6,XH-SA-234-WPB"
85,382,1138.2009284,"4"" XXH .674W BLK SA106-B SEAMLESS PIPE !*! CHECK BEFORE SELLING !*!","12700573-PIPE,SMLS,4,XXH, Gr C-SA-106C","12700573-PIPE,SMLS,4,XXH, GR C-SA-106C",pipe,seamless_pipe,4.0,,,carbon_steel,A106,C,,xxh,,seamless,,,,,0.9,"12700573-PIPE,SMLS,4,XXH, GR C-SA-106C"
86,88,1142.5969879,"8"" S-120 .719W BLK SA106-B/C API5L/X42 SEAMLESS PIPE","12700633-PIPE,SMLS,8,S120-SA-106B","12700633-PIPE,SMLS,8,S120-SA-106B",pipe,seamless_pipe,8.0,,,carbon_steel,SA-106,B,,120,,seamless,,,,,0.9,"12700633-PIPE,SMLS,8,S120-SA-106B"
87,236,1148.952547,"6"" STD .280W BLK SA53-B ERW PIPE","6"" Sch 40 A53B ERW","6"" SCH 40 A53B ERW",pipe,erw_pipe,6.0,,,carbon_steel,A53,B,,40,,ERW,,,,,1.0,"6"" SCH 40 A53B ERW"
88,802,1153.5512019,"2"" S-160 LR 45°WELD ELL, SA234-WPB","15000155-ELBOW,LR45,2,S160","15000155-ELBOW,LR45,2,S160",fitting,long_radius_45_elbow,2.0,,,,,,,160,,,,,,,0.8,"15000155-ELBOW,LR45,2,S160"
89,1018,1157.0662564,"10"" 150# RF WELD NECK FLANGE S-160 BORE, SA105N-FGP","11100653FLG,WN,RF,10,150#,S160-SA-105N","11100653FLG,WN,RF,10,150 ,S160-SA-105N",flange,weld_neck,10.0,,,carbon_steel,A105,N,150,160,,,raised_face,,,,0.9,"11100653FLG,WN,RF,10,150 ,S160-SA-105N"
90,910,1165.8618259,"12"" 150# RF WELD NECK FLANGE XH BORE, SA105N-FGP/SA 350 LF2 CL1","11100566-FLG,WN,RF,12,150#,XH-SA-105N","11100566-FLG,WN,RF,12,150 ,XH-SA-105N",flange,weld_neck,12.0,,,carbon_steel,A105,N,150,XH,,,raised_face,,,,1.0,"11100566-FLG,WN,RF,12,150 ,XH-SA-105N"
91,438,1171.1814272,"4"" STD LR 90° WELD ELL, SA234-WPB","4-LR90S-ELBOW,LR90,4,STD-SA-234-WPB","4-LR90S-ELBOW,LR90,4,STD-SA-234-WPB",fitting,long_radius_90_elbow,4.0,,,carbon_steel,SA234,WPB,,standard,,,,,,,0.9,"4-LR90S-ELBOW,LR90,4,STD-SA-234-WPB"
92,692,1181.6432033,"3"" S-10S .120W WELDED SA312 TP304/304L","H05610 PI3-10S,WELDED,ASTM A312 GR.TP304/304L","H05610 PI3-10S,WELDED,ASTM A312 GR.TP1.0L",pipe,welded,3.0,,10.0,stainless_steel,A312,TP1.0L,,,,welded,,,,,0.8,"H05610 PI3-10S,WELDED,ASTM A312 GR.TP1.0L"
93,572,1185.3165167,"4"" 300# FLAT FACE LAP JOINT FLANGE, SA105","4"" 300# Lap Joint Flange A/SA105","4"" 300 LAP JOINT FLANGE A/SA105",flange,lap_joint,4.0,,,carbon_steel,A105,,300,,,,,,,,1.0,"4"" 300 LAP JOINT FLANGE A/SA105"
94,590,1191.2179615,"36"" - 1-1/2"" x 3/4"" 3000# FS SOCKET WELD FLEX-O-LET, SA105N","IR7082 SOCKLET CL3000,CL3000,8X.75*STD/XS,ASTM A105N","IR7082 SOCKLET CL3000,CL3000,8X.75*STD/XS,ASTM A105N",fitting,sockolet,8.0,0.75,,carbon_steel,A105,N,3000,standard,extra_strong,,,,,,0.9,"IR7082 SOCKLET CL3000,CL3000,8X.75*STD/XS,ASTM A105N"
95,10,1195.4337713,"8"" XH .500w BLK QUAD STENCILED SA106-B SEAMLESS PIPE","8-XA106BS-PIPE,SMLS,8,XH (S80)","8-XA106BS-PIPE,SMLS,8,XH (S80)",pipe,smls_pipe,8.0,,,carbon_steel,A106,B,,XH,,seamless,,,,S80,0.9,"8-XA106BS-PIPE,SMLS,8,XH (S80)"
96,124,1200.952696,"8"" 600# RF WELD NECK FLANGE S-120 BORE, SA105N FGP/SA 350 LF2","11100835-FLG,WN,RF,8,600#,S120","11100835-FLG,WN,RF,8,600 ,S120",flange,weld_neck,8.0,,,stainless_steel,,120,600,,,,raised_face,,,,0.9,"11100835-FLG,WN,RF,8,600 ,S120"
97,784,1204.9299471,"2"" XXH LR 90° WELD ELL, SA234-WPB","2"" XXS LR WN 90 DEG. A234WPB","2"" XXS LR WN 90 DEG. A234WPB",fitting,elbow_90_long_radius,2.0,,,carbon_steel,A234,WPB,,XXS,,,,butt_weld,,weld_neck,0.9,"2"" XXS LR WN 90 DEG. A234WPB"
98,1102,1209.0003167,"1"" S-160 .250W BLK SA106-B SEAMLESS PIPE","1-160A106BS-PIPE,SMLS,1,S160","1-160A106BS-PIPE,SMLS,1,S160",pipe,seamless_pipe,1.0,,,carbon_steel,A106,B,,160,,seamless,,,,,0.9,"1-160A106BS-PIPE,SMLS,1,S160"
99,990,1215.4648527,"10"" S-160 1.125WA53/SA106-B SMLS PIPE","12700321-PIPE,SMLS,10,S160-SA-106B","12700321-PIPE,SMLS,10,S160-SA-106B",pipe,seamless,10.0,,,carbon_steel,A106,B,,160,,seamless,,,,,0.9,"12700321-PIPE,SMLS,10,S160-SA-106B"
